Timestamp,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,kbanonpg,kbslab,kbkstack,kbpgtbl,kbvmused
2024-01-23 17:56:46,380456992,390372416,1578856,0.4,1239904,10162328,4654424,1.15,4505652,7440792,1260,572652,1420468,10688,5848,268860
2024-01-23 17:56:51,380453356,390370640,1580448,0.4,1239908,10164160,4656768,1.15,4505996,7442812,424,573120,1420676,10624,5852,268828
2024-01-23 17:56:56,380435648,390353440,1597040,0.4,1239920,10164840,7204072,1.79,4506296,7478000,1068,607980,1421100,9648,6608,267948
2024-01-23 17:57:01,380444812,390363732,1586696,0.4,1239924,10165936,4181632,1.04,4506448,7444400,388,573356,1421180,9632,5804,267916
2024-01-23 17:57:06,380450140,390370336,1579836,0.4,1239932,10167140,4181632,1.04,4506472,7446240,1052,574044,1421500,9664,5896,267964
2024-01-23 17:57:11,380452692,390374200,1575872,0.4,1239932,10168380,4181316,1.04,4506476,7446244,352,572760,1421672,9616,5736,267932
2024-01-23 17:57:16,380455384,390378188,1572136,0.4,1239940,10169724,4181632,1.04,4506484,7448280,1284,573440,1421364,9648,5808,267948
2024-01-23 17:57:21,380444156,390368372,1581920,0.4,1239944,10171080,4181632,1.04,4506484,7449652,392,573488,1421448,9664,5828,267948
2024-01-23 17:57:26,380440372,390366160,1584244,0.4,1239952,10172516,4181764,1.04,4506492,7450920,936,573232,1421464,9616,5772,267964
2024-01-23 17:57:31,380439908,390366976,1583476,0.4,1239956,10173732,4181636,1.04,4506500,7451668,356,572812,1421476,9616,5732,267900
2024-01-23 17:57:36,380437156,390365260,1585172,0.4,1239964,10174896,4181764,1.04,4506512,7453180,1360,573232,1421360,9584,5700,267948
2024-01-23 17:57:41,380442044,390371576,1578912,0.4,1239972,10176256,4177544,1.04,4506508,7453120,328,571688,1421364,9632,5732,267924
2024-01-23 17:57:46,380437176,390368152,1582460,0.4,1239972,10177548,4181764,1.04,4506528,7456088,1304,573520,1421392,9632,5764,267916
2024-01-23 17:57:51,380437344,390369740,1580988,0.4,1239976,10178900,4181904,1.04,4506528,7457400,276,573408,1421340,9648,5792,267932
2024-01-23 17:57:56,380431016,390365060,1585384,0.4,1239984,10180420,4181904,1.04,4506524,7458924,1236,573352,1421744,9648,5808,267916
2024-01-23 17:58:01,380431024,390366384,1584028,0.4,1239988,10181668,4181904,1.04,4506536,7460096,32,573360,1421840,9616,5744,267932
2024-01-23 17:58:06,380430508,390367228,1583288,0.4,1239996,10182896,4181904,1.04,4506544,7461620,1188,573544,1421860,9616,5768,267916
2024-01-23 17:58:11,380430476,390368380,1582260,0.4,1240004,10184012,4181904,1.04,4506556,7462684,28,573656,1421796,9648,5852,267884
2024-01-23 17:58:16,380438064,390377516,1573172,0.4,1240012,10185452,4182036,1.04,4506568,7463748,968,573044,1421848,9808,5884,267900
2024-01-23 17:58:21,380436280,390377180,1573620,0.4,1240020,10186836,4182036,1.04,4506576,7465596,0,573688,1421792,9600,5772,267852
2024-01-23 17:58:26,380442400,390384728,1566440,0.4,1240024,10188164,4181344,1.04,4506572,7465520,272,572236,1421520,9616,5616,267852
2024-01-23 17:58:31,380435084,390378920,1572140,0.4,1240028,10189684,4182036,1.04,4506588,7468548,1308,573800,1421612,9616,5764,267836
2024-01-23 17:58:36,380436028,390381208,1569960,0.4,1240036,10190960,4181720,1.04,4506596,7469624,512,573596,1421564,9632,5812,267868
2024-01-23 17:58:41,380427064,390373396,1577928,0.4,1240044,10192044,4182168,1.04,4506604,7471096,1344,573952,1421468,9648,5836,267900
2024-01-23 17:58:46,380426752,390374600,1576648,0.4,1240048,10193452,4186572,1.04,4506612,7474672,476,576100,1421648,9680,5884,267940
2024-01-23 17:58:51,380428728,390378008,1573144,0.4,1240048,10194848,4181852,1.04,4506624,7473836,1304,573976,1421780,9648,5804,267884
2024-01-23 17:58:56,380429580,390380332,1570700,0.4,1240052,10196200,4182352,1.04,4506616,7475304,392,573940,1422016,9568,5664,267884
2024-01-23 17:59:01,380428276,390380660,1570096,0.4,1240064,10197720,4182168,1.04,4506628,7476972,1240,574184,1422392,9664,5836,267884
2024-01-23 17:59:06,380423144,390376752,1574108,0.4,1240068,10198872,4182304,1.04,4506640,7478220,364,574192,1422356,9632,5760,267884
2024-01-23 17:59:11,380417744,390372812,1577932,0.4,1240076,10200256,4182304,1.04,4506644,7479668,1256,574364,1422540,9664,5780,267932
2024-01-23 17:59:16,380417432,390373700,1577076,0.4,1240084,10201356,4182304,1.04,4506652,7480908,388,574388,1422600,9680,5760,267932
2024-01-23 17:59:21,380423068,390380748,1569664,0.4,1240088,10202632,4182176,1.04,4506664,7481812,1208,574144,1423096,9632,5744,267948
2024-01-23 17:59:26,380420808,390379872,1570484,0.4,1240092,10203972,4182304,1.04,4506664,7483408,356,574340,1423192,9648,5780,267900
2024-01-23 17:59:31,380413136,390373548,1576776,0.4,1240104,10205164,4182304,1.04,4506676,7484772,1192,574496,1423368,9680,5776,267948
2024-01-23 17:59:36,380415444,390377052,1573380,0.4,1240104,10206300,4182436,1.04,4506688,7485908,244,574524,1423320,9664,5768,267932
2024-01-23 17:59:41,380407300,390370184,1580496,0.4,1240112,10207512,4182436,1.04,4506688,7487068,1268,574552,1423128,9680,5780,267932
2024-01-23 17:59:46,380406372,390370488,1580136,0.4,1240116,10208644,4182436,1.04,4506688,7488244,396,574520,1423280,9632,5700,267884
2024-01-23 17:59:51,380415704,390381068,1569912,0.4,1240116,10209760,4182120,1.04,4506700,7488772,1352,573920,1423056,9664,5708,267932
2024-01-23 17:59:56,380412716,390379332,1571636,0.4,1240120,10210948,4182436,1.04,4506704,7490636,336,574616,1423128,9664,5780,267932
2024-01-23 18:00:01,380419192,390387184,1563660,0.4,1240128,10212056,4182568,1.04,4506716,7492216,908,575172,1423512,9888,5768,267996
2024-01-23 18:00:06,380418224,390387356,1563664,0.4,1240136,10213148,4182568,1.04,4506720,7492816,448,574624,1423376,9632,5708,267948
2024-01-23 18:00:11,380415160,390385668,1565200,0.4,1240144,10214452,4223320,1.05,4506724,7494152,208,574616,1423592,9664,5768,267996
2024-01-23 18:00:16,380415520,390387596,1563296,0.4,1240156,10215796,4182568,1.04,4506740,7495488,1320,574712,1423780,9680,5768,267980
2024-01-23 18:00:21,380415276,390388688,1562460,0.4,1240164,10217048,4182568,1.04,4506752,7496844,424,574744,1423600,9680,5772,267932
2024-01-23 18:00:26,380415888,390390812,1560192,0.4,1240172,10218320,4182400,1.04,4506756,7497608,1152,574200,1423976,9664,5720,268012
2024-01-23 18:00:31,380413052,390389276,1561704,0.4,1240176,10219536,4182716,1.04,4506772,7499472,332,574776,1424080,9648,5700,268044
2024-01-23 18:00:36,380406224,390383672,1567220,0.4,1240180,10220780,4182588,1.04,4506776,7500640,1384,574772,1424144,9696,5760,267948
2024-01-23 18:00:41,380399240,390377908,1572956,0.4,1240192,10222000,4182716,1.04,4506788,7501860,352,574904,1424160,9712,5820,267932
2024-01-23 18:00:46,380398280,390378304,1572704,0.4,1240196,10223248,4178496,1.04,4506788,7501264,1256,572904,1424120,9680,5700,267924
2024-01-23 18:00:51,380392748,390374128,1576848,0.4,1240200,10224564,4182716,1.04,4506800,7504544,332,574912,1424188,9696,5768,267948
2024-01-23 18:00:56,380380988,390363708,1587048,0.4,1240208,10225784,4182852,1.04,4506812,7505644,1184,574832,1424520,9680,5708,267932
2024-01-23 18:01:01,380369516,390353484,1597148,0.4,1240216,10226972,4184132,1.04,4506816,7508252,320,576236,1424696,9696,5780,267948
2024-01-23 18:01:06,380365120,390350380,1600280,0.41,1240216,10228176,4183816,1.04,4506824,7509124,1224,575904,1424756,9696,5784,267900
2024-01-23 18:01:11,380362348,390348908,1601664,0.41,1240216,10229388,4184132,1.04,4506824,7510704,388,576284,1424932,9696,5780,267932
2024-01-23 18:01:16,380361756,390349728,1600724,0.41,1240216,10230636,4184132,1.04,4506828,7511996,1252,576316,1425216,9696,5796,267964
2024-01-23 18:01:21,380359876,390349168,1601372,0.41,1240216,10231860,4200708,1.04,4506832,7529264,376,592420,1425224,9712,5792,267980
2024-01-23 18:01:26,380355416,390345996,1604440,0.41,1240220,10233024,4181996,1.04,4506828,7513740,1252,575648,1425448,9696,5812,267988
2024-01-23 18:01:31,380356088,390347940,1602432,0.41,1240224,10234240,4184264,1.04,4506836,7515704,332,576368,1425564,9680,5752,267980
2024-01-23 18:01:36,380363804,390357212,1593176,0.4,1240236,10235564,4184264,1.04,4506840,7516988,1316,576416,1425768,9696,5792,267948
2024-01-23 18:01:41,380365440,390360092,1590556,0.4,1240244,10236688,4184264,1.04,4506860,7518208,236,576436,1425620,9680,5788,267948
