timestamp,module,event
2024-01-15 16:02:02,topoaa,start
2024-01-15 16:02:07,topoaa,finish
2024-01-15 16:02:08,rigidbody,start
2024-01-16 03:56:44,rigidbody,finish
2024-01-16 03:56:46,caprieval,start
2024-01-16 04:25:09,caprieval,finish
2024-01-16 04:25:10,seletop,start
2024-01-16 04:25:13,seletop,finish
2024-01-16 04:25:14,caprieval,start
2024-01-16 04:26:41,caprieval,finish
2024-01-16 04:26:43,flexref,start
2024-01-16 08:50:54,caprieval,start
2024-01-16 08:50:54,flexref,finish
2024-01-16 08:52:19,caprieval,finish
2024-01-16 08:52:20,emref,start
2024-01-16 09:13:48,emref,finish
2024-01-16 09:13:49,caprieval,start
2024-01-16 09:15:13,caprieval,finish
2024-01-16 09:15:13,clustfcc,start
2024-01-16 09:15:33,clustfcc,finish
2024-01-16 09:15:33,seletopclusts,start
2024-01-16 09:15:56,seletopclusts,finish
2024-01-16 09:15:56,caprieval,start
2024-01-16 09:17:01,caprieval,finish
