timestamp,module,event
2024-01-21 17:54:41,topoaa,start
2024-01-21 17:54:48,topoaa,finish
2024-01-21 17:54:49,rigidbody,start
2024-01-21 18:03:56,rigidbody,finish
2024-01-21 18:03:56,seletop,start
2024-01-21 18:03:57,seletop,finish
2024-01-21 18:03:57,caprieval,start
2024-01-21 18:04:22,caprieval,finish
2024-01-21 18:04:23,flexref,start
2024-01-21 18:18:44,flexref,finish
2024-01-21 18:18:44,caprieval,start
2024-01-21 18:19:08,caprieval,finish
2024-01-21 18:19:09,emref,start
2024-01-21 18:20:50,emref,finish
2024-01-21 18:20:50,caprieval,start
2024-01-21 18:21:14,caprieval,finish
