JobName,power_energy_pkg,power_energy_ram,perf_elapsed
daa-local-nc4_ss2-1.cfg,60.35,6.0,0.795554551
daa-local-nc4_ss2-2.cfg,5039777.06,619047.08,66854.114493259
daa-local-nc4_ss2-4.cfg,4812737.34,591899.9,62663.63111817
daa-local-nc4_ss2-6.cfg,4831001.67,594147.57,63192.314807584
daa-local-nc4_ss2-7.cfg,22373.95,1228.44,695.063601286
daa-local-nc4_ss2-8.cfg,4862788.35,592469.4,63773.851999252
daa-local-nc8_ss2-2.cfg,3134781.83,339901.92,35632.676084849
daa-local-nc8_ss2-3.cfg,3187258.32,345984.21,36622.671752919
daa-local-nc8_ss2-4.cfg,3138994.84,338131.81,35438.790729662
daa-local-nc8_ss2-5.cfg,3302640.63,357174.03,38684.953319081
daa-local-nc8_ss2-7.cfg,3306705.06,361305.52,38523.858252134
daa-local-nc8_ss2-8.cfg,3161217.0,340268.91,36153.804935452
dpp-local-nc4_ss2-1.cfg,329285.67,40870.42,4695.13879709
dpp-local-nc4_ss2-2.cfg,331721.18,41675.43,4716.1589436
dpp-local-nc4_ss2-3.cfg,332812.84,41434.96,4779.357082758
dpp-local-nc4_ss2-5.cfg,322802.69,41024.4,4482.158508516
dpp-local-nc4_ss2-7.cfg,324710.63,40545.53,4550.895500735
dpp-local-nc4_ss2-8.cfg,314266.7,39624.12,4326.470563302
dpp-local-nc4_ss2-9.cfg,316816.52,40025.82,4357.893738756
dpp-local-nc8_ss2-1.cfg,218467.39,23979.34,2651.39411064
dpp-local-nc8_ss2-2.cfg,211623.2,22962.02,2501.677594793
dpp-local-nc8_ss2-3.cfg,212699.92,23120.55,2504.49584709
dpp-local-nc8_ss2-4.cfg,213283.37,23366.18,2523.860390433
dpp-local-nc8_ss2-5.cfg,214922.76,23364.71,2564.911987911
dpp-local-nc8_ss2-6.cfg,214078.74,23446.52,2539.009340812
dpp-local-nc8_ss2-7.cfg,212987.61,23243.35,2517.105157295
dpp-local-nc8_ss2-8.cfg,220757.78,23994.99,2704.562905176
dpp-local-nc8_ss2-9.cfg,213960.92,23410.64,2556.796504043
dpp-local-nc16_ss2-1.cfg,175513.84,17503.27,2135.86029357
dpp-local-nc16_ss2-2.cfg,153663.53,15213.9,1602.260282842
dpp-local-nc16_ss2-3.cfg,153300.86,15118.94,1610.804344813
dpp-local-nc16_ss2-4.cfg,158932.2,15856.93,1719.713796334
dpp-local-nc32_ss2-1.cfg,787.12,70.71,16.624635864
dpp-local-nc32_ss2-2.cfg,148182.09,14391.34,1513.107556373
dpp-local-nc32_ss2-3.cfg,158036.47,15323.2,1791.776936398
dpp-local-nc32_ss2-4.cfg,141244.98,13540.12,1374.758616126
dpp-local-nc32_ss2-5.cfg,135875.08,12857.83,1269.945624818
dpp-local-nc32_ss2-6.cfg,149251.96,14422.82,1557.443077569
