image_name,mode,workflow,ncores,node,count
run_avg_cpu_freq.png,local,daa,4,gl5,6
run_avg_cpu_freq.png,local,daa,4,ss2,6
run_avg_cpu_freq.png,local,daa,8,gl5,7
run_avg_cpu_freq.png,local,daa,8,ss2,6
run_avg_cpu_freq.png,local,dpp,4,gl5,8
run_avg_cpu_freq.png,local,dpp,4,ss2,8
run_avg_cpu_freq.png,local,dpp,8,gl5,9
run_avg_cpu_freq.png,local,dpp,8,ss2,9
run_avg_cpu_freq.png,local,dpp,16,gl5,4
run_avg_cpu_freq.png,local,dpp,16,ss2,5
run_avg_cpu_freq.png,local,dpp,32,gl5,6
run_avg_cpu_freq.png,local,dpp,32,ss2,6
run_avg_cpu_util_all.png,local,daa,4,gl5,6
run_avg_cpu_util_all.png,local,daa,4,ss2,4
run_avg_cpu_util_all.png,local,daa,8,gl5,7
run_avg_cpu_util_all.png,local,daa,8,ss2,2
run_avg_cpu_util_all.png,local,dpp,4,gl5,8
run_avg_cpu_util_all.png,local,dpp,4,ss2,2
run_avg_cpu_util_all.png,local,dpp,8,gl5,9
run_avg_cpu_util_all.png,local,dpp,8,ss2,6
run_avg_cpu_util_all.png,local,dpp,16,gl5,4
run_avg_cpu_util_all.png,local,dpp,16,ss2,3
run_avg_cpu_util_all.png,local,dpp,32,gl5,6
run_avg_cpu_util_all.png,local,dpp,32,ss2,4
run_avg_cpu_util_every.png,local,daa,4,gl5,6
run_avg_cpu_util_every.png,local,daa,4,ss2,4
run_avg_cpu_util_every.png,local,daa,8,gl5,7
run_avg_cpu_util_every.png,local,daa,8,ss2,2
run_avg_cpu_util_every.png,local,dpp,4,gl5,8
run_avg_cpu_util_every.png,local,dpp,4,ss2,2
run_avg_cpu_util_every.png,local,dpp,8,gl5,9
run_avg_cpu_util_every.png,local,dpp,8,ss2,6
run_avg_cpu_util_every.png,local,dpp,16,gl5,4
run_avg_cpu_util_every.png,local,dpp,16,ss2,3
run_avg_cpu_util_every.png,local,dpp,32,gl5,6
run_avg_cpu_util_every.png,local,dpp,32,ss2,4
run_avg_mem_util.png,local,daa,4,gl5,6
run_avg_mem_util.png,local,daa,4,ss2,4
run_avg_mem_util.png,local,daa,8,gl5,7
run_avg_mem_util.png,local,daa,8,ss2,2
run_avg_mem_util.png,local,dpp,4,gl5,8
run_avg_mem_util.png,local,dpp,4,ss2,2
run_avg_mem_util.png,local,dpp,8,gl5,9
run_avg_mem_util.png,local,dpp,8,ss2,6
run_avg_mem_util.png,local,dpp,16,gl5,4
run_avg_mem_util.png,local,dpp,16,ss2,3
run_avg_mem_util.png,local,dpp,32,gl5,6
run_avg_mem_util.png,local,dpp,32,ss2,4
run_avg_normalized.png,local,daa,4,gl5,6
run_avg_normalized.png,local,daa,4,ss2,4
run_avg_normalized.png,local,daa,8,gl5,7
run_avg_normalized.png,local,daa,8,ss2,2
run_avg_normalized.png,local,dpp,4,gl5,8
run_avg_normalized.png,local,dpp,4,ss2,2
run_avg_normalized.png,local,dpp,8,gl5,9
run_avg_normalized.png,local,dpp,8,ss2,6
run_avg_normalized.png,local,dpp,16,gl5,4
run_avg_normalized.png,local,dpp,16,ss2,3
run_avg_normalized.png,local,dpp,32,gl5,6
run_avg_normalized.png,local,dpp,32,ss2,4
