Workflow,mode,ncores,node,n_trials,trials_list
daa,local,4,gl2,10,"[1, 2, 3, 5, 6, 8, 11, 12, 13, 14]"
daa,local,4,gl5,8,"[10, 11, 12, 13, 14, 15, 16, 17]"
daa,local,4,gl6,10,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 20]"
daa,local,8,gl2,10,"[2, 3, 4, 5, 7, 8, 9, 10, 11, 20]"
daa,local,8,gl5,5,"[10, 11, 12, 14, 15]"
daa,local,8,gl6,11,"[1, 2, 4, 5, 7, 8, 9, 11, 12, 13, 14]"
daa,local,16,gl5,8,"[10, 11, 12, 13, 14, 15, 16, 17]"
daa,local,16,gl6,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
daa,local,32,gl5,9,"[10, 11, 12, 13, 14, 15, 16, 17, 18]"
daa,local,32,gl6,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
dpp,local,4,gl2,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
dpp,local,4,gl5,7,"[10, 11, 12, 13, 14, 15, 16]"
dpp,local,4,gl6,10,"[1, 2, 3, 4, 6, 7, 8, 10, 12, 20]"
dpp,local,8,gl2,10,"[1, 2, 4, 7, 9, 10, 12, 13, 14, 20]"
dpp,local,8,gl5,7,"[10, 11, 12, 13, 14, 15, 16]"
dpp,local,8,gl6,10,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"
dpp,local,16,gl5,9,"[10, 11, 12, 13, 14, 15, 16, 17, 18]"
dpp,local,16,gl6,10,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11]"
dpp,local,32,gl5,6,"[10, 11, 12, 13, 14, 15]"
dpp,local,32,gl6,10,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
