Workflow,mode,ncores,node,n_trials,trials_list
daa,local,4,gl5,3,"[32, 33, 35]"
daa,local,4,gl6,3,"[32, 36, 40]"
daa,local,8,gl5,4,"[32, 35, 36, 38]"
daa,local,8,gl6,4,"[31, 32, 34, 38]"
daa,local,16,gl6,1,[33]
daa,local,32,gl6,4,"[35, 36, 38, 40]"
dpp,local,4,gl5,4,"[21, 33, 36, 39]"
dpp,local,4,gl6,3,"[36, 38, 39]"
dpp,local,8,gl5,5,"[32, 34, 37, 38, 39]"
dpp,local,8,gl6,4,"[31, 34, 35, 38]"
dpp,local,16,gl5,4,"[23, 25, 32, 34]"
dpp,local,16,gl6,6,"[32, 33, 34, 35, 36, 40]"
dpp,local,32,gl6,6,"[32, 33, 37, 38, 39, 40]"
