Linux 5.15.0-87-generic (gl6) 	01/31/2024 	_x86_64_	(32 CPU)

01:36:43 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
01:36:48 AM  53735904 389215816   1503552      0.38   4040916 321665216   3613140      0.90 146968592 178892732       304    183440  13913552      9472      4384    331580
01:36:53 AM  53683808 389165660   1553760      0.39   4040916 321667108   9179900      2.28 146968940 178955852        48    244760  13913548      9168      5124    330892
01:36:58 AM  53737300 389220212   1499580      0.38   4040916 321668180   3140348      0.78 146969224 178895404        48    183508  13913164      8480      4628    330780
01:37:03 AM  53735140 389218988   1500772      0.38   4040916 321669068   3140604      0.78 146969380 178896820        32    184124  13913244      8464      4304    330748
01:37:08 AM  53736000 389221288   1498552      0.38   4040916 321670444   3140604      0.78 146969380 178898228        24    184144  13913228      8464      4300    330732
01:37:13 AM  53736568 389223520   1496304      0.38   4040916 321672076   3140604      0.78 146969380 178899904        36    184180  13913276      8464      4300    330716
01:37:18 AM  53736636 389224940   1494856      0.38   4040916 321673376   3140604      0.78 146969380 178901224       168    184224  13913356      8464      4300    330700
01:37:23 AM  53735920 389225756   1493904      0.38   4040916 321674836   3140736      0.78 146969380 178902732        40    184252  13913564      8464      4300    330700
01:37:28 AM  53734612 389226112   1493636      0.38   4040916 321676444   3140736      0.78 146969380 178904344       164    184284  13913532      8464      4304    330700
01:37:33 AM  53735444 389228644   1491192      0.38   4040916 321678072   3140736      0.78 146969380 178906036        48    184320  13913516      8400      4300    330668
01:37:38 AM  53734760 389229680   1490200      0.38   4040916 321679732   3140736      0.78 146969380 178907724        16    184368  13913532      8400      4304    330652
01:37:43 AM  53734056 389230648   1489016      0.38   4040916 321681332   3140884      0.78 146969380 178909384        48    184404  13913820      8400      4300    330652
01:37:48 AM  53733732 389231732   1488164      0.38   4040916 321682716   3140884      0.78 146969380 178910764       204    184428  13913612      8416      4300    330652
01:37:53 AM  53734672 389234204   1485728      0.38   4040916 321684180   3140884      0.78 146969380 178912312        36    184488  13913644      8400      4304    330652
01:37:58 AM  53733232 389234544   1485376      0.38   4040916 321685892   3140884      0.78 146969380 178914096       192    184568  13913724      8400      4300    330636
01:38:03 AM  53732800 389235692   1484212      0.38   4040916 321687408   3140884      0.78 146969380 178915700        40    184644  13913804      8400      4304    330652
01:38:08 AM  53732228 389236836   1482992      0.38   4040916 321689072   3141016      0.78 146969380 178917388       204    184700  13913932      8400      4304    330604
01:38:13 AM  53732532 389238788   1481080      0.38   4040916 321690648   3141016      0.78 146969380 178919056        32    184764  13913964      8400      4304    330588
01:38:18 AM  53731904 389239932   1479976      0.37   4040916 321692364   3141016      0.78 146969380 178920852       204    184872  13913980      8400      4304    330604
01:38:23 AM  53731336 389240868   1478948      0.37   4040916 321693832   3141016      0.78 146969380 178922376        44    184908  13914108      8400      4300    330636
01:38:28 AM  53730416 389241616   1478300      0.37   4040916 321695432   3141148      0.78 146969380 178924040       192    184972  13914076      8400      4300    330636
01:38:33 AM  53729464 389242412   1477440      0.37   4040916 321697116   3141148      0.78 146969380 178925808        20    185048  13914204      8400      4300    330588
01:38:38 AM  53728256 389242780   1477132      0.37   4040916 321698632   3141148      0.78 146969380 178927376        20    185112  13914204      8400      4304    330556
01:38:43 AM  53727848 389243968   1475984      0.37   4040916 321700156   3141280      0.78 146969380 178928988        20    185184  13914236      8400      4304    330524
01:38:48 AM  53726784 389244620   1475344      0.37   4040916 321701812   3141280      0.78 146969380 178930692       192    185244  13914284      8400      4300    330524
01:38:53 AM  53726596 389246052   1473912      0.37   4040916 321703368   3141280      0.78 146969380 178932340        48    185328  13914348      8384      4308    330492
01:38:58 AM  53725452 389246540   1473416      0.37   4040916 321704944   3141280      0.78 146969380 178933920       172    185464  13914412      8384      4304    330508
01:39:03 AM  53724492 389247420   1472444      0.37   4040916 321706716   3141412      0.78 146969380 178935856        60    185500  13914572      8384      4304    330524
01:39:08 AM  53723028 389247728   1472200      0.37   4040916 321708456   3141412      0.78 146969380 178937640        52    185552  13914540      8384      4304    330524
01:39:13 AM  53721348 389247636   1472280      0.37   4040916 321709976   3141412      0.78 146969380 178939200        32    185580  13914620      8384      4300    330540
01:39:18 AM  53720100 389248048   1471916      0.37   4040916 321711572   3141412      0.78 146969380 178940808       188    185612  13914636      8384      4304    330556
01:39:23 AM  53718632 389248196   1471640      0.37   4040916 321713156   3141544      0.78 146969380 178942464        48    185664  13914796      8384      4304    330556
01:39:28 AM  53717684 389249164   1470796      0.37   4040916 321714980   3141544      0.78 146969380 178944296       160    185684  13914764      8400      4304    330556
01:39:33 AM  53716752 389249960   1469988      0.37   4040916 321716640   3141544      0.78 146969380 178946000        28    185716  13914844      8400      4304    330556
01:39:38 AM  53715036 389249988   1469968      0.37   4040916 321718328   3141544      0.78 146969380 178947696        24    185752  13914892      8400      4304    330572
01:39:43 AM  53715016 389251336   1468600      0.37   4040916 321719652   3141688      0.78 146969380 178949084        48    185792  13914956      8400      4304    330588
01:39:48 AM  53714732 389252608   1467336      0.37   4040916 321721160   3141688      0.78 146969380 178950584       184    185812  13914996      8400      4300    330604
01:39:53 AM  53713024 389252568   1467232      0.37   4040916 321722764   3141688      0.78 146969380 178952240        36    185852  13915204      8416      4300    330604
01:39:58 AM  53711576 389252708   1467228      0.37   4040916 321724280   3141688      0.78 146969380 178953784       192    185884  13915140      8400      4304    330556
01:40:03 AM  53709720 389252344   1467576      0.37   4040916 321725740   3141828      0.78 146969380 178955320        20    185948  13915188      8400      4304    330540
01:40:08 AM  53706236 389250360   1469528      0.37   4040916 321727176   3143108      0.78 146969380 178958032         4    187224  13915284      8400      4308    330540
01:40:13 AM  53704788 389250380   1469648      0.37   4040916 321728584   3143108      0.78 146969380 178959460        48    187252  13915204      8400      4304    330540
01:40:18 AM  53702504 389249740   1470152      0.37   4040916 321730156   3143108      0.78 146969380 178961064       168    187284  13915412      8400      4304    330540
01:40:23 AM  53700796 389249608   1470212      0.37   4040916 321731676   3143108      0.78 146969380 178962612        28    187324  13915540      8400      4308    330540
01:40:28 AM  53698080 389248568   1471240      0.37   4040916 321733316   3143240      0.78 146969380 178964292       184    187356  13915588      8400      4308    330540
01:40:33 AM  53696140 389248348   1471548      0.37   4040916 321734948   3143240      0.78 146969380 178965952        68    187392  13915588      8400      4312    330540
01:40:38 AM  53694500 389248528   1471312      0.37   4040916 321736728   3143240      0.78 146969380 178967772        28    187428  13915684      8400      4316    330572
01:40:43 AM  53693312 389248916   1470960      0.37   4040916 321738252   3143240      0.78 146969380 178969332         0    187460  13915700      8400      4312    330572
01:40:48 AM  53691632 389248860   1471028      0.37   4040916 321739796   3143372      0.78 146969380 178970908       160    187488  13915768      8400      4308    330572
01:40:53 AM  53689660 389248660   1471412      0.37   4040916 321741512   3143372      0.78 146969380 178972676        20    187548  13915640      8400      4312    330556
