Linux 5.15.30-2-pve (superserver2) 	01/31/2024 	_x86_64_	(32 CPU)

01:28:04 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
01:28:09 PM 303270332 389046160   2558316      0.65    858452  84845164   7093296      1.76  58397596  28176448        96   1036396   3341520     10688     10148    864052
01:28:14 PM 303244564 389021432   2582952      0.65    858452  84846216   9638484      2.39  58397936  28211476       216   1070820   3341600      9696     10944    863268
01:28:19 PM 303274848 389053524   2550980      0.65    858452  84847980   6618488      1.64  58398232  28179128        24   1036896   3341524      9664     10096    863188
01:28:24 PM 303276116 389057388   2546980      0.65    858452  84850456   6618488      1.64  58398228  28181604       112   1036956   3341780      9664     10092    863140
01:28:29 PM 303277172 389060872   2543248      0.64    858452  84852724   6621160      1.64  58398232  28184488        32   1037516   3342188      9664     10092    863148
01:28:34 PM 303278848 389064440   2539696      0.64    858452  84854528   6618624      1.64  58398224  28185812       364   1037060   3342260      9664     10096    863140
01:28:39 PM 303280184 389068168   2536336      0.64    858452  84856744   6618624      1.64  58398228  28188100        44   1037100   3342068      9664     10096    863140
01:28:44 PM 303281004 389071428   2532892      0.64    858452  84859044   6618764      1.64  58398224  28190400       164   1037148   3342392      9664     10100    863092
01:28:49 PM 303279780 389072832   2531056      0.64    858452  84861508   6618764      1.64  58398232  28192992        44   1037232   3342988      9664     10100    863140
01:28:54 PM 303279908 389075596   2527968      0.64    858452  84863984   6618764      1.64  58398228  28195528       176   1037336   3343472      9664     10096    863140
01:28:59 PM 303278912 389077176   2526712      0.64    858452  84866392   6618896      1.64  58398232  28198088        28   1037444   3343316      9664     10096    863092
01:29:04 PM 303277524 389077620   2526484      0.64    858452  84868164   6618896      1.64  58398228  28199920       236   1037532   3343160      9648     10100    863060
01:29:09 PM 303277792 389080424   2523732      0.64    858452  84870520   6618896      1.64  58398232  28202384        52   1037616   3343288      9648     10100    863028
01:29:14 PM 303276380 389081268   2522948      0.64    858452  84872628   6619040      1.64  58398232  28204524        60   1037712   3343376      9648     10096    863044
01:29:19 PM 303275420 389082560   2521368      0.64    858452  84874756   6619040      1.64  58398232  28206816        92   1037808   3343788      9648     10100    863028
01:29:24 PM 303275404 389084772   2519452      0.64    858452  84876860   6619040      1.64  58398228  28208936       228   1037896   3343616      9648     10096    863012
01:29:29 PM 303273444 389084948   2519428      0.64    858452  84878848   6619172      1.64  58398232  28211076        52   1037976   3343612      9648     10096    863028
01:29:34 PM 303274332 389087488   2516836      0.64    858452  84880392   6619172      1.64  58398228  28212664       168   1038040   3343772      9648     10100    863044
01:29:39 PM 303271732 389087008   2517360      0.64    858452  84882384   6619172      1.64  58398232  28214728        60   1038092   3343856      9648     10104    863028
01:29:44 PM 303267292 389084868   2519080      0.64    858452  84884548   6619304      1.64  58398228  28216864        88   1038136   3344412      9648     10096    863044
01:29:49 PM 303266076 389085776   2518372      0.64    858452  84886512   6619304      1.64  58398232  28218960        24   1038200   3344372      9648     10100    863012
01:29:54 PM 303263392 389085212   2519180      0.64    858452  84888532   6619304      1.64  58398232  28220984        72   1038224   3344228      9648     10096    863012
01:29:59 PM 303261204 389085164   2518696      0.64    858452  84890524   6621972      1.64  58398232  28224164        68   1039444   3344908      9680     10208    863036
01:30:04 PM 303259376 389085228   2518620      0.64    858452  84892292   6621972      1.64  58398228  28225940       456   1039484   3345044      9680     10200    863068
01:30:09 PM 303259656 389087368   2516476      0.64    858452  84894060   6619436      1.64  58398228  28226656       192   1038340   3345140      9648     10100    863028
01:30:14 PM 303257684 389087632   2516312      0.64    858452  84896168   6619568      1.64  58398224  28228724       136   1038384   3345168      9664     10096    863012
01:30:19 PM 303256172 389088140   2515828      0.64    858452  84898044   6619568      1.64  58398232  28230732        16   1038436   3345288      9664     10096    863028
01:30:24 PM 303254760 389088704   2515328      0.64    858452  84899900   6619568      1.64  58398232  28232612       232   1038484   3345344      9680     10124    863028
01:30:29 PM 303253036 389089088   2514916      0.64    858452  84901868   6619568      1.64  58398232  28234624       100   1038508   3345512      9664     10096    863044
01:30:34 PM 303249316 389087516   2516244      0.64    858452  84903888   6619700      1.64  58398228  28236800       268   1038608   3345884      9616     10184    863028
01:30:39 PM 303247104 389087852   2515668      0.64    858452  84906272   6619700      1.64  58398232  28239132        52   1038608   3346288      9664     10096    863044
01:30:44 PM 303244676 389087796   2516320      0.64    858452  84908492   6621112      1.64  58398232  28242576       124   1039864   3345844      9632      9844    863044
01:30:49 PM 303243192 389088640   2515096      0.64    858452  84910676   6621112      1.64  58398232  28244868        16   1040000   3346368      9664     10112    863060
01:30:54 PM 303240728 389088044   2516076      0.64    858452  84912416   6621112      1.64  58398228  28246956       216   1040332   3346112      9680     10324    863076
01:30:59 PM 303239216 389089016   2515320      0.64    858452  84914740   6621244      1.64  58398228  28249000        24   1040060   3346056      9648     10112    863028
01:31:04 PM 303233564 389085648   2517988      0.64    858452  84916876   6621244      1.64  58398224  28251684       148   1040100   3346904      9760     10592    863044
01:31:09 PM 303232596 389087196   2516776      0.64    858452  84919240   6621244      1.64  58398224  28253576       128   1040180   3346720      9664     10116    863028
01:31:14 PM 303229904 389086828   2516964      0.64    858452  84921400   6621376      1.64  58398232  28256796       308   1041180   3347064      9792     10060    863060
01:31:19 PM 303227188 389086628   2517368      0.64    858452  84923752   6621376      1.64  58398232  28258188        92   1040260   3347024      9680     10112    863060
01:31:24 PM 303225564 389087376   2516656      0.64    858452  84926024   6840548      1.70  58398232  28261052        64   1040812   3347088      9680     10616    863076
01:31:29 PM 303225824 389089768   2514132      0.64    858452  84928044   6621508      1.64  58398232  28262576        28   1040356   3347332      9680     10112    863076
01:31:34 PM 303229172 389095404   2508740      0.64    858452  84930200   6621508      1.64  58398228  28264784        12   1040396   3347220      9680     10112    863028
01:31:39 PM 303227784 389096360   2508108      0.64    858452  84932392   6624044      1.64  58398232  28268168       100   1041620   3347048      9712     10224    863100
01:31:44 PM 303230888 389101744   2502572      0.63    858452  84934524   6621640      1.64  58398228  28269204       264   1040488   3347348      9696     10108    863108
01:31:49 PM 303228456 389101912   2502424      0.63    858452  84936964   6621640      1.64  58398232  28271716        88   1040540   3347488      9696     10112    863108
01:31:54 PM 303229020 389104588   2499824      0.63    858452  84938956   6621780      1.64  58398232  28273776       148   1040604   3347532      9696     10108    863108
01:31:59 PM 303222768 389100468   2503824      0.63    858452  84940948   6621780      1.64  58398232  28275792        92   1040628   3347792      9696     10112    863156
01:32:04 PM 303223956 389103728   2501076      0.63    858452  84942884   6621780      1.64  58398224  28277784        40   1040672   3347416      9696     10108    863076
01:32:09 PM 303222972 389104968   2499884      0.63    858452  84944964   6621780      1.64  58398224  28279864        96   1040716   3347512      9696     10108    863108
01:32:14 PM 303222040 389106528   2498116      0.63    858452  84947296   6621912      1.64  58398228  28282248        52   1040760   3347880      9696     10116    863108
01:32:19 PM 303219696 389106576   2498048      0.63    858452  84949536   6624448      1.64  58398228  28285672        52   1042008   3348052      9728     10212    863100
01:32:24 PM 303221516 389110404   2494172      0.63    858452  84951420   6622044      1.64  58398228  28286492       376   1040868   3348224      9696     10108    863092
01:32:29 PM 303220764 389111832   2492880      0.63    858452  84953472   6622044      1.64  58398228  28288504       100   1040892   3348216      9696     10108    863060
01:32:34 PM 303219596 389112964   2491392      0.63    858452  84955600   6622044      1.64  58398232  28290756       240   1040940   3348744      9696     10108    863092
01:32:39 PM 303219384 389114800   2489796      0.63    858452  84957568   6622044      1.64  58398232  28292756       108   1040980   3348584      9696     10108    863092
01:32:44 PM 303219432 389117240   2487540      0.63    858452  84959812   6622176      1.64  58398228  28295040       232   1041032   3348548      9696     10112    863076
01:32:49 PM 303218512 389118552   2486176      0.63    858452  84961884   6622176      1.64  58398228  28297140        64   1041072   3348760      9696     10108    863092
01:32:54 PM 303215792 389117552   2487244      0.63    858452  84963464   6622176      1.64  58398232  28298748        28   1041112   3348832      9696     10108    863108
01:32:59 PM 303214848 389118816   2485880      0.63    858452  84965596   6622320      1.64  58398232  28300920       132   1041148   3349008      9696     10108    863092
01:33:04 PM 303215448 389121316   2483312      0.63    858452  84967388   6622320      1.64  58398224  28302752       180   1041184   3349184      9696     10108    863092
01:33:09 PM 303214476 389122532   2482160      0.63    858452  84969436   6622320      1.64  58398232  28304828        84   1041224   3349260      9680     10108    863140
01:33:14 PM 303215388 389125308   2479420      0.63    858452  84971212   6622320      1.64  58398232  28306668       228   1041264   3349312      9680     10108    863124
01:33:19 PM 303215232 389127368   2476888      0.63    858452  84973316   6622452      1.64  58398228  28308800       236   1041304   3349896      9680     10112    863092
01:33:24 PM 303216564 389131048   2473316      0.63    858452  84975504   6622452      1.64  58398224  28311052       168   1041376   3349948      9712     10172    863092
01:33:29 PM 303216088 389132860   2471968      0.63    858452  84977632   6622584      1.64  58398224  28313172        40   1041412   3349644      9712     10144    863108
01:33:34 PM 303214628 389133696   2470648      0.63    858452  84979820   6622584      1.64  58398232  28315484       100   1041452   3350236      9696     10144    863092
01:33:39 PM 303214168 389135432   2468508      0.63    858452  84981868   6622584      1.64  58398232  28317512        56   1041480   3350788      9680     10112    863108
01:33:44 PM 303215148 389138584   2465796      0.62    858452  84983888   6622716      1.64  58398232  28319624       208   1041532   3350500      9696     10140    863108
01:33:49 PM 303215464 389141220   2463164      0.62    858452  84986076   6622716      1.64  58398232  28321852        68   1041556   3350628      9680     10108    863140
01:33:54 PM 303216088 389143940   2460608      0.62    858452  84988016   6622716      1.64  58398232  28323860       164   1041600   3350620      9680     10108    863124
01:33:59 PM 303216860 389146636   2457900      0.62    858452  84989840   6622716      1.64  58398232  28325692       104   1041636   3350732      9680     10108    863124
01:34:04 PM 303214404 389146432   2457696      0.62    858452  84991972   6622848      1.64  58398228  28328200        92   1041992   3351260      9680     10500    863124
01:34:09 PM 303214152 389148600   2455788      0.62    858452  84994244   6623104      1.64  58398232  28330244        40   1041804   3351148      9680     10112    863108
01:34:14 PM 303212768 389149588   2454768      0.62    858452  84996484   6623248      1.64  58398236  28333136       108   1042436   3351312      9760     10396    863124
01:34:19 PM 303212264 389151396   2453412      0.62    858452  84998620   6623248      1.64  58398232  28334876        40   1042048   3351036      9680     10116    863124
01:34:24 PM 303208296 389149780   2454356      0.62    858452  85000812   6623248      1.64  58398228  28338176       212   1043132   3351868      9776     10560    863108
01:34:29 PM 303206596 389150380   2454516      0.62    858452  85002972   6623504      1.64  58398232  28339480        52   1042284   3351248      9680     10108    863092
01:34:34 PM 303204828 389150616   2453740      0.62    858452  85004856   6623636      1.64  58398232  28342064       224   1043000   3351908      9872     10432    863108
01:34:39 PM 303202604 389150996   2454032      0.62    858452  85007268   6623636      1.64  58398232  28344016       116   1042524   3351428      9680     10108    863124
01:34:44 PM 303198668 389149720   2454792      0.62    858452  85009764   6626864      1.64  58398232  28348344       132   1044780   3352108      9872     10272    863132
01:34:49 PM 303199836 389153128   2451596      0.62    858452  85011900   6624024      1.64  58398232  28348932       108   1042800   3352000      9680     10108    863092
01:34:54 PM 303195712 389151536   2452844      0.62    858452  85014276   6626864      1.64  58398228  28352932        28   1044504   3352500      9728     10484    863148
01:34:59 PM 303193444 389151764   2452980      0.62    858452  85016604   6624420      1.64  58398228  28353856       240   1043024   3352304      9680     10108    863124
