Linux 5.15.30-2-pve (superserver2) 	01/31/2024 	_x86_64_	(32 CPU)

07:25:03 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
07:25:08 AM 307614084 389018416   2595936      0.66    858404  80567964   7092116      1.76  54704892  27590852       192   1035348   3237396     10624     10080    864036
07:25:13 AM 307578804 388984660   2629120      0.67    858404  80569460   9637820      2.39  54705236  27626332       400   1069760   3237996      9664     10864    863252
07:25:18 AM 307612516 389019900   2593600      0.66    858404  80570952   6618332      1.64  54705532  27593704       116   1035848   3238312      9632     10028    863156
07:25:23 AM 307613100 389022936   2590652      0.66    858404  80573268   6618332      1.64  54705528  27596108        68   1035964   3238360      9632     10276    863124
07:25:28 AM 307613688 389025616   2587600      0.66    858404  80575212   6618468      1.64  54705532  27598064       224   1035956   3238880      9632     10028    863092
07:25:33 AM 307610976 389025048   2588168      0.66    858404  80577260   6630548      1.64  54705528  27604204        68   1040068   3238976      9632     10776    863108
07:25:38 AM 307612128 389028568   2584972      0.65    858404  80579480   6618468      1.64  54705532  27602400       212   1036040   3238800      9648     10028    863092
07:25:43 AM 307608944 389027740   2585888      0.65    858404  80581692   6618608      1.64  54705532  27604644        20   1036092   3238856      9664     10028    863092
07:25:48 AM 307607984 389029408   2584184      0.65    858404  80584160   6618608      1.64  54705532  27607220        88   1036156   3239052      9664     10028    863108
07:25:53 AM 307608016 389031876   2581732      0.65    858404  80586484   6618608      1.64  54705532  27609616       180   1036252   3239148      9664     10028    863076
07:25:58 AM 307607772 389034092   2579128      0.65    858404  80588784   6618740      1.64  54705532  27612040        92   1036352   3239696      9664     10028    863108
07:26:03 AM 307606608 389035276   2578236      0.65    858404  80590972   6618740      1.64  54705532  27614700        52   1036848   3239564      9648     10272    863092
07:26:08 AM 307605372 389036696   2576892      0.65    858404  80593468   6618740      1.64  54705528  27616936       172   1036560   3239648      9664     10024    863092
07:26:13 AM 307602644 389036616   2576988      0.65    858404  80595940   6618884      1.64  54705528  27619996        80   1037172   3239808      9664     10532    863156
07:26:18 AM 307599504 389035824   2577208      0.65    858404  80598128   6618884      1.64  54705532  27621796       208   1036764   3240540      9664     10020    863188
07:26:23 AM 307598540 389037256   2575784      0.65    858404  80600396   6618884      1.64  54705532  27624636        48   1037360   3240660      9664     10528    863156
