Linux 5.15.0-91-generic (gl5) 	02/01/2024 	_x86_64_	(32 CPU)

12:11:04 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
12:11:09 AM 287514892 389839732   1819500      0.46   1571428 100135468   4678396      1.16  44854432  57399444       540    575392   3817260     10608      5832    279944
12:11:14 AM 287461516 389788632   1869728      0.47   1571428 100137592  10251428      2.54  44854636  57469964      1680    643940   3818284      9712      7212    279248
12:11:19 AM 287522504 389850348   1808168      0.46   1571428 100138320   4209508      1.04  44854776  57403284       468    577220   3818128      9600      5772    279120
12:11:24 AM 287515732 389845244   1813280      0.46   1571428 100139872   4205604      1.04  44854932  57404168      1472    576088   3818236      9616      5748    279112
12:11:29 AM 287516024 389847380   1811196      0.46   1571428 100141648   4205604      1.04  44854932  57405980       364    576128   3818252      9616      5752    279096
12:11:34 AM 287518068 389851288   1807288      0.46   1571428 100143352   4205604      1.04  44854932  57407632      1480    576020   3818412      9568      5652    279096
12:11:39 AM 287518000 389853120   1805388      0.46   1571428 100145152   4205604      1.04  44854936  57409576       368    576216   3818580      9632      5756    279128
12:11:44 AM 287514940 389851808   1806732      0.46   1571428 100146848   4205736      1.04  44854936  57411296      1280    576256   3818600      9616      5748    279128
12:11:49 AM 287515256 389854044   1804496      0.46   1571428 100148672   4205736      1.04  44854936  57413140       276    576288   3818696      9616      5756    279064
12:11:54 AM 287510828 389851580   1807224      0.46   1571428 100150512   4205736      1.04  44854936  57415080      1304    576404   3818556      9648      5780    279080
12:11:59 AM 287511544 389854196   1804656      0.46   1571428 100152328   4209780      1.04  44854944  57418712       256    578260   3818592      9600      5796    279056
12:12:04 AM 287503836 389848196   1810664      0.46   1571428 100153856   4206604      1.04  44854940  57418536      1332    576492   3818764      9648      5820    279032
12:12:09 AM 287503508 389849712   1809156      0.46   1571428 100155604   4205876      1.04  44854944  57420356       184    576556   3818852      9616      5756    279000
12:12:14 AM 287508424 389856440   1802260      0.46   1571428 100157240   4205876      1.04  44854940  57422240      1248    576692   3819196      9904      5728    279048
12:12:19 AM 287507888 389857592   1801244      0.46   1571428 100158844   4206008      1.04  44854948  57423652        24    576660   3819144      9648      5748    279016
12:12:24 AM 287501372 389852808   1805960      0.46   1571428 100160448   4211392      1.04  44854948  57427496       880    579528   3819340     10224      5852    279168
12:12:29 AM 287497772 389850948   1808040      0.46   1571428 100162080   4210228      1.04  44854952  57429036        24    578808   3819228      9648      5868    279136
12:12:34 AM 287500616 389855400   1803580      0.46   1571428 100163572   4209912      1.04  44854956  57430284        20    578568   3819352      9632      5868    279104
12:12:39 AM 287487488 389844360   1814928      0.46   1571432 100165508   4210360      1.04  44854956  57432584      1656    578980   3819192      9648      5912    279120
12:12:44 AM 287490292 389849124   1810088      0.46   1571432 100167320   4206140      1.04  44854960  57432380       380    576848   3819416      9632      5788    279096
12:12:49 AM 287495536 389856316   1802788      0.46   1571432 100169228   4206140      1.04  44854956  57434272      1576    576896   3819564      9600      5756    279048
12:12:54 AM 287495160 389857624   1801628      0.46   1571432 100170828   4206276      1.04  44854956  57436016       360    576992   3819500      9584      5720    279096
12:12:59 AM 287486244 389850572   1808692      0.46   1571432 100172560   4206276      1.04  44854960  57437708      1588    576980   3819620      9632      5780    279080
12:13:04 AM 287483424 389849388   1809932      0.46   1571432 100174084   4214400      1.05  44854972  57443384       368    581132   3819676      9664      5960    279128
12:13:09 AM 287476636 389843852   1815372      0.46   1571432 100175596   4210496      1.04  44854968  57443124      1584    579364   3819512      9632      5872    279104
12:13:14 AM 287477268 389846544   1812820      0.46   1571432 100177540   4206408      1.04  44854968  57442940       268    577216   3819488      9616      5784    279064
12:13:19 AM 287479112 389850380   1808952      0.46   1571432 100179388   4206408      1.04  44854964  57444800      1512    577240   3819664      9600      5760    279096
12:13:24 AM 287478012 389851224   1808152      0.46   1571432 100181160   4206408      1.04  44854968  57446604       256    577264   3819792      9600      5752    279080
12:13:29 AM 287476596 389851568   1807656      0.46   1571432 100182812   4206408      1.04  44854972  57448280      1236    577304   3820052      9600      5768    279128
12:13:34 AM 287474668 389851260   1807976      0.46   1571432 100184332   4210760      1.04  44854976  57452092       272    579584   3820140      9632      5888    279120
12:13:39 AM 287475216 389854172   1805056      0.46   1571432 100186488   4206540      1.04  44854972  57452028      1228    577384   3820356      9632      5772    279128
12:13:44 AM 287473088 389853868   1805348      0.46   1571432 100188212   4206540      1.04  44854976  57453828       176    577440   3820468      9648      5800    279112
12:13:49 AM 287469664 389852344   1806808      0.46   1571432 100189908   4206540      1.04  44854972  57455528      1120    577452   3820736      9632      5772    279144
12:13:54 AM 287469984 389854236   1804952      0.46   1571432 100191376   4206688      1.04  44854980  57457040       164    577500   3820804      9632      5764    279112
12:13:59 AM 287467512 389853656   1805596      0.46   1571432 100193112   4210908      1.04  44854980  57461860      1156    580160   3820896     10016      6016    279168
12:14:04 AM 287469736 389857248   1802192      0.46   1571432 100194416   4206688      1.04  44854980  57460128       180    577544   3820772      9632      5768    279112
12:14:09 AM 287468612 389857820   1801476      0.46   1571432 100196016   4210592      1.04  44854976  57463508       524    579244   3821012     10272      5568    279120
12:14:14 AM 287439112 389830340   1828588      0.46   1571432 100197904   4215264      1.05  44854992  57468040        24    582064   3821512      9680      6020    279096
12:14:19 AM 287443692 389836732   1822084      0.46   1571432 100199596   4208104      1.04  44854976  57466500       500    578700   3821744      9616      5740    279080
12:14:24 AM 287437752 389832732   1825984      0.46   1571432 100201380   4208104      1.04  44854984  57468528      1364    578984   3822000      9616      5772    279080
12:14:29 AM 287437396 389834236   1824696      0.46   1571432 100203128   4208104      1.04  44854988  57470276       404    579036   3821896      9632      5812    279080
12:14:34 AM 287435364 389834488   1824916      0.46   1571432 100205236   4208236      1.04  44854988  57472484      1292    579060   3821600      9632      5776    279048
12:14:39 AM 287434028 389834940   1824388      0.46   1571432 100206920   4208236      1.04  44854984  57474000       380    578880   3821780      9648      5776    279064
12:14:44 AM 287435264 389837980   1821132      0.46   1571432 100208476   4208236      1.04  44854996  57476508      1476    579836   3822244      9664      5908    279048
12:14:49 AM 287434628 389839180   1820176      0.46   1571432 100210204   4208236      1.04  44854988  57477508       404    579260   3822108      9648      5776    279080
12:14:54 AM 287430800 389837428   1821944      0.46   1571432 100212052   4208368      1.04  44854992  57479512      1412    579396   3822320      9632      5780    279048
12:14:59 AM 287431412 389839896   1819472      0.46   1571432 100213800   4208368      1.04  44854996  57481392       344    579468   3822432      9664      5812    279032
12:15:04 AM 287430904 389841480   1818336      0.46   1571432 100215676   4208368      1.04  44854992  57483180      1448    579376   3822200      9648      5780    279016
12:15:09 AM 287430424 389842732   1817084      0.46   1571432 100217292   4208500      1.04  44855004  57485020       352    579632   3822316      9648      5816    278984
12:15:14 AM 287419288 389833580   1826088      0.46   1571432 100219020   4208500      1.04  44855000  57486700      1216    579548   3822720      9632      5784    279112
12:15:19 AM 287406496 389822832   1836888      0.47   1571432 100220992   4212720      1.04  44855004  57491172       528    582136   3822740      9680      5944    279120
12:15:24 AM 287414524 389833252   1826512      0.46   1571432 100223080   4208644      1.04  44855000  57490856      1124    579708   3823000      9648      5828    279160
12:15:29 AM 287413456 389834156   1825584      0.46   1571432 100224948   4208644      1.04  44855004  57492752       216    579692   3823128      9648      5820    279144
12:15:34 AM 287418552 389841016   1818820      0.46   1571432 100226680   4209440      1.04  44855004  57494472      1180    579624   3823064      9616      5740    279144
12:15:39 AM 287417236 389841344   1818424      0.46   1571432 100228228   4208644      1.04  44855008  57496092       168    579740   3823228      9632      5784    279128
12:15:44 AM 287434360 389860404   1799064      0.46   1571432 100230076   4208644      1.04  44854996  57497968      1656    580064   3823616     10128      5564    279112
12:15:49 AM 287433252 389860948   1798388      0.46   1571432 100231748   4208776      1.04  44855000  57499628        32    579692   3823728      9632      5744    279112
12:15:54 AM 287427376 389856664   1802412      0.46   1571432 100233280   4212996      1.04  44855008  57503480       940    582692   3824048     10336      5868    279184
12:15:59 AM 287428380 389859580   1799912      0.46   1571432 100235000   4208776      1.04  44855012  57503056        12    579916   3823824      9648      5812    279112
12:16:04 AM 287426316 389859428   1800100      0.46   1571432 100236772   4208908      1.04  44855012  57504700       340    579792   3823928      9600      5712    279096
12:16:09 AM 287424852 389860040   1799604      0.46   1571432 100238712   4208908      1.04  44855016  57506756      1444    579936   3823948      9632      5752    279128
12:16:14 AM 287425200 389862116   1797480      0.46   1571432 100240348   4208908      1.04  44855016  57508456       272    579992   3824088      9648      5776    279128
12:16:19 AM 287422180 389861076   1798508      0.46   1571432 100242156   4208908      1.04  44855020  57510296       756    580028   3824272      9648      5788    279112
12:16:24 AM 287418636 389859348   1800208      0.46   1571432 100243876   4213260      1.04  44855024  57514276       324    582292   3824396      9664      5872    279136
12:16:29 AM 287420548 389863180   1796432      0.45   1571432 100245600   4209040      1.04  44855020  57513780       688    580040   3824536      9552      5656    279144
12:16:34 AM 287433620 389878064   1781664      0.45   1571432 100247312   4209040      1.04  44855020  57515580       248    580144   3824520      9664      5784    279160
12:16:39 AM 287433856 389879920   1779844      0.45   1571432 100248728   4212944      1.04  44855028  57518872       932    582152   3824688      9728      6000    279120
12:16:44 AM 287429936 389878136   1781460      0.45   1571432 100250748   4213392      1.04  44855028  57521280       356    582440   3824972      9696      5928    279152
12:16:49 AM 287430664 389880952   1778556      0.45   1571432 100252560   4209172      1.04  44855028  57520924       988    580260   3825336      9696      5816    279128
12:16:54 AM 287428852 389880860   1778784      0.45   1571432 100254184   4209172      1.04  44855028  57522632       244    580336   3825296      9648      5784    279144
12:16:59 AM 287420800 389874776   1785072      0.45   1571432 100255968   4209172      1.04  44855028  57524480       952    580344   3825276      9632      5748    279128
12:17:04 AM 287418444 389874236   1785600      0.45   1571432 100257692   4209304      1.04  44855032  57526288       264    580488   3825380      9712      5852    279112
12:17:09 AM 287408756 389866136   1793484      0.45   1571432 100259108   4209304      1.04  44855036  57527648       804    580628   3825768      9696      5812    279096
12:17:14 AM 287406944 389866004   1793592      0.45   1571432 100260692   4209304      1.04  44855032  57529148       240    580440   3825888      9744      5872    279064
12:17:19 AM 287402604 389863492   1795980      0.45   1571432 100262516   4209436      1.04  44855032  57531132       704    580500   3826016      9648      5744    279112
12:17:24 AM 287400936 389863680   1795808      0.45   1571432 100264260   4213656      1.04  44855040  57534816       140    582508   3826112      9696      5900    279104
12:17:29 AM 287398768 389863368   1796116      0.45   1571432 100266016   4209436      1.04  44855028  57534280       952    579992   3826216      9968      5820    279080
12:17:34 AM 287395796 389862316   1796964      0.46   1571432 100267832   4209692      1.04  44855036  57536192        12    580216   3826524      9648      5776    279112
12:17:39 AM 287391412 389859880   1799508      0.46   1571432 100269668   4209824      1.04  44855036  57538384       148    581496   3826528      9920      5836    279112
12:17:44 AM 287389500 389859480   1799932      0.46   1571432 100271028   4209824      1.04  44855044  57539752      1028    580632   3826656      9648      5824    279096
12:17:49 AM 287388784 389860556   1798888      0.46   1571432 100272716   4209824      1.04  44855044  57541500       372    580636   3826728      9632      5784    279080
12:17:54 AM 287378072 389852104   1807180      0.46   1571432 100274852   4210812      1.04  44855032  57543504       976    580536   3827012      9664      5740    279144
12:17:59 AM 287376308 389852412   1806860      0.46   1571432 100276796   4210232      1.04  44855036  57545616       408    580700   3827152      9664      5776    279144
12:18:04 AM 287369068 389846972   1812368      0.46   1571432 100278440   4214136      1.05  44855052  57549288       996    582800   3827240      9696      5888    279216
12:18:09 AM 287368368 389848204   1811052      0.46   1571432 100280268   4210232      1.04  44855048  57549360       432    580980   3827428      9616      5716    279160
12:18:14 AM 287362396 389844068   1815380      0.46   1571432 100282016   4210232      1.04  44855048  57551200      1092    581092   3827324      9648      5756    279128
12:18:19 AM 287362216 389845712   1813572      0.46   1571432 100283704   4210620      1.04  44855044  57552940       328    581096   3827624      9664      5752    279160
12:18:24 AM 287361508 389846916   1812420      0.46   1571432 100285540   4210620      1.04  44855048  57554900      1080    581308   3827648      9664      5780    279176
12:18:29 AM 287358812 389846252   1813144      0.46   1571432 100287484   4210620      1.04  44855040  57556744       376    581176   3827676      9648      5732    279160
12:18:34 AM 287351944 389841480   1818420      0.46   1571432 100289340   4210752      1.04  44855056  57558944      1076    581520   3827412      9664      5780    279176
12:18:39 AM 287364576 389855928   1803972      0.46   1571432 100291060   4211008      1.04  44855060  57560832       348    581744   3827508      9696      5848    279192
12:18:44 AM 287356632 389849924   1809688      0.46   1571432 100293000   4211008      1.04  44855060  57562708      1164    581708   3827796      9664      5796    279224
12:18:49 AM 287352252 389847532   1812040      0.46   1571432 100294856   4215228      1.05  44855064  57566836       416    584004   3827968      9680      5904    279200
12:18:54 AM 287345952 389843332   1816088      0.46   1571432 100296756   4211140      1.04  44855052  57566644      1340    581808   3828320      9664      5784    279160
12:18:59 AM 287342040 389841132   1818228      0.46   1571432 100298364   4215616      1.05  44855064  57570576       316    584212   3828484      9712      5936    279184
12:19:04 AM 287339904 389841132   1818432      0.46   1571432 100300356   4211396      1.04  44855064  57570684       944    582288   3828424      9696      5852    279240
12:19:09 AM 287340732 389843608   1815812      0.46   1571432 100301944   4211528      1.04  44855068  57572236        12    582180   3828628      9648      5788    279176
12:19:14 AM 287348116 389851604   1807400      0.46   1571432 100302816   4211528      1.04  44855060  57573992       928    583652   3828784      9840      5808    279208
12:19:19 AM 287347880 389852340   1806592      0.46   1571436 100303700   4211528      1.04  44855064  57574092       120    582312   3828940      9664      5752    279144
12:19:24 AM 287346992 389852588   1806400      0.46   1571440 100304760   4211528      1.04  44855072  57575464       808    582104   3828956     10304      5792    279160
12:19:29 AM 287345044 389851760   1807448      0.46   1571440 100305820   4215748      1.05  44855084  57578608       472    584740   3828796      9696      5908    279200
12:19:34 AM 287349368 389857096   1802112      0.46   1571440 100306776   4211528      1.04  44855080  57577464         0    582588   3828852      9664      5784    279128
12:19:39 AM 287344272 389853172   1806068      0.46   1571440 100307856   4211784      1.04  44855084  57578536      1608    582652   3828912      9696      5820    279192
12:19:44 AM 287344140 389854032   1805196      0.46   1571440 100308760   4211916      1.04  44855084  57579532       308    582704   3829012      9680      5788    279192
12:19:49 AM 287338220 389849172   1810020      0.46   1571440 100309816   4211916      1.04  44855084  57580620      1456    582748   3829052      9680      5788    279176
12:19:54 AM 287338260 389850372   1808796      0.46   1571440 100310888   4211916      1.04  44855088  57581760       272    582808   3829164      9696      5788    279160
12:19:59 AM 287346896 389860384   1798896      0.46   1571440 100312212   4211916      1.04  44855084  57583092      1528    582868   3829104      9696      5796    279176
12:20:04 AM 287347700 389861884   1797480      0.46   1571440 100312844   4211916      1.04  44854780  57584084       392    582852   3829084      9728      5824    279176
12:20:09 AM 287348328 389863964   1795788      0.45   1571440 100314192   4211916      1.04  44854796  57585516      1452    582972   3828800      9696      5792    279208
12:20:14 AM 287348224 389865132   1794480      0.45   1571440 100315404   4212304      1.04  44854796  57586832       276    583064   3829000      9696      5828    279176
12:20:19 AM 287342728 389861364   1798072      0.46   1571440 100317008   4212304      1.04  44854796  57588508       344    583140   3829300      9696      5824    279160
12:20:24 AM 287342968 389862936   1796492      0.45   1571440 100318276   4212304      1.04  44854796  57589752       260    583076   3829372      9664      5756    279160
12:20:29 AM 287340588 389861712   1797744      0.46   1571440 100319384   4212304      1.04  44854800  57590944      1408    583248   3829392      9648      5788    279112
12:20:34 AM 287340188 389863052   1796592      0.45   1571440 100321036   4212304      1.04  44854804  57592696       260    583336   3829292      9648      5792    279096
12:20:39 AM 287331480 389855612   1803960      0.46   1571440 100322316   4212436      1.04  44854804  57594032      1436    583408   3829352      9648      5792    279112
12:20:44 AM 287332740 389858112   1801452      0.46   1571440 100323472   4212692      1.04  44854804  57595324       236    583492   3829444      9648      5788    279080
12:20:49 AM 287328248 389855084   1804404      0.46   1571440 100324772   4216912      1.05  44854804  57598740      1264    585688   3829684      9696      5944    279184
12:20:54 AM 287330856 389858972   1800600      0.46   1571448 100325960   4212692      1.04  44854816  57597920       252    583616   3829684      9648      5792    279144
12:20:59 AM 287323664 389853236   1806384      0.46   1571448 100327180   4212692      1.04  44854812  57599496      1236    583504   3829872      9952      5712    279160
12:21:04 AM 287324500 389855288   1804288      0.46   1571448 100328316   4212824      1.04  44854820  57600432       836    583752   3829996      9664      5788    279112
12:21:09 AM 287323068 389855792   1803464      0.46   1571448 100330152   4213080      1.04  44854824  57602492       740    584056   3830416      9920      6264    279128
12:21:14 AM 287322856 389857544   1801896      0.46   1571448 100331980   4213080      1.04  44854816  57604144        24    583800   3830368      9648      5760    279096
12:21:19 AM 287323440 389859060   1800400      0.46   1571448 100332852   4213212      1.04  44854824  57605184       360    583976   3830408      9632      5792    279112
12:21:24 AM 287318528 389855952   1803456      0.46   1571448 100334528   4213212      1.04  44854820  57606844      1400    583912   3830588      9584      5688    279096
12:21:29 AM 287316732 389855608   1803692      0.46   1571448 100335884   4213212      1.04  44854824  57608372       372    584144   3830792      9648      5824    279112
12:21:34 AM 287314928 389855156   1804068      0.46   1571448 100337148   4213212      1.04  44854828  57609708      1340    584188   3830956      9632      5792    279128
12:21:39 AM 287314264 389856272   1802928      0.46   1571448 100338836   4213468      1.04  44854828  57611440       372    584280   3831072      9632      5800    279112
12:21:44 AM 287315148 389858852   1800364      0.46   1571448 100340336   4213468      1.04  44854824  57613012      1476    584292   3831252      9648      5788    279128
12:21:49 AM 287313760 389858792   1800376      0.46   1571448 100341600   4213600      1.04  44854828  57614412       352    584464   3831364      9600      5788    279128
12:21:54 AM 287309820 389856320   1802896      0.46   1571448 100342984   4213600      1.04  44854832  57615888      1340    584548   3831400      9632      5788    279112
12:21:59 AM 287308252 389856072   1803160      0.46   1571448 100344260   4217820      1.05  44854836  57619368       416    586836   3831428      9664      5908    279104
12:22:04 AM 287307456 389857128   1801908      0.46   1571448 100345944   4213856      1.04  44854832  57619016      1404    584740   3831792      9648      5804    279128
12:22:09 AM 287306124 389857192   1801944      0.46   1571448 100347240   4213988      1.05  44854836  57620364       352    584816   3831792      9648      5800    279112
12:22:14 AM 287299036 389851772   1807532      0.46   1571448 100348864   4213988      1.05  44854840  57622792      1412    585624   3831668      9680      5904    279112
12:22:19 AM 287299316 389853336   1806020      0.46   1571448 100350052   4213988      1.05  44854836  57623288       344    584888   3831712      9632      5764    279096
12:22:24 AM 287289540 389845012   1813996      0.46   1571448 100351404   4218464      1.05  44854836  57626652      1444    586956   3832160      9696      5924    279152
12:22:29 AM 287291160 389848360   1810924      0.46   1571448 100353012   4214244      1.05  44854840  57626296       244    584968   3832004      9648      5828    279112
12:22:34 AM 287289760 389848364   1810684      0.46   1571448 100354316   4215304      1.05  44854836  57627840      1264    585152   3832340      9664      5792    279192
12:22:39 AM 287290072 389850112   1808856      0.46   1571448 100355684   4214376      1.05  44854840  57629124       180    585128   3832488      9664      5836    279128
12:22:44 AM 287283344 389845052   1814108      0.46   1571448 100357252   4214632      1.05  44854848  57630496       804    584876   3832396      9840      5492    279128
12:22:49 AM 287282636 389845716   1813496      0.46   1571448 100358524   4214632      1.05  44854848  57632112        12    585268   3832444      9648      5800    279080
12:22:54 AM 287275988 389840676   1818556      0.46   1571448 100360016   4214772      1.05  44854840  57634184       476    585856   3832540     10144      5680    279112
12:22:59 AM 287275516 389842016   1817084      0.46   1571448 100361656   4214772      1.05  44854852  57635464        12    585520   3832844      9664      5836    279080
12:23:04 AM 287287856 389855628   1803680      0.46   1571448 100362864   4219248      1.05  44854856  57638932        12    587792   3832700      9680      5932    279120
12:23:09 AM 287283912 389853160   1805776      0.46   1571448 100364344   4215028      1.05  44854852  57638284        12    585592   3833068      9680      5844    279128
12:23:14 AM 287282436 389852968   1805936      0.46   1571448 100365584   4215028      1.05  44854852  57639644       280    585772   3833144      9696      5844    279112
12:23:19 AM 287282976 389855004   1803528      0.46   1571448 100366936   4215160      1.05  44854852  57641036      1516    585824   3833660      9664      5804    279144
12:23:24 AM 287281748 389855180   1803372      0.46   1571448 100368292   4215416      1.05  44854852  57642496       276    585920   3833688      9680      5808    279128
12:23:29 AM 287276092 389850732   1807828      0.46   1571448 100369340   4215416      1.05  44854860  57643664      1568    586028   3833840      9680      5816    279080
12:23:34 AM 287275648 389852072   1806524      0.46   1571448 100371060   4215416      1.05  44854860  57645524       272    586172   3833868      9696      5840    279096
12:23:39 AM 287268764 389846808   1811888      0.46   1571448 100372552   4215416      1.05  44854860  57647084      1484    586236   3833896      9680      5820    279080
12:23:44 AM 287268436 389848008   1810672      0.46   1571448 100373988   4219708      1.05  44854864  57650180       280    587964   3834004      9712      5928    279136
12:23:49 AM 287270156 389851148   1807312      0.46   1571448 100375456   4220024      1.05  44854868  57652632      1588    588920   3834176      9712      5924    279120
12:23:54 AM 287269836 389852196   1806296      0.46   1571448 100376756   4215804      1.05  44854860  57651448       280    586404   3834212      9712      5812    279096
12:23:59 AM 287269384 389853260   1805324      0.46   1571448 100378208   4215804      1.05  44854868  57653076      1512    586580   3834184      9664      5776    279128
12:24:04 AM 287268436 389853804   1804868      0.46   1571452 100379644   4216060      1.05  44854868  57654608       276    586692   3834148      9696      5804    279128
