Linux 5.15.0-91-generic (gl5) 	02/01/2024 	_x86_64_	(32 CPU)

12:11:04 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:11:09 AM     all      3.71      0.00      4.31      0.09      0.00     91.88
12:11:09 AM       0      0.60      0.00      4.61      0.00      0.00     94.79
12:11:09 AM       1      0.80      0.00      4.60      2.80      0.00     91.80
12:11:09 AM       2      0.60      0.00      4.79      0.00      0.00     94.61
12:11:09 AM       3      0.80      0.00      4.40      0.00      0.00     94.80
12:11:09 AM       4      1.00      0.00      4.22      0.00      0.00     94.78
12:11:09 AM       5      0.80      0.00      4.62      0.00      0.00     94.58
12:11:09 AM       6      1.00      0.00      4.21      0.00      0.00     94.79
12:11:09 AM       7      3.60      0.00      4.40      0.00      0.00     92.00
12:11:09 AM       8      1.20      0.00      4.38      0.00      0.00     94.42
12:11:09 AM       9     91.00      0.00      1.60      0.00      0.00      7.40
12:11:09 AM      10      0.80      0.00      4.40      0.00      0.00     94.80
12:11:09 AM      11      0.40      0.00      4.61      0.00      0.00     94.99
12:11:09 AM      12      1.00      0.00      4.20      0.00      0.00     94.80
12:11:09 AM      13      0.60      0.00      4.60      0.00      0.00     94.80
12:11:09 AM      14      0.60      0.00      4.99      0.00      0.00     94.41
12:11:09 AM      15      1.00      0.00      4.20      0.00      0.00     94.80
12:11:09 AM      16      0.40      0.00      4.61      0.00      0.00     94.99
12:11:09 AM      17      1.00      0.00      4.20      0.00      0.00     94.80
12:11:09 AM      18      0.40      0.00      4.80      0.00      0.00     94.80
12:11:09 AM      19      0.60      0.00      4.60      0.00      0.00     94.80
12:11:09 AM      20      0.80      0.00      4.41      0.00      0.00     94.79
12:11:09 AM      21      0.80      0.00      4.41      0.00      0.00     94.79
12:11:09 AM      22      0.80      0.00      4.41      0.00      0.00     94.79
12:11:09 AM      23      0.80      0.00      4.40      0.00      0.00     94.80
12:11:09 AM      24      1.00      0.00      4.19      0.00      0.00     94.81
12:11:09 AM      25      0.80      0.00      4.40      0.00      0.00     94.80
12:11:09 AM      26      0.80      0.00      4.39      0.00      0.00     94.81
12:11:09 AM      27      0.80      0.00      4.20      0.00      0.00     95.00
12:11:09 AM      28      0.80      0.00      4.21      0.00      0.00     94.99
12:11:09 AM      29      1.00      0.00      4.01      0.00      0.00     94.99
12:11:09 AM      30      1.20      0.00      4.01      0.00      0.00     94.79
12:11:09 AM      31      1.00      0.00      4.01      0.00      0.00     94.99

12:11:09 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:11:14 AM     all      1.85      0.00      0.26      0.79      0.00     97.10
12:11:14 AM       0      0.40      0.00      0.60      0.00      0.00     99.00
12:11:14 AM       1      0.20      0.00      0.40      0.00      0.00     99.40
12:11:14 AM       2      0.00      0.00      0.00      0.00      0.00    100.00
12:11:14 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
12:11:14 AM       4      0.00      0.00      0.60      0.00      0.00     99.40
12:11:14 AM       5      0.00      0.00      0.60      0.00      0.00     99.40
12:11:14 AM       6      0.20      0.00      0.20      0.00      0.00     99.60
12:11:14 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
12:11:14 AM       8      0.00      0.00      0.40      0.00      0.00     99.60
12:11:14 AM       9     23.05      0.00      0.80     20.04      0.00     56.11
12:11:14 AM      10      0.00      0.00      0.00      0.00      0.00    100.00
12:11:14 AM      11      0.00      0.00      0.20      0.00      0.00     99.80
12:11:14 AM      12      0.00      0.00      0.00      0.00      0.00    100.00
12:11:14 AM      13      0.40      0.00      0.00      0.00      0.00     99.60
12:11:14 AM      14      0.60      0.00      0.20      0.00      0.00     99.20
12:11:14 AM      15      0.00      0.00      0.00      0.00      0.00    100.00
12:11:14 AM      16      0.00      0.00      0.00      0.00      0.00    100.00
12:11:14 AM      17      0.00      0.00      0.40      0.00      0.00     99.60
12:11:14 AM      18      0.20      0.00      0.20      0.00      0.00     99.60
12:11:14 AM      19      0.00      0.00      0.20      0.00      0.00     99.80
12:11:14 AM      20      0.00      0.00      0.20      0.00      0.00     99.80
12:11:14 AM      21      0.00      0.00      0.00      0.00      0.00    100.00
12:11:14 AM      22      0.00      0.00      0.20      0.00      0.00     99.80
12:11:14 AM      23      0.40      0.00      0.40      0.00      0.00     99.20
12:11:14 AM      24      0.00      0.00      0.00      0.00      0.00    100.00
12:11:14 AM      25      0.00      0.00      0.00      0.00      0.00    100.00
12:11:14 AM      26     16.43      0.00      0.80      3.01      0.00     79.76
12:11:14 AM      27      0.00      0.00      0.20      0.00      0.00     99.80
12:11:14 AM      28      0.80      0.00      0.80      0.00      0.00     98.40
12:11:14 AM      29      0.00      0.00      0.20      0.00      0.00     99.80
12:11:14 AM      30     16.60      0.00      0.60      2.40      0.00     80.40
12:11:14 AM      31      0.00      0.00      0.00      0.00      0.00    100.00

12:11:14 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:11:19 AM     all      3.91      0.00      0.13      0.39      0.00     95.57
12:11:19 AM       0      0.00      0.00      0.20      0.00      0.00     99.80
12:11:19 AM       1      0.00      0.00      0.00      0.00      0.00    100.00
12:11:19 AM       2      0.00      0.00      0.20      0.00      0.00     99.80
12:11:19 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
12:11:19 AM       4      0.00      0.00      0.20      0.00      0.00     99.80
12:11:19 AM       5      0.00      0.00      0.20      0.00      0.00     99.80
12:11:19 AM       6      0.00      0.00      0.00      0.80      0.00     99.20
12:11:19 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
12:11:19 AM       8      0.00      0.00      0.20      0.00      0.00     99.80
12:11:19 AM       9     10.78      0.00      0.20      1.80      0.00     87.23
12:11:19 AM      10      0.00      0.00      0.00      0.00      0.00    100.00
12:11:19 AM      11      0.20      0.00      0.40      0.00      0.00     99.40
12:11:19 AM      12      0.00      0.00      0.00      0.00      0.00    100.00
12:11:19 AM      13      0.00      0.00      0.20      0.00      0.00     99.80
12:11:19 AM      14      0.00      0.00      0.00      0.00      0.00    100.00
12:11:19 AM      15      0.00      0.00      0.00      0.00      0.00    100.00
12:11:19 AM      16      0.20      0.00      0.20      0.00      0.00     99.60
12:11:19 AM      17      0.20      0.00      0.40      0.00      0.00     99.40
12:11:19 AM      18      0.00      0.00      0.20      0.00      0.00     99.80
12:11:19 AM      19      0.00      0.00      0.00      0.00      0.00    100.00
12:11:19 AM      20      0.00      0.00      0.20      0.00      0.00     99.80
12:11:19 AM      21      0.00      0.00      0.00      0.00      0.00    100.00
12:11:19 AM      22      0.20      0.00      0.00      0.00      0.00     99.80
12:11:19 AM      23      0.00      0.00      0.00      0.00      0.00    100.00
12:11:19 AM      24      0.00      0.00      0.00      0.00      0.00    100.00
12:11:19 AM      25      0.00      0.00      0.00      0.00      0.00    100.00
12:11:19 AM      26     76.55      0.00      0.40      4.01      0.00     19.04
12:11:19 AM      27      0.40      0.00      0.20      1.00      0.00     98.40
12:11:19 AM      28      0.00      0.00      0.00      0.00      0.00    100.00
12:11:19 AM      29      0.60      0.00      0.20      0.40      0.00     98.80
12:11:19 AM      30     36.20      0.00      0.20      4.60      0.00     59.00
12:11:19 AM      31      0.00      0.00      0.20      0.00      0.00     99.80

12:11:19 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:11:24 AM     all      1.08      0.00      0.23      1.16      0.00     97.53
12:11:24 AM       0      0.40      0.00      0.40      0.00      0.00     99.20
12:11:24 AM       1      0.20      0.00      0.40      0.60      0.00     98.80
12:11:24 AM       2      0.00      0.00      0.20      0.00      0.00     99.80
12:11:24 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
12:11:24 AM       4      0.20      0.00      0.20      0.00      0.00     99.60
12:11:24 AM       5      0.20      0.00      0.60      0.00      0.00     99.20
12:11:24 AM       6      0.20      0.00      0.40      0.00      0.00     99.40
12:11:24 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
12:11:24 AM       8      0.40      0.00      0.40      0.00      0.00     99.20
12:11:24 AM       9     31.79      0.00      0.80     36.62      0.00     30.78
12:11:24 AM      10      0.20      0.00      0.40      0.00      0.00     99.40
12:11:24 AM      11      0.20      0.00      0.40      0.00      0.00     99.40
12:11:24 AM      12      0.80      0.00      1.00      0.00      0.00     98.20
12:11:24 AM      13      0.20      0.00      0.20      0.00      0.00     99.60
12:11:24 AM      14      0.00      0.00      0.60      0.00      0.00     99.40
12:11:24 AM      15      0.00      0.00      0.00      0.00      0.00    100.00
12:11:24 AM      16      0.00      0.00      0.00      0.00      0.00    100.00
12:11:24 AM      17      0.00      0.00      0.00      0.00      0.00    100.00
12:11:24 AM      18      0.00      0.00      0.00      0.00      0.00    100.00
12:11:24 AM      19      0.00      0.00      0.40      0.00      0.00     99.60
12:11:24 AM      20      0.00      0.00      0.00      0.00      0.00    100.00
12:11:24 AM      21      0.00      0.00      0.00      0.00      0.00    100.00
12:11:24 AM      22      0.00      0.00      0.00      0.00      0.00    100.00
12:11:24 AM      23      0.00      0.00      0.40      0.00      0.00     99.60
12:11:24 AM      24      0.00      0.00      0.00      0.00      0.00    100.00
12:11:24 AM      25      0.00      0.00      0.00      0.00      0.00    100.00
12:11:24 AM      26      0.00      0.00      0.00      0.00      0.00    100.00
12:11:24 AM      27      0.00      0.00      0.00      0.00      0.00    100.00
12:11:24 AM      28      0.00      0.00      0.00      0.00      0.00    100.00
12:11:24 AM      29      0.00      0.00      0.00      0.00      0.00    100.00
12:11:24 AM      30      0.00      0.00      0.00      0.00      0.00    100.00
12:11:24 AM      31      0.00      0.00      0.60      0.00      0.00     99.40

12:11:24 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:11:29 AM     all      0.77      0.00      0.12      1.45      0.00     97.66
12:11:29 AM       0      0.00      0.00      0.20      0.00      0.00     99.80
12:11:29 AM       1      0.00      0.00      0.00      0.60      0.00     99.40
12:11:29 AM       2      0.00      0.00      0.00      0.00      0.00    100.00
12:11:29 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
12:11:29 AM       4      0.00      0.00      0.20      0.00      0.00     99.80
12:11:29 AM       5      0.00      0.00      0.20      0.00      0.00     99.80
12:11:29 AM       6      0.00      0.00      0.00      0.00      0.00    100.00
12:11:29 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
12:11:29 AM       8      0.20      0.00      0.80      0.00      0.00     99.00
12:11:29 AM       9     23.80      0.00      0.80     45.80      0.00     29.60
12:11:29 AM      10      0.00      0.00      0.00      0.00      0.00    100.00
12:11:29 AM      11      0.00      0.00      0.00      0.00      0.00    100.00
12:11:29 AM      12      0.20      0.00      0.20      0.00      0.00     99.60
12:11:29 AM      13      0.20      0.00      0.00      0.00      0.00     99.80
12:11:29 AM      14      0.00      0.00      0.20      0.00      0.00     99.80
12:11:29 AM      15      0.20      0.00      0.00      0.00      0.00     99.80
12:11:29 AM      16      0.00      0.00      0.00      0.00      0.00    100.00
12:11:29 AM      17      0.00      0.00      0.00      0.00      0.00    100.00
12:11:29 AM      18      0.00      0.00      0.00      0.00      0.00    100.00
12:11:29 AM      19      0.00      0.00      0.00      0.00      0.00    100.00
12:11:29 AM      20      0.00      0.00      0.00      0.00      0.00    100.00
12:11:29 AM      21      0.00      0.00      0.20      0.00      0.00     99.80
12:11:29 AM      22      0.00      0.00      0.20      0.00      0.00     99.80
12:11:29 AM      23      0.00      0.00      0.20      0.00      0.00     99.80
