Linux 5.15.0-87-generic (gl6) 	01/31/2024 	_x86_64_	(32 CPU)

02:12:47 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
02:12:52 PM  49442048 389281892   1528776      0.39   4007576 325899772   3617092      0.90 150262624 179802188       168    185496  13980968      9408      4600    302264
02:12:57 PM  49400596 389242400   1568068      0.40   4007576 325901668   9185908      2.28 150262688 179870104       180    251532  13981232      8480      5568    301560
02:13:02 PM  49457536 389300148   1510392      0.38   4007576 325902476   3144300      0.78 150262972 179804796       160    185660  13981160      8416      4552    301448
02:13:07 PM  49455808 389299984   1510464      0.38   4007576 325903976   3140972      0.78 150263120 179804676        20    184156  13981316      8384      4424    301408
02:13:12 PM  49455140 389301316   1509132      0.38   4007576 325905912   3149412      0.78 150263128 179810928       224    188536  13981380      8448      4644    301456
02:13:17 PM  49456064 389303976   1506524      0.38   4007576 325907608   3149096      0.78 150263124 179811500       392    187948  13981368      8432      4600    301440
02:13:22 PM  49454872 389304480   1506128      0.38   4007576 325909244   3140972      0.78 150263124 179810216       268    184496  13981320      8400      4484    301392
02:13:27 PM  49454068 389305480   1505292      0.38   4007576 325910956   3140972      0.78 150263120 179811664       160    184164  13981248      8384      4428    301376
02:13:32 PM  49453660 389307044   1503724      0.38   4007576 325912868   3140972      0.78 150263120 179813576        24    184168  13981312      8384      4428    301376
02:13:37 PM  49453480 389309208   1501532      0.38   4007576 325915112   3140972      0.78 150263120 179815824        20    184180  13981440      8384      4424    301360
02:13:42 PM  49452188 389309580   1501088      0.38   4007576 325916720   3149412      0.78 150263128 179821756       152    188560  13981568      8448      4652    301392
02:13:47 PM  49462312 389321584   1489208      0.38   4007576 325918572   3144876      0.78 150263120 179820836        24    185720  13981472      8384      4428    301336
02:13:52 PM  49462092 389323108   1487676      0.38   4007576 325920260   3140972      0.78 150263120 179821020       172    184240  13981536      8384      4428    301360
02:13:57 PM  49460424 389323304   1487560      0.38   4007576 325922008   3145192      0.78 150263124 179824988       312    186484  13981572      8416      4544    301384
02:14:02 PM  49457964 389322700   1488168      0.38   4007576 325923804   3140972      0.78 150263120 179824680       152    184324  13981628      8384      4428    301360
02:14:07 PM  49457048 389323704   1487136      0.38   4007576 325925656   3140972      0.78 150263120 179826584        60    184364  13981724      8384      4424    301328
02:14:12 PM  49456616 389324996   1485804      0.38   4007576 325927312   3145192      0.78 150263124 179830396       144    186584  13981832      8416      4544    301336
02:14:17 PM  49454916 389325500   1485308      0.38   4007576 325929420   3145192      0.78 150263124 179832564       276    186624  13981920      8416      4544    301336
02:14:22 PM  49445260 389317824   1492928      0.38   4007576 325931384   3140972      0.78 150263120 179832380        28    184484  13981992      8384      4428    301312
02:14:27 PM  49447636 389321836   1488944      0.38   4007576 325932912   3140972      0.78 150263120 179833992         4    184516  13982072      8384      4424    301280
02:14:32 PM  49448704 389324592   1486176      0.38   4007576 325934544   3144876      0.78 150263124 179837324        20    186328  13982140      8400      4476    301256
02:14:37 PM  49449300 389326916   1483748      0.38   4007576 325936236   3149412      0.78 150263128 179841688       284    188960  13982280      8448      4652    301296
02:14:42 PM  49448900 389328376   1482404      0.38   4007576 325938004   3140972      0.78 150263120 179839452       304    184956  13982256      8400      4484    301264
02:14:47 PM  49448996 389330288   1480476      0.37   4007576 325939752   3145192      0.78 150263124 179843060       292    186812  13982340      8416      4544    301272
02:14:52 PM  49447016 389329896   1480812      0.38   4007576 325941324   3149412      0.78 150263128 179846796       256    189016  13982412      8448      4676    301328
02:14:57 PM  49447624 389332060   1478664      0.37   4007576 325942800   3140972      0.78 150263120 179843984       288    184624  13982476      8384      4428    301312
02:15:02 PM  49446212 389332612   1478068      0.37   4007576 325944704   3140972      0.78 150263116 179845848       232    184624  13982580      8384      4424    301280
02:15:07 PM  49445016 389333040   1477616      0.37   4007576 325946256   3140972      0.78 150263116 179847496        24    184672  13982676      8384      4428    301264
02:15:12 PM  49444092 389333916   1476752      0.37   4007576 325947996   3140972      0.78 150263116 179849252         0    184712  13982724      8384      4424    301264
02:15:17 PM  49444824 389336408   1474372      0.37   4007576 325949684   3140972      0.78 150263116 179850988        16    184732  13982684      8384      4428    301264
02:15:22 PM  49443372 389336952   1473948      0.37   4007576 325951624   3141104      0.78 150263116 179852956        48    184788  13982620      8384      4428    301264
02:15:27 PM  49439700 389334760   1475968      0.37   4007576 325953036   3141104      0.78 150263116 179854488       180    184884  13982860      8384      4428    301248
02:15:32 PM  49439528 389336648   1474112      0.37   4007576 325955000   3145324      0.78 150263120 179858616       188    187136  13982924      8400      4556    301288
02:15:37 PM  49439352 389337828   1472856      0.37   4007576 325956328   3145324      0.78 150263120 179860064       196    187176  13983028      8400      4552    301304
02:15:42 PM  49438456 389338704   1472020      0.37   4007576 325958036   3141236      0.78 150263116 179859636         4    185056  13983052      8368      4428    301280
02:15:47 PM  49437272 389339364   1471380      0.37   4007576 325959812   3141236      0.78 150263116 179861532        24    185152  13983100      8368      4428    301264
02:15:52 PM  49433552 389337472   1473308      0.37   4007576 325961576   3150956      0.78 150263124 179868932        16    190880  13983128      8432      4664    301312
02:15:57 PM  49422776 389328428   1482248      0.38   4007576 325963244   3146420      0.78 150263120 179868180       328    188444  13983296      8400      4556    301288
02:16:02 PM  49423580 389330892   1479888      0.37   4007576 325964848   3142648      0.78 150263120 179868360       208    186964  13983248      8400      4500    301264
02:16:07 PM  49423388 389332584   1478404      0.37   4007576 325966628   3142648      0.78 150263116 179869940       208    186744  13983144      8384      4440    301248
02:16:12 PM  49422364 389333552   1477392      0.37   4007576 325968592   3142648      0.78 150263116 179871888       228    186788  13983216      8384      4448    301296
02:16:17 PM  49421704 389334992   1476088      0.37   4007576 325970588   3142780      0.78 150263116 179874036       188    186876  13983184      8384      4448    301312
02:16:22 PM  49422320 389336936   1474004      0.37   4007576 325971856   3142780      0.78 150263116 179875292       180    186924  13983384      8384      4448    301296
02:16:27 PM  49421120 389337144   1473752      0.37   4007576 325973236   3142780      0.78 150263116 179876780        12    186980  13983456      8384      4444    301296
02:16:32 PM  49418900 389337008   1473852      0.37   4007576 325975260   3147140      0.78 150263120 179881040       132    189304  13983552      8416      4556    301320
02:16:37 PM  49417448 389337004   1473948      0.37   4007576 325976640   3142920      0.78 150263116 179880132       384    186944  13983528      8384      4444    301280
02:16:42 PM  49415668 389337228   1473592      0.37   4007576 325978584   3142920      0.78 150263116 179882148        60    187024  13983720      8384      4448    301280
02:16:47 PM  49414232 389337528   1473304      0.37   4007576 325980216   3151044      0.78 150263124 179887828       260    191140  13983812      8448      4688    301328
02:16:52 PM  49413104 389338440   1472396      0.37   4007576 325982204   3142920      0.78 150263116 179885916       196    187168  13983860      8368      4444    301248
02:16:57 PM  49411392 389338288   1472500      0.37   4007576 325983696   3143052      0.78 150263116 179887428       216    187228  13983976      8368      4452    301248
02:17:02 PM  49409000 389337496   1473236      0.37   4007576 325985240   3143052      0.78 150263116 179889088       208    187332  13984088      8368      4452    301248
02:17:07 PM  49408128 389338300   1472436      0.37   4007576 325986840   3147272      0.78 150263120 179892912       132    189564  13984160      8400      4572    301272
02:17:12 PM  49409464 389341700   1469172      0.37   4007576 325988864   3143184      0.78 150263116 179892880         4    187452  13984064      8368      4448    301264
02:17:17 PM  49409648 389344052   1466784      0.37   4007576 325990944   3147404      0.78 150263120 179897152        48    189728  13984188      8400      4576    301272
