Linux 5.15.30-2-pve (superserver2) 	02/01/2024 	_x86_64_	(32 CPU)

01:36:51 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
01:36:56 AM 294447964 388963936   2617932      0.66    858616  93393452   7105196      1.76  65713932  29410804       108   1038724   3555820     10736     10184    864132
01:37:01 AM 294410080 388927456   2654620      0.67    858616  93394816   9640644      2.39  65714276  29444060       260   1070924   3555652      9760     11076    863324
01:37:06 AM 294437200 388955864   2626068      0.67    858616  93396028   6618332      1.64  65714560  29409656        44   1035564   3555872      9680     10112    863156
01:37:11 AM 294437520 388958200   2623740      0.66    858616  93397940   6618332      1.64  65714568  29411624       316   1035604   3555968      9680     10112    863140
01:37:16 AM 294434876 388956988   2625368      0.66    858616  93399288   6618332      1.64  65714568  29413432        56   1036100   3555636      9648     10608    863124
01:37:21 AM 294434900 388958796   2623324      0.66    858616  93400940   6618464      1.64  65714568  29414712       104   1035692   3556004      9680     10112    863108
01:37:26 AM 294433224 388958820   2623568      0.66    858616  93402544   6618464      1.64  65714564  29416284        60   1035692   3555832      9632     10352    863108
01:37:31 AM 294432320 388960272   2621852      0.66    858616  93404788   6618464      1.64  65714564  29418628       112   1035768   3556208      9680     10112    863124
01:37:36 AM 294431156 388961280   2620528      0.66    858616  93406836   6618596      1.64  65714568  29420704        64   1035816   3556648      9680     10112    863108
01:37:41 AM 294429660 388961848   2619960      0.66    858616  93408740   6618596      1.64  65714568  29422680        92   1035864   3556808      9680     10116    863108
01:37:46 AM 294430988 388964584   2617320      0.66    858616  93410060   6618596      1.64  65714564  29423628        36   1035560   3556800      9680     10112    863076
01:37:51 AM 294431828 388967160   2614684      0.66    858616  93411744   6618596      1.64  65714564  29425756        76   1035980   3556912      9680     10112    863124
01:37:56 AM 294434380 388971868   2610108      0.66    858616  93413792   6630656      1.64  65714568  29430944        28   1039096   3556888      9680     10116    863108
01:38:01 AM 294434188 388973608   2608252      0.66    858616  93415592   6618728      1.64  65714564  29429776       188   1036156   3557136      9680     10112    863140
01:38:06 AM 294435120 388976440   2605688      0.66    858616  93417356   6621552      1.64  65714560  29432996       156   1037604   3557004      9648     10208    863148
01:38:11 AM 294434956 388978640   2603192      0.66    858616  93419576   6618860      1.64  65714556  29433896       216   1036348   3557444      9680     10116    863108
01:38:16 AM 294433960 388979464   2602064      0.66    858616  93421288   6618860      1.64  65714568  29435780        28   1036512   3557856      9744     10128    863124
01:38:21 AM 294433016 388979744   2602152      0.66    858616  93422440   6618860      1.64  65714564  29436896       228   1036444   3557560      9680     10112    863140
01:38:26 AM 294433068 388981920   2600304      0.66    858616  93424432   6618860      1.64  65714568  29438828        52   1036368   3557364      9616     10096    863140
