timestamp,module,event
2024-01-16T09:22:50,topoaa,start
2024-01-16T09:22:55,topoaa,finish
2024-01-16T09:22:56,rigidbody,start
2024-01-16T21:17:13,rigidbody,finish
2024-01-16T21:17:15,caprieval,start
2024-01-16T21:47:35,caprieval,finish
2024-01-16T21:47:36,seletop,start
2024-01-16T21:47:38,seletop,finish
2024-01-16T21:47:40,caprieval,start
2024-01-16T21:49:11,caprieval,finish
2024-01-16T21:49:12,flexref,start
2024-01-17T02:13:27,caprieval,start
2024-01-17T02:13:27,flexref,finish
2024-01-17T02:14:56,caprieval,finish
2024-01-17T02:14:58,emref,start
2024-01-17T02:36:39,emref,finish
2024-01-17T02:36:39,caprieval,start
2024-01-17T02:38:11,caprieval,finish
2024-01-17T02:38:11,clustfcc,start
2024-01-17T02:38:32,clustfcc,finish
2024-01-17T02:38:32,seletopclusts,start
2024-01-17T02:38:59,seletopclusts,finish
2024-01-17T02:38:59,caprieval,start
2024-01-17T02:40:07,caprieval,finish
