Linux 5.15.0-91-generic (gl5) 	01/19/2024 	_x86_64_	(32 CPU)

01:58:26 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
01:58:31 PM 383023180 390415264   1544868      0.39   1223636   7722108   4641092      1.15   4098748   5382144       364    563484   1344756     10592      5568    268288
01:58:36 PM 382956256 390350476   1609112      0.41   1223640   7724332  10209764      2.53   4099392   5450108      1296    629928   1345208      9648      7132    267456
01:58:41 PM 383013768 390408616   1551032      0.39   1223644   7724956   4168248      1.03   4099404   5384952       292    564036   1345148      9536      5392    267360
01:58:46 PM 383001740 390398572   1561404      0.40   1223648   7726848   4169488      1.03   4099556   5386816      1116    564156   1344908      9584      5460    267392
01:58:51 PM 383001816 390400500   1559552      0.39   1223652   7728600   4169488      1.03   4099568   5388596       296    564180   1344928      9584      5492    267344
01:58:56 PM 382995424 390396156   1563892      0.40   1223656   7730516   4169488      1.03   4099568   5390468      1132    564156   1345060      9584      5460    267376
01:59:01 PM 382997436 390400420   1559600      0.39   1223656   7732628   4169488      1.03   4099576   5392608       284    564156   1345228      9584      5460    267344
01:59:06 PM 382994220 390399884   1560384      0.40   1223660   7735192   4169488      1.03   4099584   5395092      1044    564160   1345092      9584      5428    267376
01:59:11 PM 382993292 390401200   1558956      0.39   1223664   7737296   4169488      1.03   4099584   5397308       352    564192   1345340      9632      5492    267376
01:59:16 PM 382983484 390393720   1566408      0.40   1223668   7739464   4169488      1.03   4099584   5399416       896    564176   1345524      9616      5460    267360
01:59:21 PM 382983884 390395712   1564384      0.40   1223676   7740956   4169488      1.03   4099600   5400804       204    564036   1345648      9568      5360    267376
01:59:26 PM 382974916 390389136   1570996      0.40   1223680   7743252   4169488      1.03   4099604   5403256       936    564180   1345704      9568      5400    267392
01:59:31 PM 382973284 390389648   1570448      0.40   1223688   7745272   4169488      1.03   4099616   5405332       216    564264   1345856      9616      5460    267392
01:59:36 PM 382964812 390383128   1576952      0.40   1223688   7747152   4169488      1.03   4099612   5407384       824    564636   1345944      9888      5608    267392
01:59:41 PM 382965228 390385532   1574700      0.40   1223692   7749080   4169488      1.03   4099620   5409140       176    564252   1345848      9616      5468    267376
01:59:46 PM 382958812 390381308   1578612      0.40   1223692   7751156   4169488      1.03   4099620   5410568       508    563388   1346276      9984      5104    267424
01:59:51 PM 382959212 390384356   1575688      0.40   1223696   7753656   4169488      1.03   4099624   5413680       184    564192   1346296      9600      5428    267392
01:59:56 PM 382959048 390386144   1573944      0.40   1223700   7755448   4168704      1.03   4099624   5415488       416    564232   1346408      9568      5396    267344
02:00:01 PM 382951412 390380464   1579104      0.40   1223708   7757352   4169488      1.03   4099652   5417764      1060    564640   1346972      9632      5524    267392
02:00:06 PM 382949236 390380112   1579436      0.40   1223716   7759072   4169488      1.03   4099648   5419392       352    564524   1347088      9552      5396    267392
02:00:11 PM 382947492 390380760   1579320      0.40   1223728   7761332   4169488      1.03   4099668   5421664      1028    564552   1346676      9584      5428    267408
02:00:16 PM 382946096 390381304   1578488      0.40   1223736   7763184   4169488      1.03   4099672   5423476       360    564536   1347044      9568      5392    267408
02:00:21 PM 382937616 390375168   1584680      0.40   1223748   7765324   4169488      1.03   4099692   5425672      1084    564576   1347180      9616      5484    267376
02:00:26 PM 382936656 390376452   1583336      0.40   1223768   7767452   4169488      1.03   4099700   5427732       344    564500   1347336      9648      5532    267360
02:00:31 PM 382936268 390378304   1581444      0.40   1223776   7769500   4169488      1.03   4099712   5429864      1072    564600   1347560      9648      5500    267376
