Linux 5.15.0-91-generic (gl5) 	01/26/2024 	_x86_64_	(32 CPU)

06:30:45 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
06:30:50 AM 324940800 389726052   2041548      0.52   1523748  63437784   4988940      1.24  27798124  37830652    100520    695608   2914668     10848      6960    277748
06:30:55 AM 324803588 389626728   2140860      0.54   1527712  63472768  10737496      2.66  27759908  38020684     55848    808388   2913620     10496      9776    277036
06:31:00 AM 324945268 389736316   2030964      0.51   1527740  63441000   4518688      1.12  27802424  37838448    100988    700372   2913576      9824      6560    276716
06:31:05 AM 324992632 389738896   2028524      0.51   1530516  63394620   4757388      1.18  27757452  37857764     48328    718444   2912256      9888      7152    276788
06:31:10 AM 325100204 389741124   2027256      0.51   1541820  63283368   4472244      1.11  27767128  37731068     55028    700816   2905900      9840      6896    276732
06:31:15 AM 325224940 389817472   1950656      0.49   1541820  63236588   4285576      1.06  27718264  37660340     54456    628476   2904544      9760      6292    276652
06:31:20 AM 325227116 389821436   1946944      0.49   1541820  63238320   4285576      1.06  27718264  37661932     54904    628324   2904348      9712      6188    276716
06:31:25 AM 325229220 389825288   1943124      0.49   1541820  63240108   4285576      1.06  27718268  37663856     39588    628480   2904276      9760      6284    276652
06:31:30 AM 325233040 389830932   1937224      0.49   1541820  63241888   4293752      1.06  27718276  37669672      1828    632584   2904576      9824      6508    276716
06:31:35 AM 325233040 389832644   1935504      0.49   1541820  63243532   4285576      1.06  27718276  37667996      2060    629200   2904652      9792      6396    276700
06:31:40 AM 325235624 389837152   1930916      0.49   1541820  63245416   4285576      1.06  27718272  37669116      2384    628476   2904772      9776      6288    276700
06:31:45 AM 325237692 389841108   1926984      0.49   1541824  63247216   4285576      1.06  27718276  37670984      2464    628512   2904832      9760      6280    276716
06:31:50 AM 325229392 389834732   1933268      0.49   1541828  63249088   4289848      1.06  27718292  37675164      1640    630892   2904972      9792      6400    276724
06:31:55 AM 325247208 389854260   1913868      0.48   1541828  63250716   4285576      1.06  27718284  37674704       368    628728   2904928      9760      6284    276668
06:32:00 AM 325234668 389843416   1924616      0.49   1541828  63252348   4289796      1.06  27718284  37678468      1292    630944   2905088      9792      6404    276692
06:32:05 AM 325237504 389848060   1920024      0.49   1541828  63254092   4285576      1.06  27718288  37678168       284    628776   2905100      9760      6284    276700
06:32:10 AM 325243808 389856320   1911544      0.48   1541828  63255960   4289796      1.06  27718288  37682212      1324    631080   2905408      9792      6404    276756
06:32:15 AM 325247640 389861988   1905888      0.48   1541828  63257720   4285576      1.06  27718292  37681888       208    628888   2905472      9760      6288    276764
06:32:20 AM 325246856 389863152   1904728      0.48   1541832  63259584   4326072      1.07  27718284  37684060       432    629220   2905548      9888      6220    276732
06:32:25 AM 325244820 389862776   1905296      0.48   1541832  63261196   4285576      1.06  27718296  37685568       200    629072   2905404      9776      6292    276668
06:32:30 AM 325245172 389864984   1903052      0.48   1541832  63262972   4285576      1.06  27718296  37687328       184    629120   2905520      9776      6288    276668
