timestamp,module,event
2024-01-26T17:39:29,topoaa,start
2024-01-26T17:39:35,topoaa,finish
2024-01-26T17:39:36,rigidbody,start
2024-01-27T00:23:13,rigidbody,finish
2024-01-27T00:23:14,caprieval,start
2024-01-27T00:45:10,caprieval,finish
2024-01-27T00:45:11,seletop,start
2024-01-27T00:45:11,seletop,finish
2024-01-27T00:45:12,caprieval,start
2024-01-27T00:46:17,caprieval,finish
2024-01-27T00:46:19,flexref,start
2024-01-27T03:15:32,caprieval,start
2024-01-27T03:15:32,flexref,finish
2024-01-27T03:16:50,caprieval,finish
2024-01-27T03:16:52,emref,start
2024-01-27T03:29:24,emref,finish
2024-01-27T03:29:24,caprieval,start
2024-01-27T03:30:41,caprieval,finish
2024-01-27T03:30:41,clustfcc,start
2024-01-27T03:31:05,clustfcc,finish
2024-01-27T03:31:06,seletopclusts,start
2024-01-27T03:31:40,seletopclusts,finish
2024-01-27T03:31:40,caprieval,start
2024-01-27T03:32:41,caprieval,finish
