Linux 5.15.0-91-generic (gl5) 	01/19/2024 	_x86_64_	(32 CPU)

11:34:57 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
11:35:02 AM 384204268 390344936   1624692      0.41   1212788   6516564   4643452      1.15   3634328   4642964      1480    576492   1300236     10768      5992    268376
11:35:07 AM 384103380 390253820   1713856      0.43   1212800   6526208  35647724      8.84   3635892   4781536      1472    706848   1302304     10032     10936    267776
11:35:12 AM 384215516 390368956   1599928      0.41   1212808   6529184   4170592      1.03   3644988   4645484       484    576776   1301112      9776      5908    267592
11:35:17 AM 384207924 390363760   1605384      0.41   1212820   6531412   4182840      1.04   3645116   4645888      1132    575056   1301008      9760      5800    267536
11:35:22 AM 384208776 390367140   1602084      0.41   1212828   6533852   4182972      1.04   3645156   4648320       384    575108   1301008      9696      5796    267456
11:35:27 AM 384205412 390365976   1603212      0.41   1212832   6535876   4182972      1.04   3645208   4650388      1144    575164   1301216      9696      5792    267472
11:35:32 AM 384204708 390367304   1601804      0.41   1212844   6537784   4187244      1.04   3645208   4654352       504    577312   1301408      9696      5892    267384
11:35:37 AM 384207428 390372208   1597212      0.40   1212848   6539888   4183104      1.04   3645264   4654444      1128    575252   1301172      9664      5796    267424
11:35:42 AM 384207868 390374712   1594696      0.40   1212856   6541852   4183104      1.04   3645308   4656384       200    575288   1301276      9664      5796    267392
11:35:47 AM 384199112 390367924   1601404      0.41   1212860   6543668   4183104      1.04   3645312   4658168      1064    575216   1301504      9664      5764    267440
11:35:52 AM 384198412 390369404   1599912      0.41   1212868   6545748   4183236      1.04   3645352   4660348       220    575380   1301608      9680      5804    267392
11:35:57 AM 384191672 390364884   1604688      0.41   1212872   6547824   4183236      1.04   3645400   4662480      1152    575420   1301492      9664      5796    267456
11:36:02 AM 384189740 390365316   1604236      0.41   1212872   6550052   4191044      1.04   3645444   4668312       212    579236   1301648      9728      6032    267440
11:36:07 AM 384198740 390376380   1593180      0.40   1212876   6552192   4187640      1.04   3645440   4669168      1080    577820   1301560      9712      5960    267464
11:36:12 AM 384197356 390376984   1592564      0.40   1212876   6554080   4183368      1.04   3645476   4668848       184    575672   1301672      9632      5828    267392
11:36:17 AM 384194100 390376524   1592672      0.40   1212880   6556728   4183368      1.04   3645520   4671592      1476    575740   1302168      9632      5804    267440
11:36:22 AM 384199024 390383556   1585700      0.40   1212888   6558696   4191912      1.04   3645532   4677964       300    580264   1302240      9696      6060    267488
11:36:27 AM 383720076 389908168   2056484      0.52   1212896   6562188  97577476     24.20   3647000   5207248      4228   1107864   1306904     10400     20444    267928
11:36:32 AM 383808984 389999624   1964988      0.50   1212900   6564700  76985504     19.09   3647628   5143432      1460   1042168   1306976     10160     18320    267824
11:36:37 AM 383744044 389936432   2029128      0.51   1212908   6566424  97598344     24.20   3648140   5221776      3540   1118764   1306044     10176     20112    267776
11:36:42 AM 383773116 389968288   1996980      0.51   1212920   6569080  93889468     23.28   3648552   5195484      2656   1090372   1306452     10208     19744    267832
11:36:47 AM 383790052 389987568   1978436      0.50   1212924   6571388  81714800     20.26   3648736   5151668      3100   1044704   1305748     10160     18284    267744
11:36:52 AM 383700240 389899808   2064964      0.52   1212924   6573524  97571168     24.20   3649140   5224740      4436   1116096   1306896     10208     20120    267872
11:36:57 AM 383764224 389966016   1999184      0.51   1212928   6575780  85410156     21.18   3649404   5153756      2340   1043008   1306432     10160     18584    267776
11:37:02 AM 383765732 389970088   1994364      0.51   1212940   6578252  85411544     21.18   3649716   5146404      3612   1032964   1307260     10224     18680    267792
11:37:07 AM 383678480 389885152   2080192      0.53   1212948   6580648  97569964     24.20   3650096   5233524      3060   1118164   1306280     10240     19952    267824
11:37:12 AM 383697024 389906604   2058356      0.52   1212956   6583504  94760084     23.50   3650452   5218048      4288   1100396   1306708     10256     19496    267896
11:37:17 AM 383704372 389916196   2049264      0.52   1212960   6585716  89114364     22.10   3650764   5212048      2892   1093248   1306236     10240     19440    267816
11:37:22 AM 383678796 389893308   2071884      0.52   1212964   6588176  97553264     24.19   3651100   5237396      4008   1115664   1306728     10240     19976    267888
11:37:27 AM 383762780 389979680   1985440      0.50   1212976   6590480  91058168     22.58   3651388   5195852      2960   1072436   1306872     10256     19260    267800
11:37:32 AM 383693680 389912912   2051588      0.52   1212984   6592904  94756572     23.50   3651716   5243932      3972   1117928   1307392     10272     20060    267880
11:37:37 AM 383738424 389960576   2004560      0.51   1212996   6595784  90185884     22.36   3652072   5182368      2676   1054272   1306784     10224     19040    267856
11:37:42 AM 383757344 389982020   1982452      0.50   1213004   6598476  83670764     20.75   3652336   5152068      3576   1021492   1307272     10208     18336    267904
11:37:47 AM 383695420 389922064   2042640      0.52   1213016   6600424  93862800     23.28   3652704   5220156      3336   1088040   1307048     10240     19712    267856
11:37:52 AM 383758456 389987632   1977952      0.50   1213024   6602884  80843212     20.05   3652952   5137032      2872   1002740   1306232     10208     17976    267840
11:37:57 AM 383645920 389877076   2088828      0.53   1213028   6604784  97558756     24.19   3653312   5253512      3164   1117772   1305988     10272     20120    267840
11:38:02 AM 383662804 389896384   2069692      0.52   1213028   6607188  94767156     23.50   3653624   5239536      4176   1101164   1305836     10256     19716    267952
11:38:07 AM 383623852 389859972   2105704      0.53   1213040   6609616  94747952     23.50   3653944   5260140      3124   1120172   1306336     10304     19980    267968
11:38:12 AM 383612972 389851640   2113472      0.54   1213044   6612216  97563296     24.19   3654244   5262384      3872   1120584   1306844     10384     19808    267952
11:38:17 AM 383608460 389850072   2115724      0.54   1213052   6615028  97574200     24.20   3654604   5263436      2832   1118308   1306284     10336     20260    267880
11:38:22 AM 383665940 389909628   2055704      0.52   1213060   6617028  90365712     22.41   3654848   5208528      3988   1061656   1306816     10336     19380    267768
11:38:27 AM 383594016 389840304   2124852      0.54   1213068   6619468  97594172     24.20   3655276   5269676      3560   1121764   1307144     10368     20304    267872
11:38:32 AM 383669900 389918172   2047176      0.52   1213072   6621444  79782492     19.79   3655468   5195128      2476   1044272   1306956     10304     18252    267872
11:38:37 AM 383618328 389869588   2095584      0.53   1213076   6624256  88223340     21.88   3655816   5234944      3428   1082072   1307304     10352     19360    267984
11:38:42 AM 383596992 389850516   2114344      0.54   1213080   6626380  97585784     24.20   3656192   5276424      3276   1121424   1307752     10352     20188    267896
11:38:47 AM 383630948 389887152   2076992      0.53   1213088   6629016  91941344     22.80   3656512   5254416      3400   1097064   1308504     10320     19032    268016
11:38:52 AM 383688692 389947360   2016416      0.51   1213092   6631332  85430984     21.19   3656800   5207024      2668   1048012   1309016     10336     18768    267872
11:38:57 AM 383606472 389867708   2096480      0.53   1213100   6633860  97576240     24.20   3657168   5281296      3500   1119120   1308636     10384     20156    267984
11:39:02 AM 383622920 389887168   2076504      0.53   1213108   6636856  91926620     22.80   3657500   5247520      2948   1083652   1309160     10320     19540    268000
11:39:07 AM 383655152 389921904   2041448      0.52   1213112   6639228  87350652     21.66   3657780   5222292      3068   1056380   1309608     10336     18940    267968
11:39:12 AM 383598280 389867440   2096000      0.53   1213120   6641540  94760800     23.50   3658136   5270856      2996   1102972   1309608     10352     19416    267984
11:39:17 AM 383604452 389875936   2087748      0.53   1213124   6643904  97555472     24.19   3658464   5292400      3676   1122104   1309320     10368     20064    268064
11:39:22 AM 383678428 389953000   2011264      0.51   1213132   6646936  86493340     21.45   3658800   5199096      2704   1026452   1308788     10336     18416    267952
11:39:27 AM 383585708 389862100   2101588      0.53   1213136   6648768  94763244     23.50   3659128   5292516      3292   1118472   1309348     10368     19896    268000
11:39:32 AM 383647396 389926824   2036736      0.52   1213148   6651800  87346696     21.66   3659460   5234276      3104   1057324   1309468     10352     18956    268016
11:39:37 AM 383592808 389874300   2088988      0.53   1213152   6653864  93875676     23.28   3659832   5271536      3288   1092980   1309736     10416     19632    268112
11:39:42 AM 383645684 389930080   2033656      0.52   1213156   6656780  88259420     21.89   3660100   5250904      2656   1069624   1309272     10336     18772    268024
11:39:47 AM 383586184 389872640   2090892      0.53   1213164   6658820  91058812     22.58   3660432   5272076      4008   1088768   1309488     10352     19524    268016
11:39:52 AM 383644328 389933932   2030064      0.51   1213168   6661920  86471300     21.44   3660768   5211064      2540   1025252   1309068     10336     18452    268000
11:39:57 AM 383583440 389875300   2087764      0.53   1213176   6664084  93875352     23.28   3661144   5276592      3424   1088112   1310084     10432     19788    268088
11:40:02 AM 383588672 389883144   2079356      0.53   1213184   6666704  91073940     22.59   3661372   5283080      4036   1093196   1310632     10384     19708    268112
11:40:07 AM 383609536 389906468   2056496      0.52   1213188   6669080  91063860     22.58   3661724   5261368      2984   1069540   1310248     10384     18936    267920
11:40:12 AM 383593516 389892304   2071644      0.52   1213192   6671024  93879480     23.28   3662040   5281756      3200   1088212   1309172     10384     19228    268016
11:40:17 AM 383555624 389856736   2106460      0.53   1213192   6673324  97574276     24.20   3662352   5314468      3476   1119008   1309948     10384     20196    268016
11:40:22 AM 383580788 389884696   2078056      0.53   1213192   6676072  91959448     22.80   3662740   5297140      3376   1098884   1310440     10416     19544    267968
11:40:27 AM 383667420 389973568   1989468      0.50   1213200   6678232  78907860     19.57   3662924   5214960      2388   1014044   1310228     10336     17984    268016
11:40:32 AM 383537384 389845604   2117160      0.54   1213204   6680436  97567968     24.20   3663292   5324708      4456   1122068   1310364     10368     20132    268064
11:40:37 AM 383574048 389884740   2077480      0.53   1213208   6682752  89140148     22.11   3663608   5282672      2052   1078388   1311060     10432     18804    268056
11:40:42 AM 383556620 389869268   2092640      0.53   1213212   6684836  94757416     23.50   3663844   5332716      4424   1126904   1311240     10480     20352    268120
11:40:47 AM 383550844 389865828   2096440      0.53   1213216   6687052  97587972     24.20   3664216   5330136      2944   1121948   1310996     10432     19944    268088
