Linux 5.15.0-91-generic (gl5) 	01/28/2024 	_x86_64_	(32 CPU)

05:25:15 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
05:25:20 PM 306868788 389906172   1809152      0.46   1562024  81269880   4669964      1.16  36078344  47299488       936    574344   3348704     10560      5800    279460
05:25:25 PM 306865860 389905540   1810000      0.46   1562024  81272128   4673208      1.16  36078384  47302592       236    575108   3348536     10560      5804    279460
05:25:30 PM 306545588 389588136   2124424      0.54   1562024  81274848  37416992      9.28  36080276  47654728      2268    926812   3351664      9936     14808    278852
05:25:35 PM 306894592 389938308   1775692      0.45   1562024  81275964   4197240      1.04  36080352  47304192       216    574820   3350276      9600      5668    278612
05:25:40 PM 306891128 389936228   1777988      0.45   1562024  81277212   4197240      1.04  36080360  47305872       976    575328   3350196      9904      5424    278548
05:25:45 PM 306906916 389953256   1761056      0.45   1562024  81278404   4197240      1.04  36080364  47306908       192    575144   3350148      9648      5772    278532
05:25:50 PM 306906576 389954500   1759772      0.45   1562024  81279900   4196988      1.04  36080388  47308428       312    574700   3350276      9808      5736    278468
05:25:55 PM 306904444 389954456   1760100      0.45   1562024  81281728   4197372      1.04  36080436  47310132        12    575096   3350252      9616      5704    278532
05:26:00 PM 306903304 389955392   1759132      0.45   1562024  81283696   4197372      1.04  36080436  47312160       372    575160   3350392      9632      5740    278516
05:26:05 PM 306897348 389951380   1763008      0.45   1562024  81285380   4197372      1.04  36080472  47313828      1256    575160   3350788      9616      5700    278548
05:26:10 PM 306895932 389951900   1762344      0.45   1562024  81287216   4197504      1.04  36080468  47315644       384    575176   3351032      9600      5668    278532
05:26:15 PM 306891812 389949624   1764716      0.45   1562024  81288852   4197504      1.04  36080512  47317368      1272    575248   3351144      9632      5704    278628
05:26:20 PM 306890376 389949716   1764696      0.45   1562024  81290292   4197504      1.04  36080544  47318664       416    575164   3351160      9632      5668    278564
05:26:25 PM 306882680 389944268   1770492      0.45   1562024  81292320   4197636      1.04  36080544  47320780      1164    575276   3351032      9664      5756    278564
