Linux 5.15.0-91-generic (gl5) 	01/19/2024 	_x86_64_	(32 CPU)

04:41:29 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
04:41:34 PM 381237304 390339648   1616316      0.41   1235068   9377244   4649700      1.15   4214464   6938980       248    569728   1392616     10544      6040    268756
04:41:39 PM 381226076 390331972   1623688      0.41   1235076   9380752   4651712      1.15   4215220   6942404      1196    570064   1392956     10544      6040    268868
04:41:44 PM 381272348 390380432   1574004      0.40   1235076   9382932   4176832      1.04   4216636   6943016       224    569872   1394188      9536      5916    267892
04:41:49 PM 381267288 390377328   1577448      0.40   1235076   9384768   4177860      1.04   4216760   6945148      1236    570344   1393968      9520      5972    267844
04:41:54 PM 381267848 390380156   1574588      0.40   1235080   9386932   4177860      1.04   4216796   6947280       220    570360   1394100      9520      5964    267796
04:41:59 PM 381260424 390375200   1579560      0.40   1235080   9389180   4177860      1.04   4216840   6949508      1180    570372   1394304      9552      5968    267796
04:42:04 PM 381260440 390377244   1577552      0.40   1235084   9391128   4177860      1.04   4216840   6951428       200    570388   1394344      9552      5996    267796
04:42:09 PM 381259300 390378504   1576432      0.40   1235084   9393404   4177860      1.04   4216880   6953700      1200    570364   1394328      9536      5968    267860
04:42:14 PM 381259136 390380680   1574276      0.40   1235084   9395616   4177860      1.04   4216916   6955840       200    570364   1394436      9536      5968    267844
04:42:19 PM 381251960 390375804   1579332      0.40   1235084   9397800   4177860      1.04   4216960   6958000      1132    570364   1394372      9536      5964    267860
04:42:24 PM 381251108 390377132   1578036      0.40   1235084   9399896   4178884      1.04   4216956   6959808       256    570092   1394424      9488      5868    267828
04:42:29 PM 381243152 390371456   1583564      0.40   1235092   9402040   4178884      1.04   4217000   6962120      1236    570252   1394700      9536      5980    267844
04:42:34 PM 381242036 390372784   1582152      0.40   1235100   9404352   4178884      1.04   4217044   6964384       196    570288   1394908      9536      5976    267860
04:42:39 PM 381239092 390372040   1582804      0.40   1235100   9406412   4178884      1.04   4217072   6966016      1100    569828   1395140      9888      6120    267844
04:42:44 PM 381238068 390373024   1581672      0.40   1235104   9408344   4178884      1.04   4217088   6968392       192    570360   1395360      9504      5944    267812
04:42:49 PM 381238560 390375672   1579004      0.40   1235112   9410312   4178100      1.04   4217132   6970216        20    570164   1395560      9504      5916    267748
04:42:54 PM 380447696 389587684   2358720      0.60   1235124   9412768  97312980     24.13   4218636   7790940      2348   1390216   1404240     10496     28260    268484
04:42:59 PM 380209456 389354272   2592212      0.66   1235128   9417456 190948784     47.35   4219436   8037644      5940   1632708   1404296     10560     34424    268644
04:43:04 PM 380205456 389352636   2593596      0.66   1235128   9419628 187271340     46.44   4219444   8014520      2480   1609184   1404740     10576     33876    268788
04:43:09 PM 380738368 389891048   2056460      0.52   1235132   9425064 108513900     26.91   4219660   7422368      1784   1010924   1403524     10256     22244    268452
04:43:14 PM 380168400 389321192   2625548      0.66   1235132   9424964 187269748     46.44   4220404   8033512      6884   1622320   1404504     10592     33928    268628
