Linux 5.15.0-91-generic (gl5) 	01/19/2024 	_x86_64_	(32 CPU)

04:41:29 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:41:34 PM     all      3.73      0.00      4.23      0.12      0.00     91.91
04:41:34 PM       0      1.00      0.00      4.22      0.00      0.00     94.78
04:41:34 PM       1      1.00      0.00      4.40      0.00      0.00     94.60
04:41:34 PM       2      0.80      0.00      4.40      0.00      0.00     94.80
04:41:34 PM       3      0.60      0.00      4.40      0.00      0.00     95.00
04:41:34 PM       4      0.60      0.00      4.40      0.00      0.00     95.00
04:41:34 PM       5      0.80      0.00      4.21      0.00      0.00     94.99
04:41:34 PM       6      1.20      0.00      4.00      0.00      0.00     94.80
04:41:34 PM       7      0.80      0.00      4.81      0.00      0.00     94.39
04:41:34 PM       8      0.60      0.00      4.60      0.00      0.00     94.80
04:41:34 PM       9      3.40      0.00      5.20      0.00      0.00     91.40
04:41:34 PM      10      0.60      0.00      4.41      3.81      0.00     91.18
04:41:34 PM      11      0.60      0.00      4.41      0.00      0.00     94.99
04:41:34 PM      12      1.00      0.00      4.40      0.00      0.00     94.60
04:41:34 PM      13      0.80      0.00      4.61      0.00      0.00     94.59
04:41:34 PM      14      0.40      0.00      4.80      0.00      0.00     94.80
04:41:34 PM      15      0.80      0.00      4.61      0.00      0.00     94.59
04:41:34 PM      16      0.80      0.00      4.60      0.00      0.00     94.60
04:41:34 PM      17      0.60      0.00      4.59      0.00      0.00     94.81
04:41:34 PM      18      1.40      0.00      3.80      0.00      0.00     94.80
04:41:34 PM      19      1.40      0.00      3.80      0.00      0.00     94.80
04:41:34 PM      20      1.00      0.00      4.01      0.00      0.00     94.99
04:41:34 PM      21      1.40      0.00      3.80      0.00      0.00     94.80
04:41:34 PM      22      0.80      0.00      4.59      0.00      0.00     94.61
04:41:34 PM      23      0.80      0.00      4.21      0.00      0.00     94.99
04:41:34 PM      24      1.20      0.00      3.81      0.00      0.00     94.99
04:41:34 PM      25      1.40      0.00      3.79      0.00      0.00     94.81
04:41:34 PM      26     89.20      0.00      1.20      0.00      0.00      9.60
04:41:34 PM      27      0.60      0.00      4.60      0.00      0.00     94.80
04:41:34 PM      28      0.80      0.00      4.21      0.00      0.00     94.99
04:41:34 PM      29      1.20      0.00      4.00      0.00      0.00     94.80
04:41:34 PM      30      1.00      0.00      4.19      0.00      0.00     94.81
04:41:34 PM      31      0.80      0.00      4.41      0.00      0.00     94.79

04:41:34 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:41:39 PM     all      0.94      0.00      0.19      1.19      0.00     97.68
04:41:39 PM       0      0.40      0.00      0.40      0.00      0.00     99.20
04:41:39 PM       1      0.20      0.00      0.60      0.00      0.00     99.20
04:41:39 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
