Linux 5.15.0-91-generic (gl5) 	01/24/2024 	_x86_64_	(32 CPU)

01:09:40 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
01:09:45 PM 341302972 390123572   1702380      0.43   1470984  47968432   4701184      1.17  21630976  28362856       200    582668   2413780     10688      5940    275300
01:09:50 PM 341293468 390117552   1708320      0.43   1470984  47971840   4703208      1.17  21631448  28366176       804    583068   2413936     10656      5944    275380
01:09:55 PM 341323812 390150100   1674276      0.42   1470984  47973972   4228072      1.05  21632896  28366868       320    583092   2415504      9696      5876    274436
01:10:00 PM 341315068 390143200   1681116      0.43   1470988  47975664   4228476      1.05  21632984  28369348       812    583844   2415712      9984      6088    274420
01:10:05 PM 341316408 390146660   1677996      0.42   1470988  47977672   4228476      1.05  21633036  28370880       200    583536   2415484      9680      5876    274388
01:10:10 PM 341310444 390142560   1682052      0.43   1470988  47979480   4346992      1.08  21633028  28378548       264    589488   2415584      9776      5832    274420
01:10:15 PM 341309480 390143756   1681200      0.43   1470992  47981444   4228608      1.05  21633072  28374660        44    583564   2415432      9712      5900    274388
01:10:20 PM 341310064 390146528   1678416      0.43   1470992  47983564   4228608      1.05  21633112  28376836       304    583680   2415512      9680      5872    274388
01:10:25 PM 341316584 390155184   1670024      0.42   1470996  47985516   4228740      1.05  21633120  28378860       980    583720   2415428      9696      5872    274436
01:10:30 PM 341316688 390157196   1668076      0.42   1471000  47987344   4228740      1.05  21633156  28380576       308    583644   2415440      9696      5840    274388
01:10:35 PM 341314036 390156908   1668072      0.42   1471004  47989492   4228740      1.05  21633192  28382772      1024    583668   2415944      9696      5868    274372
01:10:40 PM 341311500 390156448   1668504      0.42   1471004  47991460   4228740      1.05  21633196  28384736       336    583756   2416080      9712      5868    274404
01:10:45 PM 341306564 390153596   1671436      0.42   1471008  47993412   4228876      1.05  21633240  28386756      1000    583904   2416128      9712      5912    274404
01:10:50 PM 341304972 390154172   1671028      0.42   1471008  47995408   4228876      1.05  21633284  28388772       300    583932   2416132      9696      5872    274388
01:10:55 PM 341294284 390145588   1679260      0.43   1471008  47997344   4228876      1.05  21633284  28390776       952    584008   2416652      9712      5868    274468
01:11:00 PM 341294380 390147528   1677500      0.42   1471008  47999088   4229008      1.05  21633324  28392552       296    584060   2416572      9712      5876    274452
01:11:05 PM 341286480 390142012   1683000      0.43   1471008  48001364   4229008      1.05  21633360  28394832       932    584136   2416696      9680      5836    274404
01:11:10 PM 341287548 390144988   1680080      0.43   1471008  48003108   4229008      1.05  21633356  28396652       260    584172   2416804      9728      5868    274420
01:11:15 PM 340303728 389164368   2651348      0.67   1471012  48006184 176950108     43.88  21635384  29416380      3124   1603316   2426276     10736     32952    275316
01:11:20 PM 340251384 389116008   2699836      0.68   1471016  48010064 191014196     47.37  21635644  29465672      1332   1648824   2426248     10784     34348    275284
01:11:25 PM 340397652 389266600   2549072      0.65   1471020  48014252 159446812     39.54  21635768  29271816      3852   1451104   2426552     10720     30608    275236
01:11:30 PM 340707592 389577440   2239008      0.57   1471020  48015104 109270080     27.10  21635980  28955780      1848   1134552   2425824     10544     24388    275012
01:11:35 PM 340169692 389041992   2775148      0.70   1471020  48017468 191025788     47.37  21636672  29483040      6208   1660468   2425220     10720     34348    275284
01:11:40 PM 340266900 389142268   2675176      0.68   1471024  48020476 180818484     44.84  21636848  29412216      6392   1585284   2424972     10784     32976    275300
01:11:45 PM 340607120 389486832   2331308      0.59   1471024  48025152 124239052     30.81  21637084  29028828      3416   1198432   2423944     10496     25660    275044
01:11:50 PM 340438000 389318016   2498828      0.63   1471024  48025564 141695740     35.14  21637568  29224524      3756   1394136   2425132     10672     29804    275076
01:11:55 PM 340221412 389104052   2712104      0.69   1471024  48028080 188175548     46.67  21638000  29475128      6400   1643164   2425928     10800     33960    275124
01:12:00 PM 340304112 389190396   2625812      0.67   1471024  48031644 173378780     43.00  21638320  29361124      6272   1525760   2425956     10768     31888    275156
01:12:05 PM 340252344 389141296   2675260      0.68   1471024  48034216 168654056     41.82  21638848  29398032      5184   1560220   2425704     10800     32712    275172
01:12:10 PM 340150656 389043408   2772440      0.70   1471024  48037988 185391148     45.97  21639252  29482460      6588   1642288   2426440     10784     33404    275252
01:12:15 PM 340337484 389234764   2581656      0.65   1471024  48042488 165976176     41.16  21639536  29312100      5884   1466508   2425896     10688     30476    275140
01:12:20 PM 340382452 389282036   2534536      0.64   1471024  48044752 141875908     35.18  21639940  29247924      4816   1400780   2425784     10656     28892    275124
01:12:25 PM 340121668 389023428   2794048      0.71   1471024  48046880 191025656     47.37  21640444  29510072      6252   1661848   2424928     10832     34252    275252
01:12:30 PM 340212580 389116908   2699712      0.68   1471024  48049988 177997168     44.14  21640672  29444308      7264   1592684   2425244     10832     32576    275236
01:12:35 PM 340523492 389431480   2384804      0.60   1471024  48053652 122287544     30.33  21640876  29056300      3000   1201096   2425576     10608     25732    275140
01:12:40 PM 340191604 389101028   2715240      0.69   1471028  48055076 189459496     46.98  21641588  29481104      5624   1625544   2425600     10816     33572    275300
01:12:45 PM 340202664 389114688   2701348      0.68   1471032  48057664 184484100     45.75  21641752  29473132      6340   1615088   2425840     10816     33324    275300
01:12:50 PM 340467444 389384012   2432632      0.62   1471032  48062188 123190200     30.55  21642004  29123444      6100   1260236   2425252     10720     27712    275252
01:12:55 PM 340280164 389196244   2620884      0.66   1471032  48061700 158428520     39.29  21642452  29326976      3436   1465500   2424768     10720     30112    275236
01:13:00 PM 340245288 389164920   2651576      0.67   1471032  48065192 169315588     41.99  21642796  29408768      5744   1544292   2425460     10768     31524    275220
