Linux 5.15.0-91-generic (gl5) 	01/24/2024 	_x86_64_	(32 CPU)

01:09:40 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:09:45 PM     all      3.69      0.00      4.34      0.12      0.00     91.85
01:09:45 PM       0      1.00      0.00      4.40      0.00      0.00     94.60
01:09:45 PM       1      3.39      0.00      4.99      0.00      0.00     91.62
01:09:45 PM       2      0.40      0.00      4.79      0.00      0.00     94.81
01:09:45 PM       3      1.00      0.00      4.20      0.00      0.00     94.80
01:09:45 PM       4      0.80      0.00      4.40      0.00      0.00     94.80
01:09:45 PM       5      0.60      0.00      4.59      0.00      0.00     94.81
01:09:45 PM       6      0.60      0.00      4.99      0.00      0.00     94.41
01:09:45 PM       7      1.00      0.00      4.00      0.00      0.00     95.00
01:09:45 PM       8      1.40      0.00      3.99      0.00      0.00     94.61
01:09:45 PM       9     90.02      0.00      1.40      0.20      0.00      8.38
01:09:45 PM      10      0.80      0.00      4.40      0.00      0.00     94.80
01:09:45 PM      11      0.60      0.00      4.60      0.00      0.00     94.80
01:09:45 PM      12      1.00      0.00      4.20      0.00      0.00     94.80
01:09:45 PM      13      1.00      0.00      4.01      0.00      0.00     94.99
01:09:45 PM      14      0.60      0.00      4.41      0.00      0.00     94.99
01:09:45 PM      15      0.60      0.00      4.60      0.00      0.00     94.80
01:09:45 PM      16      1.20      0.00      4.00      0.00      0.00     94.80
01:09:45 PM      17      1.00      0.00      4.19      0.00      0.00     94.81
01:09:45 PM      18      0.80      0.00      4.59      0.00      0.00     94.61
01:09:45 PM      19      0.40      0.00      4.80      3.60      0.00     91.20
01:09:45 PM      20      0.60      0.00      4.62      0.00      0.00     94.78
01:09:45 PM      21      0.80      0.00      4.60      0.00      0.00     94.60
01:09:45 PM      22      1.00      0.00      4.20      0.00      0.00     94.80
01:09:45 PM      23      0.80      0.00      4.40      0.00      0.00     94.80
01:09:45 PM      24      0.60      0.00      4.60      0.00      0.00     94.80
01:09:45 PM      25      0.80      0.00      4.39      0.00      0.00     94.81
01:09:45 PM      26      0.80      0.00      4.20      0.00      0.00     95.00
01:09:45 PM      27      1.00      0.00      4.20      0.00      0.00     94.80
01:09:45 PM      28      0.80      0.00      4.80      0.00      0.00     94.40
01:09:45 PM      29      1.00      0.00      4.40      0.00      0.00     94.60
01:09:45 PM      30      1.00      0.00      4.20      0.00      0.00     94.80
01:09:45 PM      31      0.40      0.00      4.80      0.00      0.00     94.80

01:09:45 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:09:50 PM     all      0.89      0.00      0.18      1.08      0.00     97.85
01:09:50 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
01:09:50 PM       1      0.20      0.00      0.20      0.00      0.00     99.60
01:09:50 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
01:09:50 PM       3      0.20      0.00      0.60      0.00      0.00     99.20
01:09:50 PM       4      0.00      0.00      0.40      0.00      0.00     99.60
01:09:50 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
01:09:50 PM       6      0.40      0.00      0.40      0.00      0.00     99.20
01:09:50 PM       7      0.20      0.00      0.20      0.00      0.00     99.60
01:09:50 PM       8      0.40      0.00      0.20      0.00      0.00     99.40
01:09:50 PM       9     26.16      0.00      0.80     34.61      0.00     38.43
01:09:50 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
01:09:50 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
01:09:50 PM      12      0.00      0.00      0.20      0.00      0.00     99.80
01:09:50 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
01:09:50 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
01:09:50 PM      15      0.20      0.00      0.20      0.00      0.00     99.60
01:09:50 PM      16      0.00      0.00      0.20      0.00      0.00     99.80
01:09:50 PM      17      0.00      0.00      0.20      0.00      0.00     99.80
01:09:50 PM      18      0.00      0.00      0.40      0.00      0.00     99.60
01:09:50 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
01:09:50 PM      20      0.40      0.00      0.00      0.00      0.00     99.60
01:09:50 PM      21      0.00      0.00      0.20      0.00      0.00     99.80
01:09:50 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
01:09:50 PM      23      0.20      0.00      0.40      0.00      0.00     99.40
01:09:50 PM      24      0.20      0.00      0.00      0.00      0.00     99.80
01:09:50 PM      25      0.00      0.00      0.20      0.00      0.00     99.80
01:09:50 PM      26      0.00      0.00      0.00      0.00      0.00    100.00
01:09:50 PM      27      0.00      0.00      0.60      0.00      0.00     99.40
01:09:50 PM      28      0.20      0.00      0.20      0.00      0.00     99.60
01:09:50 PM      29      0.00      0.00      0.00      0.00      0.00    100.00
01:09:50 PM      30      0.00      0.00      0.20      0.00      0.00     99.80
01:09:50 PM      31      0.00      0.00      0.00      0.00      0.00    100.00

01:09:50 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:09:55 PM     all     10.60      0.00      0.48      4.67      0.00     84.25
01:09:55 PM       0      0.00      0.00      0.80      1.21      0.00     97.99
01:09:55 PM       1     29.72      0.00      1.41     13.05      0.00     55.82
01:09:55 PM       2     27.25      0.00      0.20      7.62      0.00     64.93
01:09:55 PM       3     28.06      0.00      1.20     11.22      0.00     59.52
01:09:55 PM       4      0.00      0.00      0.20      0.00      0.00     99.80
01:09:55 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
01:09:55 PM       6     26.80      0.00      0.80     10.20      0.00     62.20
01:09:55 PM       7      0.00      0.00      0.20      0.80      0.00     99.00
01:09:55 PM       8     29.54      0.00      1.00     12.18      0.00     57.29
01:09:55 PM       9     54.89      0.00      2.00     22.75      0.00     20.36
01:09:55 PM      10      1.60      0.00      0.60      3.61      0.00     94.19
01:09:55 PM      11     22.85      0.00      0.20      7.41      0.00     69.54
01:09:55 PM      12      0.20      0.00      0.20      0.00      0.00     99.60
