Linux 5.15.0-91-generic (gl5) 	01/26/2024 	_x86_64_	(32 CPU)

03:54:03 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
03:54:08 AM 327492168 390071460   1707612      0.43   1494336  61385732   4661428      1.16  26924096  36500852       216    573412   2778700     10576      6096    277284
03:54:13 AM 327478640 390061440   1717052      0.43   1494336  61389168   4663452      1.16  26924572  36504388      1216    573744   2779352     10624      6152    277380
03:54:18 AM 327429072 390014944   1761788      0.45   1494336  61392244  25171680      6.24  26926020  36582060       580    633784   2781108      9808     10300    276580
03:54:23 AM 327488684 390075004   1702504      0.43   1494336  61392580   4188704      1.04  26926112  36506724       728    574200   2780444      9632      6004    276500
03:54:28 AM 327489312 390077836   1699636      0.43   1494336  61394660   4188704      1.04  26926152  36508824       196    574252   2780604      9632      6004    276468
03:54:33 AM 327480868 390071340   1706384      0.43   1494340  61396416   4188836      1.04  26926152  36510652      1224    574324   2780540      9680      6068    276468
03:54:38 AM 327481616 390073620   1704048      0.43   1494340  61397884   4188836      1.04  26926192  36512060        16    574328   2780660      9632      6000    276484
03:54:43 AM 327473164 390067476   1709920      0.43   1494340  61400132   4188836      1.04  26926192  36514408       816    574372   2780992      9632      6008    276484
03:54:48 AM 327474284 390070208   1707224      0.43   1494340  61401652   4188968      1.04  26926232  36515860        24    574400   2781048      9632      6004    276468
03:54:53 AM 327466632 390064468   1712876      0.43   1494340  61403456   4188968      1.04  26926268  36519224       740    575000   2781244     10128      6028    276484
03:54:58 AM 327465816 390065580   1711912      0.43   1494340  61405408   4188968      1.04  26926264  36519672      1472    574476   2781072      9632      6004    276468
03:55:03 AM 327467136 390068700   1708784      0.43   1494340  61407124   4188968      1.04  26926300  36521376       440    574512   2781164      9632      6008    276436
03:55:08 AM 327469192 390072632   1704896      0.43   1494340  61409076   4189100      1.04  26926344  36523336      1164    574576   2781044      9632      6008    276452
03:55:13 AM 327470668 390075916   1701580      0.43   1494340  61410796   4189100      1.04  26926344  36525092       332    574600   2781164      9632      6008    276468
03:55:18 AM 327464972 390071920   1705576      0.43   1494344  61412400   4189100      1.04  26926384  36526716      1484    574692   2781256      9664      6072    276436
03:55:23 AM 327465148 390073800   1703716      0.43   1494344  61414008   4189240      1.04  26926084  36528708       264    574748   2781332      9632      6004    276404
03:55:28 AM 327458984 390069604   1707856      0.43   1494344  61415824   4189240      1.04  26926128  36530564      1208    574812   2781540      9632      6008    276420
03:55:33 AM 327457104 390069688   1707772      0.43   1494344  61417652   4189240      1.04  26926164  36532392       292    574896   2781676      9632      6008    276436
03:55:38 AM 327456140 390070704   1707016      0.43   1494344  61419568   4189240      1.04  26926160  36534340      1324    574884   2781480      9616      5976    276420
03:55:43 AM 326486336 389103504   2666204      0.68   1494348  61422164 174087004     43.17  26928184  37552700      2124   1593296   2789496     10656     32404    277140
03:55:48 AM 326420360 389041916   2727812      0.69   1494348  61426324 190973220     47.36  26928452  37603580      2240   1639208   2789704     10656     33736    277412
03:55:53 AM 326622068 389247748   2522396      0.64   1494348  61430468 158551336     39.32  26928536  37381980      3244   1413568   2789268     10560     30148    277268
03:55:58 AM 326823760 389449576   2320776      0.59   1494348  61430944 117509224     29.14  26928832  37147600      3012   1179340   2788720     10496     24968    277188
03:56:03 AM 326395872 389024292   2746220      0.70   1494348  61433504 188117040     46.65  26929400  37617628      6012   1647244   2788604     10656     33316    277396
03:56:08 AM 326486756 389118500   2651772      0.67   1494348  61436792 177921700     44.12  26929660  37535260      6756   1562280   2788880     10736     32048    277364
03:56:13 AM 326523652 389159176   2611604      0.66   1494348  61440392 155578912     38.58  26930112  37445404      4168   1469976   2788552     10592     30148    277252
03:56:18 AM 326388780 389026848   2743128      0.69   1494352  61442908 184429676     45.74  26930652  37577676      6232   1598964   2789380     10656     33044    277316
03:56:23 AM 326454236 389096632   2674376      0.68   1494352  61447152 170513448     42.29  26930880  37512856      7216   1530200   2788432     10640     31076    277268
03:56:28 AM 326656524 389302888   2467888      0.63   1494352  61451176 141986592     35.21  26931212  37271844      4504   1285676   2788608     10512     27120    277220
03:56:33 AM 326405552 389052100   2719172      0.69   1494352  61451320 171425164     42.51  26931684  37498444      5324   1513300   2788152     10624     30436    277220
03:56:38 AM 326317032 388966648   2805396      0.71   1494352  61454500 190956508     47.35  26932156  37638284      6244   1650648   2787268     10672     33572    277300
03:56:43 AM 326394456 389047424   2725056      0.69   1494352  61457796 169475892     42.03  26932444  37568732      7624   1577848   2786888     10672     32452    277236
03:56:48 AM 326598184 389253460   2519176      0.64   1494352  61460348 144470652     35.83  26932780  37365168      4068   1371596   2786488     10592     28876    277140
03:56:53 AM 326298796 388957636   2813620      0.71   1494356  61463848 188146636     46.66  26933396  37645104      6920   1649300   2787928     10688     33700    277252
03:56:58 AM 326378184 389040292   2730644      0.69   1494356  61467060 174237116     43.21  26933620  37537732      5700   1539036   2788304     10640     31516    277284
03:57:03 AM 326460772 389125224   2645772      0.67   1494360  61469332 143426288     35.57  26934040  37453864      5028   1452392   2788312     10640     29380    277220
03:57:08 AM 326275416 388943408   2826952      0.72   1494360  61472868 188129244     46.65  26934568  37636584      5748   1633020   2788952     10736     33308    277284
03:57:13 AM 326356224 389027536   2742064      0.69   1494360  61476096 180772992     44.83  26934880  37595520      7152   1588524   2789804     10704     32264    277204
03:57:18 AM 326419080 389094416   2676308      0.68   1494360  61480268 165597404     41.07  26935384  37517640      5076   1506256   2788532     10656     31104    277108
03:57:23 AM 326405832 389084072   2686276      0.68   1494364  61483172 161882796     40.14  26935724  37488496      6256   1475736   2788904     10688     29776    277140
03:57:28 AM 326426084 389107868   2661544      0.67   1494368  61486560 157128888     38.97  26936176  37506796      4480   1489892   2789992     10656     30176    277092
03:57:33 AM 326341520 389026336   2743664      0.69   1494368  61489504 176674184     43.81  26936628  37600308      6844   1581576   2789492     10752     31940    277172
03:57:38 AM 326437472 389126272   2642948      0.67   1494368  61493460 164694776     40.84  26936984  37500668      5496   1478124   2790300     10624     30108    277140
03:57:43 AM 326343640 389036616   2733204      0.69   1494368  61497660 172977840     42.90  26937456  37571680      6056   1545988   2789676     10688     31248    277284
03:57:48 AM 326261356 388957048   2812672      0.71   1494368  61500396 185142656     45.91  26937904  37648820      6016   1620308   2789756     10720     32896    277268
03:57:53 AM 326448832 389148316   2621736      0.66   1494372  61504260 151664676     37.61  26938224  37461500      5564   1428944   2789348     10736     28960    277188
03:57:58 AM 326494240 389197332   2573128      0.65   1494372  61507872 142331068     35.30  26938636  37428864      4604   1394156   2788936     10672     28780    277220
03:58:03 AM 326281424 388986296   2785008      0.71   1494372  61509824 185146208     45.91  26939172  37659964      6404   1624444   2787920     10848     32892    277268
03:58:08 AM 326433168 389141944   2630308      0.67   1494376  61513648 167529144     41.55  26939412  37537088      5272   1497232   2787048     10656     30288    277220
03:58:13 AM 326399844 389110952   2660684      0.67   1494376  61515960 172083572     42.67  26939920  37555168      5104   1513164   2787684     10688     30480    277012
03:58:18 AM 326318856 389033848   2736540      0.69   1494376  61519736 172090856     42.68  26940344  37604776      7256   1559280   2789040     10688     31788    277124
03:58:23 AM 326339560 389057468   2713860      0.69   1494376  61522540 175773828     43.59  26940836  37616188      5688   1567596   2788212     10736     32132    277204
03:58:28 AM 326305592 389026824   2744680      0.70   1494376  61525824 185127308     45.91  26941192  37670420      7256   1619316   2788076     10736     32556    277220
03:58:33 AM 326460964 389186140   2584684      0.65   1494376  61529812 161014976     39.93  26941600  37513560      5456   1459300   2788712     10688     30436    277172
