Linux 5.15.0-91-generic (gl5) 	01/25/2024 	_x86_64_	(32 CPU)

05:25:33 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:25:38 AM     all      3.75      0.00      4.38      0.10      0.00     91.78
05:25:38 AM       0      0.60      0.00      5.00      0.00      0.00     94.40
05:25:38 AM       1      0.60      0.00      5.39      0.00      0.00     94.01
05:25:38 AM       2      0.60      0.00      4.61      0.00      0.00     94.79
05:25:38 AM       3      1.00      0.00      4.41      0.00      0.00     94.59
05:25:38 AM       4      1.00      0.00      4.01      0.00      0.00     94.99
05:25:38 AM       5      0.60      0.00      4.60      0.00      0.00     94.80
05:25:38 AM       6      0.80      0.00      4.40      0.00      0.00     94.80
05:25:38 AM       7      1.00      0.00      4.40      0.00      0.00     94.60
05:25:38 AM       8      0.40      0.00      4.61      0.00      0.00     94.99
05:25:38 AM       9      1.20      0.00      4.59      0.00      0.00     94.21
05:25:38 AM      10      0.80      0.00      4.40      0.00      0.00     94.80
05:25:38 AM      11      3.41      0.00      4.61      0.00      0.00     91.98
05:25:38 AM      12      1.00      0.00      4.20      0.00      0.00     94.80
05:25:38 AM      13      1.20      0.00      4.19      0.00      0.00     94.61
05:25:38 AM      14      0.80      0.00      4.41      0.00      0.00     94.79
05:25:38 AM      15      0.80      0.00      4.79      0.00      0.00     94.41
05:25:38 AM      16      1.40      0.00      4.00      0.00      0.00     94.60
05:25:38 AM      17      0.20      0.00      4.80      0.00      0.00     95.00
05:25:38 AM      18      0.80      0.00      4.60      0.00      0.00     94.60
05:25:38 AM      19      1.00      0.00      4.20      0.00      0.00     94.80
05:25:38 AM      20      1.20      0.00      4.41      0.00      0.00     94.39
05:25:38 AM      21      1.00      0.00      4.40      0.00      0.00     94.60
05:25:38 AM      22      1.00      0.00      4.61      0.00      0.00     94.39
05:25:38 AM      23      0.80      0.00      4.80      0.00      0.00     94.40
05:25:38 AM      24      1.21      0.00      4.43      3.02      0.00     91.35
05:25:38 AM      25      1.00      0.00      4.41      0.00      0.00     94.59
05:25:38 AM      26      0.80      0.00      4.40      0.00      0.00     94.80
05:25:38 AM      27      1.00      0.00      4.20      0.00      0.00     94.80
05:25:38 AM      28     89.44      0.00      1.59      0.20      0.00      8.76
05:25:38 AM      29      1.40      0.00      3.80      0.00      0.00     94.80
05:25:38 AM      30      0.40      0.00      4.61      0.00      0.00     94.99
05:25:38 AM      31      1.00      0.00      4.20      0.00      0.00     94.80

05:25:38 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:25:43 AM     all      0.94      0.00      0.12      1.06      0.00     97.88
05:25:43 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
05:25:43 AM       1      0.00      0.00      0.00      0.00      0.00    100.00
05:25:43 AM       2      0.00      0.00      0.20      0.00      0.00     99.80
05:25:43 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
05:25:43 AM       4      0.00      0.00      0.00      0.00      0.00    100.00
05:25:43 AM       5      0.00      0.00      0.80      0.00      0.00     99.20
05:25:43 AM       6      0.00      0.00      0.00      0.00      0.00    100.00
05:25:43 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
05:25:43 AM       8      0.00      0.00      0.00      0.00      0.00    100.00
05:25:43 AM       9      0.00      0.00      0.00      0.00      0.00    100.00
05:25:43 AM      10      0.00      0.00      0.00      0.00      0.00    100.00
05:25:43 AM      11      0.00      0.00      0.00      0.00      0.00    100.00
05:25:43 AM      12      0.00      0.00      0.00      0.00      0.00    100.00
05:25:43 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
05:25:43 AM      14      0.20      0.00      0.00      0.00      0.00     99.80
05:25:43 AM      15      0.20      0.00      0.20      0.00      0.00     99.60
05:25:43 AM      16      0.00      0.00      0.20      0.00      0.00     99.80
05:25:43 AM      17      0.00      0.00      0.00      0.00      0.00    100.00
05:25:43 AM      18      0.00      0.00      0.00      0.00      0.00    100.00
05:25:43 AM      19      0.20      0.00      0.20      0.00      0.00     99.60
05:25:43 AM      20      0.00      0.00      0.20      0.00      0.00     99.80
05:25:43 AM      21      0.00      0.00      0.00      0.00      0.00    100.00
05:25:43 AM      22      0.20      0.00      0.20      0.00      0.00     99.60
05:25:43 AM      23      0.00      0.00      0.00      0.00      0.00    100.00
05:25:43 AM      24      0.00      0.00      0.00      0.00      0.00    100.00
05:25:43 AM      25      0.20      0.00      0.20      0.00      0.00     99.60
05:25:43 AM      26      0.00      0.00      0.40      0.00      0.00     99.60
05:25:43 AM      27      0.00      0.00      0.20      0.00      0.00     99.80
05:25:43 AM      28     29.32      0.00      1.00     33.94      0.00     35.74
05:25:43 AM      29      0.00      0.00      0.00      0.00      0.00    100.00
05:25:43 AM      30      0.00      0.00      0.00      0.00      0.00    100.00
05:25:43 AM      31      0.00      0.00      0.00      0.00      0.00    100.00

05:25:43 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:25:48 AM     all     10.82      0.00      0.54      4.29      0.00     84.35
05:25:48 AM       0      3.01      0.00      1.20      2.81      0.00     92.97
05:25:48 AM       1     27.57      0.00      0.80     10.87      0.00     60.76
05:25:48 AM       2      2.41      0.00      0.20      0.00      0.00     97.39
05:25:48 AM       3     27.66      0.00      0.40      8.22      0.00     63.73
05:25:48 AM       4      0.00      0.00      0.20      0.00      0.00     99.80
05:25:48 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
05:25:48 AM       6      0.00      0.00      0.40      0.00      0.00     99.60
05:25:48 AM       7     25.20      0.00      0.60     11.40      0.00     62.80
05:25:48 AM       8     23.09      0.00      0.40      7.83      0.00     68.67
05:25:48 AM       9      0.00      0.00      0.40      0.00      0.00     99.60
05:25:48 AM      10      0.00      0.00      0.00      0.00      0.00    100.00
05:25:48 AM      11      0.60      0.00      0.40      2.00      0.00     97.00
05:25:48 AM      12      0.00      0.00      0.00      0.00      0.00    100.00
05:25:48 AM      13     26.85      0.00      1.00      9.82      0.00     62.32
05:25:48 AM      14     26.20      0.00      1.80     11.20      0.00     60.80
05:25:48 AM      15     23.00      0.00      0.80      1.20      0.00     75.00
05:25:48 AM      16     23.90      0.00      0.20      8.63      0.00     67.27
05:25:48 AM      17      0.00      0.00      0.40      0.00      0.00     99.60
05:25:48 AM      18     27.20      0.00      1.20     11.00      0.00     60.60
05:25:48 AM      19      0.00      0.00      0.00      0.00      0.00    100.00
05:25:48 AM      20      0.00      0.00      0.40      0.00      0.00     99.60
05:25:48 AM      21      0.00      0.00      0.20      0.00      0.00     99.80
05:25:48 AM      22     50.10      0.00      0.80      9.62      0.00     39.48
05:25:48 AM      23      0.20      0.00      0.20      0.00      0.00     99.60
05:25:48 AM      24      4.41      0.00      1.20      3.81      0.00     90.58
05:25:48 AM      25      1.20      0.00      0.60      2.81      0.00     95.39
05:25:48 AM      26      0.80      0.00      0.60      4.22      0.00     94.38
05:25:48 AM      27      0.00      0.00      0.20      0.00      0.00     99.80
05:25:48 AM      28     47.40      0.00      1.60     15.20      0.00     35.80
05:25:48 AM      29      0.20      0.00      0.00      4.21      0.00     95.59
05:25:48 AM      30      0.20      0.00      0.20      0.00      0.00     99.60
05:25:48 AM      31      5.01      0.00      0.80     12.42      0.00     81.76

05:25:48 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:25:53 AM     all      0.86      0.00      0.11      1.49      0.00     97.54
05:25:53 AM       0      0.20      0.00      0.20      0.00      0.00     99.60
05:25:53 AM       1      0.00      0.00      0.00      0.00      0.00    100.00
05:25:53 AM       2      0.00      0.00      0.40      0.00      0.00     99.60
05:25:53 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
05:25:53 AM       4      0.00      0.00      0.00      0.00      0.00    100.00
05:25:53 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
05:25:53 AM       6      0.20      0.00      0.20      0.00      0.00     99.60
05:25:53 AM       7      0.20      0.00      0.00      0.00      0.00     99.80
05:25:53 AM       8      0.00      0.00      0.00      0.00      0.00    100.00
