Linux 5.15.0-91-generic (gl5) 	01/31/2024 	_x86_64_	(32 CPU)

01:12:35 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:12:40 AM     all      3.63      0.00      4.36      0.14      0.00     91.87
01:12:40 AM       0      1.20      0.00      4.22      4.62      0.00     89.96
01:12:40 AM       1      0.80      0.00      4.62      0.00      0.00     94.58
01:12:40 AM       2      0.60      0.00      4.82      0.00      0.00     94.58
01:12:40 AM       3      1.41      0.00      4.42      0.00      0.00     94.18
01:12:40 AM       4      1.00      0.00      4.20      0.00      0.00     94.80
01:12:40 AM       5      0.60      0.00      4.60      0.00      0.00     94.80
01:12:40 AM       6      1.00      0.00      4.21      0.00      0.00     94.79
01:12:40 AM       7      0.60      0.00      4.41      0.00      0.00     94.99
01:12:40 AM       8      0.60      0.00      4.80      0.00      0.00     94.60
01:12:40 AM       9     84.03      0.00      1.80      0.00      0.00     14.17
01:12:40 AM      10      0.80      0.00      4.40      0.00      0.00     94.80
01:12:40 AM      11      0.60      0.00      4.60      0.00      0.00     94.80
01:12:40 AM      12      0.80      0.00      4.40      0.00      0.00     94.80
01:12:40 AM      13      1.40      0.00      4.00      0.00      0.00     94.60
01:12:40 AM      14      1.60      0.00      4.01      0.00      0.00     94.39
01:12:40 AM      15      0.80      0.00      4.61      0.00      0.00     94.59
01:12:40 AM      16      1.00      0.00      4.01      0.00      0.00     94.99
01:12:40 AM      17      1.40      0.00      4.40      0.00      0.00     94.20
01:12:40 AM      18      0.80      0.00      4.99      0.00      0.00     94.21
01:12:40 AM      19      0.80      0.00      4.40      0.00      0.00     94.80
01:12:40 AM      20      1.20      0.00      4.39      0.00      0.00     94.41
01:12:40 AM      21      1.20      0.00      4.40      0.00      0.00     94.40
01:12:40 AM      22      0.80      0.00      4.41      0.00      0.00     94.79
01:12:40 AM      23      4.19      0.00      4.99      0.00      0.00     90.82
01:12:40 AM      24      1.00      0.00      4.01      0.00      0.00     94.99
01:12:40 AM      25      0.80      0.00      4.58      0.00      0.00     94.62
01:12:40 AM      26      0.80      0.00      4.40      0.00      0.00     94.80
01:12:40 AM      27      1.20      0.00      4.19      0.00      0.00     94.61
01:12:40 AM      28      0.80      0.00      4.60      0.00      0.00     94.60
01:12:40 AM      29      0.60      0.00      4.41      0.00      0.00     94.99
01:12:40 AM      30      0.80      0.00      4.39      0.00      0.00     94.81
01:12:40 AM      31      0.60      0.00      4.79      0.00      0.00     94.61

01:12:40 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
