Linux 5.15.0-87-generic (gl6) 	01/31/2024 	_x86_64_	(32 CPU)

01:08:15 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
01:08:20 AM  54117148 389228120   1493992      0.38   4040916 321303012   3564644      0.88 146862580 178629612        20    176152  13904072      9328      4184    331252
01:08:25 AM  53887224 389002112   1716428      0.43   4040916 321306936  36309188      9.00 146863616 178966360       404    510272  13907636      9168     11728    330772
01:08:30 AM  54200292 389317164   1402792      0.36   4040916 321308852   3092804      0.77 146864876 178633668        32    176668  13906288      8352      4124    330580
01:08:35 AM  54196716 389316092   1404372      0.36   4040916 321311264   3092804      0.77 146864876 178636060        40    176676  13905872      8352      4124    330564
01:08:40 AM  54197912 389319168   1401268      0.35   4040916 321313076   3092804      0.77 146864912 178637872        32    176684  13905968      8352      4124    330548
01:08:45 AM  54197228 389320200   1400232      0.35   4040916 321314732   3092804      0.77 146864948 178639468        60    176684  13906032      8352      4124    330548
01:08:50 AM  54196836 389321600   1398824      0.35   4040916 321316452   3092804      0.77 146864948 178641224       208    176692  13906112      8352      4124    330516
01:08:55 AM  54196800 389323392   1397032      0.35   4040916 321318248   3092804      0.77 146864984 178642972        24    176688  13906144      8352      4120    330516
01:09:00 AM  54196224 389324656   1395784      0.35   4040916 321320024   3092804      0.77 146864984 178644760        20    176692  13906192      8352      4124    330516
01:09:05 AM  54195380 389325752   1394684      0.35   4040916 321321904   3092804      0.77 146865020 178646576        16    176688  13906256      8352      4124    330516
01:09:10 AM  54193992 389326228   1394188      0.35   4040916 321323676   3092804      0.77 146865056 178648320        20    176688  13906368      8352      4124    330516
01:09:15 AM  54193812 389327888   1392484      0.35   4040916 321325448   3092804      0.77 146865056 178650084        52    176692  13906480      8352      4124    330532
01:09:20 AM  54192712 389328456   1391972      0.35   4040916 321327052   3092804      0.77 146865092 178651656       180    176692  13906488      8368      4124    330532
01:09:25 AM  54192772 389330432   1389996      0.35   4040916 321328904   3092804      0.77 146865128 178653488        40    176708  13906552      8368      4120    330532
01:09:30 AM  54192136 389331664   1388752      0.35   4040916 321330704   3092804      0.77 146865128 178655352        24    176756  13906632      8368      4120    330516
01:09:35 AM  54191856 389333128   1387188      0.35   4040916 321332388   3092804      0.77 146865164 178657016        20    176780  13906792      8368      4120    330484
01:09:40 AM  54192088 389335312   1385112      0.35   4040916 321334248   3092804      0.77 146865200 178658876        24    176828  13906776      8368      4124    330500
01:09:45 AM  54191176 389336320   1384108      0.35   4040916 321336132   3092804      0.77 146865200 178660796        68    176860  13906808      8368      4120    330532
01:09:50 AM  53204840 388353312   2358740      0.60   4040916 321339228 172999932     42.90 146867192 179677248      2328   1192744  13915416      9408     30596    331188
01:09:55 AM  53148808 388301316   2410712      0.61   4040916 321343176 189874096     47.09 146867436 179730452      1032   1241128  13915528      9408     32336    331204
01:10:00 AM  53258620 388415784   2296520      0.58   4040916 321347836 161146328     39.96 146867596 179536216      3128   1043548  13915248      9344     28668    331156
01:10:05 AM  53257756 388414436   2298468      0.58   4040916 321347380 140401504     34.82 146868024 179505548      2796   1013560  13914620      9296     26040    331076
01:10:10 AM  53018300 388178660   2534048      0.64   4040916 321351060 189917228     47.10 146868524 179760012      6248   1263828  13914816      9408     32332    331188
01:10:15 AM  53110656 388274748   2437240      0.62   4040916 321354668 166621136     41.32 146868896 179631552      6252   1132996  13915660      9392     31468    331172
01:10:20 AM  53012580 388180000   2532736      0.64   4040916 321357764 189887980     47.09 146869448 179764040      5740   1263472  13915144      9408     31872    331124
01:10:25 AM  53094476 388265276   2447208      0.62   4040916 321361020 174037968     43.16 146869704 179667312      6172   1163820  13915520      9392     30848    331076
01:10:30 AM  53115668 388289752   2423132      0.61   4040916 321364092 169638292     42.07 146870240 179633712      4996   1127224  13915332      9392     29980    331188
01:10:35 AM  53019836 388197928   2515148      0.64   4040916 321367964 178781640     44.34 146870612 179684932      6112   1174548  13915276      9392     31184    331188
01:10:40 AM  53069648 388250804   2461864      0.62   4040916 321370736 167519564     41.54 146871056 179639616      5008   1127552  13915976      9376     30044    331124
01:10:45 AM  52932584 388116996   2596652      0.66   4040916 321373832 189885248     47.09 146871552 179779468      5968   1264840  13915156      9408     32272    331156
01:10:50 AM  52942992 388130460   2582700      0.65   4040916 321376884 174020572     43.15 146871856 179719912      5776   1202552  13915648      9376     30948    331188
01:10:55 AM  52975072 388166760   2546944      0.65   4040916 321380976 170341400     42.24 146872340 179686992      5540   1166512  13915232      9392     30920    331092
01:11:00 AM  52880480 388074716   2638432      0.67   4040916 321383404 184262356     45.69 146872748 179764196      5468   1240848  13915908      9392     31780    331124
01:11:05 AM  53056716 388255004   2457984      0.62   4040916 321387368 163792588     40.62 146873124 179648116      5480   1120936  13916156      9376     29820    331092
01:11:10 AM  52993692 388194676   2518116      0.64   4040916 321390460 179654572     44.55 146873604 179716420      5396   1186496  13915956      9392     30676    331076
01:11:15 AM  52966280 388169824   2544376      0.64   4040916 321392480 184014308     45.63 146874004 179761748      6064   1230964  13915088      9376     31076    331076
01:11:20 AM  53094552 388302236   2412488      0.61   4040916 321396528 159906892     39.65 146874360 179591488      4764   1056468  13914656      9264     27760    331076
01:11:25 AM  52995760 388205996   2508660      0.64   4040916 321399116 171893636     42.63 146874884 179711412      4860   1174768  13914688      9344     29936    331156
01:11:30 AM  52963616 388176684   2537472      0.64   4040916 321402004 178412116     44.24 146875256 179750484      5504   1210984  13915132      9344     30796    331108
01:11:35 AM  53033164 388249968   2463784      0.62   4040916 321405748 173827172     43.11 146875680 179705100      5332   1162688  13915528      9328     29772    331076
01:11:40 AM  53057824 388277636   2436032      0.62   4040916 321408760 168176264     41.71 146876008 179689024      5200   1143116  13915608      9296     29256    331028
01:11:45 AM  53034584 388257972   2455528      0.62   4040916 321412168 172939420     42.89 146876500 179684440      6048   1136000  13915944      9312     29988    331156
01:11:50 AM  53001960 388227892   2485428      0.63   4040916 321414824 171870124     42.62 146876876 179734424      5976   1184108  13916012      9312     29984    331124
01:11:55 AM  53063916 388293616   2420460      0.61   4040916 321418512 171016816     42.41 146877336 179694156      5104   1140800  13915336      9296     29060    331156
01:12:00 AM  52974776 388207352   2506928      0.63   4040916 321421324 184025884     45.64 146877764 179788344      6124   1232212  13915196      9344     31464    331204
01:12:05 AM  52974028 388210480   2504036      0.63   4040916 321425280 167316148     41.49 146878124 179697480      4984   1137520  13914880      9312     29192    331092
01:12:10 AM  52984916 388223768   2490704      0.63   4040916 321427536 171019844     42.41 146878596 179713476      5516   1152228  13915068      9344     29816    331108
01:12:15 AM  53008972 388251164   2462868      0.62   4040916 321430764 170998244     42.41 146878968 179726284      5676   1162780  13915620      9328     30648    331124
01:12:20 AM  53108352 388354752   2359244      0.60   4040916 321434644 159898344     39.65 146879400 179624048      5124   1056268  13915984      9264     28012    331076
01:12:25 AM  53114332 388364288   2349484      0.60   4040916 321438092 161840708     40.13 146879812 179617972      5644   1046168  13916316      9312     28784    331076
01:12:30 AM  52972156 388224580   2489220      0.63   4040916 321440688 176665516     43.81 146880280 179739108      5360   1165716  13916160      9328     30300    331140
01:12:35 AM  52939792 388195904   2517620      0.64   4040916 321444392 170122292     42.19 146880696 179716660      5504   1140240  13916420      9344     29856    331188
01:12:40 AM  52932152 388190380   2522648      0.64   4040916 321446844 169079192     41.93 146881076 179748660      4696   1170100  13916580      9328     29524    331172
01:12:45 AM  53008104 388269900   2443800      0.62   4040916 321450348 170134432     42.19 146881468 179707928      5592   1125764  13915972      9328     29344    331140
01:12:50 AM  52994260 388259400   2454232      0.62   4040916 321453604 155335456     38.52 146881880 179686292      5016   1102356  13916128      9312     28800    331124
01:12:55 AM  52960980 388228460   2484696      0.63   4040916 321455988 161668256     40.09 146882212 179721804      4928   1135064  13916560      9280     29240    331076
01:13:00 AM  52984648 388254992   2458252      0.62   4040916 321458768 165373244     41.01 146882652 179702044      4376   1113724  13916556      9328     28984    331076
01:13:05 AM  52920960 388194352   2518484      0.64   4040916 321461784 177526664     44.02 146883044 179778332      5468   1187328  13916996      9312     30128    331108
01:13:10 AM  53142524 388419528   2292952      0.58   4040916 321465436 151616692     37.60 146883324 179569740      5100    974264  13917312      9232     26844    331076
01:13:15 AM  53114836 388394836   2318360      0.59   4040916 321468344 135791268     33.67 146883700 179510272      3632    912140  13916684      9184     25956    330996
01:13:20 AM  52906544 388188728   2525368      0.64   4040916 321470492 176664140     43.81 146884256 179773020      5856   1173352  13915820      9328     31452    331060
