Linux 5.15.30-2-pve (superserver2) 	01/31/2024 	_x86_64_	(32 CPU)

02:08:32 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
02:08:37 AM 312405536 389072988   2559104      0.65    858372  75934044   7087508      1.76  50893032  26764720      1032   1031392   3116728     10720      9992    863568
02:08:42 AM 312146344 388815732   2813868      0.71    858372  75935924  39817216      9.87  50894024  27109072       464   1374888   3119276     10336     15748    863040
02:08:47 AM 312459040 389130412   2500868      0.63    858372  75937892   6614472      1.64  50895456  26766544       120   1031712   3117612      9744      9940    862768
02:08:52 AM 312462316 389135692   2495812      0.63    858372  75939828   6614472      1.64  50895644  26768256       112   1031668   3117456      9680      9936    862704
02:08:57 AM 312463416 389138540   2493136      0.63    858372  75941488   6614472      1.64  50895708  26769836        68   1031716   3117372      9728      9940    862672
02:09:02 AM 312463516 389140600   2490596      0.63    858372  75943316   6617344      1.64  50895712  26773740       276   1033744   3117984      9792     10316    862712
02:09:07 AM 312467300 389146384   2485164      0.63    858372  75945200   6614472      1.64  50895764  26773520       220   1031716   3117748      9728      9940    862672
02:09:12 AM 312467440 389148384   2482960      0.63    858372  75946968   6617312      1.64  50895836  26776796       124   1033320   3118044      9776     10308    862696
02:09:17 AM 312469152 389151840   2479660      0.63    858372  75948648   6614472      1.64  50895836  26776884        60   1031720   3117952      9744      9940    862672
02:09:22 AM 312469540 389153880   2477716      0.63    858372  75950220   6832392      1.69  50895900  26778488        88   1031768   3117936      9712     10192    862688
02:09:27 AM 312468836 389155252   2476280      0.63    858372  75952156   6614472      1.64  50895964  26780212       152   1031720   3118140      9728      9940    862624
02:09:32 AM 312467416 389155616   2475924      0.63    858372  75953836   6614472      1.64  50895968  26781996        64   1031724   3118236      9728      9940    862656
02:09:37 AM 312465708 389155928   2475512      0.63    858372  75955752   6614472      1.64  50896032  26783768       136   1031720   3118440      9728      9940    862656
02:09:42 AM 312464760 389156904   2474784      0.63    858372  75957548   6614472      1.64  50896028  26785644       228   1031736   3118320      9728      9944    862672
02:09:47 AM 312463260 389157340   2474244      0.63    858372  75959368   6614472      1.64  50896092  26787448        52   1031784   3118540      9744      9940    862672
02:09:52 AM 312461800 389157688   2473888      0.63    858372  75961080   6614472      1.64  50896156  26789636       104   1032312   3118644      9728     10448    862672
02:09:57 AM 312460868 389159312   2471912      0.63    858372  75963492   6614472      1.64  50896220  26791488        52   1031864   3119140      9728      9940    862640
02:10:02 AM 312460740 389160740   2470196      0.63    858372  75964948   6614472      1.64  50896216  26793228       108   1032100   3119528      9776     10208    862656
02:10:07 AM 312032028 388733300   2888228      0.73    858372  75966128  88207612     21.87  50896560  27231544       316   1470160   3129028     10352     23712    863216
02:10:12 AM 311407824 388114808   3506984      0.89    858372  75971592 193317552     47.94  50898264  27861136       268   2096520   3129012     10816     38484    863520
02:10:17 AM 311376404 388085228   3537256      0.90    858372  75973424 193334584     47.94  50898272  27867072      2032   2100276   3128328     10832     38464    863496
02:10:22 AM 311951784 388664840   2957612      0.75    858372  75977780 105254876     26.10  50898488  27234624      1616   1462828   3128236     10464     26260    863248
02:10:27 AM 311337536 388051432   3572200      0.90    858372  75978688 193321060     47.94  50899228  27881528      5256   2109940   3126988     10800     38160    863488
02:10:32 AM 311488092 388205532   3417912      0.87    858372  75982232 174845520     43.36  50899336  27738600      6112   1963964   3127176     10768     36108    863440
02:10:37 AM 311661856 388381936   3240752      0.82    858372  75984816 126423796     31.35  50899692  27509116      3184   1732004   3127988     10624     30992    863368
02:10:42 AM 311314512 388037824   3585384      0.91    858372  75987860 190534196     47.25  50900380  27888380      5840   2108924   3127656     10752     38184    863456
02:10:47 AM 311400192 388126540   3495964      0.89    858372  75990868 173805296     43.10  50900568  27786520      5684   2003560   3128388     10752     35832    863488
