Linux 5.15.30-2-pve (superserver2) 	01/31/2024 	_x86_64_	(32 CPU)

02:08:32 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:08:37 AM     all      3.02      0.00      4.45      0.14      0.00     92.38
02:08:37 AM       0      1.00      0.00      4.41      2.00      0.00     92.59
02:08:37 AM       1      0.60      0.00      4.63      0.00      0.00     94.77
02:08:37 AM       2      0.40      0.00      4.80      0.00      0.00     94.80
02:08:37 AM       3      0.40      0.00      5.01      0.00      0.00     94.59
02:08:37 AM       4      0.60      0.00      4.80      0.00      0.00     94.60
02:08:37 AM       5      0.80      0.00      4.40      0.00      0.00     94.80
02:08:37 AM       6      0.60      0.00      4.41      0.00      0.00     94.99
02:08:37 AM       7      3.20      0.00      4.60      0.00      0.00     92.20
02:08:37 AM       8      0.40      0.00      4.80      0.00      0.00     94.80
02:08:37 AM       9     72.85      0.00      2.00      2.59      0.00     22.55
02:08:37 AM      10      0.40      0.00      4.80      0.00      0.00     94.80
02:08:37 AM      11      0.60      0.00      4.60      0.00      0.00     94.80
02:08:37 AM      12      0.80      0.00      4.58      0.00      0.00     94.62
02:08:37 AM      13      0.40      0.00      4.61      0.00      0.00     94.99
02:08:37 AM      14      0.80      0.00      4.40      0.00      0.00     94.80
02:08:37 AM      15      0.80      0.00      4.59      0.00      0.00     94.61
02:08:37 AM      16      0.80      0.00      4.40      0.00      0.00     94.80
02:08:37 AM      17      1.20      0.00      4.00      0.00      0.00     94.80
02:08:37 AM      18      1.00      0.00      4.61      0.00      0.00     94.39
02:08:37 AM      19      0.60      0.00      4.61      0.00      0.00     94.79
02:08:37 AM      20      0.80      0.00      4.21      0.00      0.00     94.99
02:08:37 AM      21      0.40      0.00      4.80      0.00      0.00     94.80
02:08:37 AM      22      0.80      0.00      4.40      0.00      0.00     94.80
02:08:37 AM      23      0.60      0.00      4.41      0.00      0.00     94.99
02:08:37 AM      24      0.80      0.00      4.61      0.00      0.00     94.59
02:08:37 AM      25      0.80      0.00      4.40      0.00      0.00     94.80
02:08:37 AM      26      0.60      0.00      4.59      0.00      0.00     94.81
02:08:37 AM      27      0.60      0.00      4.41      0.00      0.00     94.99
02:08:37 AM      28      0.80      0.00      4.40      0.00      0.00     94.80
02:08:37 AM      29      0.60      0.00      4.60      0.00      0.00     94.80
02:08:37 AM      30      0.80      0.00      4.21      0.00      0.00     94.99
02:08:37 AM      31      0.60      0.00      4.41      0.00      0.00     94.99

02:08:37 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:08:42 AM     all      1.53      0.00      0.26      0.93      0.00     97.29
02:08:42 AM       0      2.20      0.00      0.40      1.20      0.00     96.19
02:08:42 AM       1      0.00      0.00      0.00      0.00      0.00    100.00
02:08:42 AM       2      0.00      0.00      0.00      0.00      0.00    100.00
02:08:42 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:08:42 AM       4      0.00      0.00      0.20      0.00      0.00     99.80
02:08:42 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:08:42 AM       6      0.00      0.00      0.00      0.00      0.00    100.00
02:08:42 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
02:08:42 AM       8      4.39      0.00      1.40      3.59      0.00     90.62
02:08:42 AM       9      1.80      0.00      0.40      2.81      0.00     94.99
02:08:42 AM      10      4.99      0.00      1.00     17.37      0.00     76.65
02:08:42 AM      11      5.01      0.00      0.40      0.80      0.00     93.79
02:08:42 AM      12      4.61      0.00      0.40      0.00      0.00     94.99
02:08:42 AM      13      5.18      0.00      0.40      0.00      0.00     94.42
02:08:42 AM      14      2.81      0.00      0.00      0.00      0.00     97.19
02:08:42 AM      15      1.80      0.00      0.60      0.40      0.00     97.20
02:08:42 AM      16      0.00      0.00      0.00      0.00      0.00    100.00
02:08:42 AM      17      0.00      0.00      0.20      0.00      0.00     99.80
02:08:42 AM      18      0.00      0.00      0.20      0.00      0.00     99.80
02:08:42 AM      19      0.00      0.00      0.00      0.00      0.00    100.00
02:08:42 AM      20      0.00      0.00      0.00      0.00      0.00    100.00
02:08:42 AM      21      0.00      0.00      0.00      0.00      0.00    100.00
02:08:42 AM      22      0.00      0.00      0.00      0.00      0.00    100.00
02:08:42 AM      23      0.00      0.00      0.00      0.00      0.00    100.00
02:08:42 AM      24      1.81      0.00      0.20      0.00      0.00     97.99
02:08:42 AM      25      0.00      0.00      0.00      0.00      0.00    100.00
02:08:42 AM      26      3.01      0.00      0.80      0.00      0.00     96.19
02:08:42 AM      27      0.20      0.00      0.00      0.00      0.00     99.80
02:08:42 AM      28      4.80      0.00      0.60      0.40      0.00     94.20
02:08:42 AM      29      0.20      0.00      0.00      0.00      0.00     99.80
02:08:42 AM      30      3.21      0.00      0.60      3.01      0.00     93.19
02:08:42 AM      31      2.80      0.00      0.40      0.00      0.00     96.80

02:08:42 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:08:47 AM     all      9.18      0.00      0.22      2.75      0.00     87.85
02:08:47 AM       0     11.62      0.00      0.40      7.62      0.00     80.36
02:08:47 AM       1     18.80      0.00      0.40      2.20      0.00     78.60
02:08:47 AM       2     13.57      0.00      0.40      2.79      0.00     83.23
02:08:47 AM       3     12.83      0.00      0.60      7.82      0.00     78.76
02:08:47 AM       4      0.60      0.00      0.40     12.40      0.00     86.60
02:08:47 AM       5      9.22      0.00      0.40      5.61      0.00     84.77
02:08:47 AM       6      0.20      0.00      0.20      2.59      0.00     97.01
02:08:47 AM       7      0.00      0.00      0.20      0.00      0.00     99.80
02:08:47 AM       8      1.40      0.00      0.00      2.80      0.00     95.80
02:08:47 AM       9     10.20      0.00      0.00      2.40      0.00     87.40
02:08:47 AM      10     22.00      0.00      0.00      0.00      0.00     78.00
02:08:47 AM      11     40.72      0.00      0.40      0.20      0.00     58.68
02:08:47 AM      12      8.20      0.00      0.00      0.40      0.00     91.40
02:08:47 AM      13     21.80      0.00      0.20      9.80      0.00     68.20
02:08:47 AM      14     14.77      0.00      0.00      0.00      0.00     85.23
02:08:47 AM      15      0.00      0.00      0.00      0.00      0.00    100.00
02:08:47 AM      16     13.23      0.00      0.40      5.01      0.00     81.36
02:08:47 AM      17      0.00      0.00      0.00      0.00      0.00    100.00
02:08:47 AM      18      0.00      0.00      0.00      0.00      0.00    100.00
02:08:47 AM      19      0.00      0.00      0.00      0.00      0.00    100.00
02:08:47 AM      20      0.00      0.00      0.00      0.00      0.00    100.00
02:08:47 AM      21      0.00      0.00      0.00      0.00      0.00    100.00
02:08:47 AM      22      0.00      0.00      0.20      0.00      0.00     99.80
02:08:47 AM      23      0.00      0.00      0.00      0.00      0.00    100.00
02:08:47 AM      24     23.05      0.00      0.40      4.61      0.00     71.94
02:08:47 AM      25     17.03      0.00      0.40      0.80      0.00     81.76
02:08:47 AM      26      1.40      0.00      0.40      5.99      0.00     92.22
02:08:47 AM      27      0.00      0.00      0.00      0.00      0.00    100.00
02:08:47 AM      28     24.75      0.00      0.60      7.98      0.00     66.67
02:08:47 AM      29      0.00      0.00      0.00      0.00      0.00    100.00
02:08:47 AM      30     28.20      0.00      0.80      6.00      0.00     65.00
