Linux 5.15.30-2-pve (superserver2) 	01/24/2024 	_x86_64_	(32 CPU)

04:11:21 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:11:26 PM     all      3.03      0.00      4.42      0.21      0.00     92.34
04:11:26 PM       0      0.40      0.00      4.81      0.00      0.00     94.79
04:11:26 PM       1      0.40      0.00      5.61      0.00      0.00     93.99
04:11:26 PM       2      1.20      0.00      4.00      0.00      0.00     94.80
04:11:26 PM       3      0.60      0.00      4.40      0.00      0.00     95.00
04:11:26 PM       4      0.80      0.00      4.40      0.00      0.00     94.80
04:11:26 PM       5      1.00      0.00      4.60      0.00      0.00     94.40
04:11:26 PM       6      0.80      0.00      4.59      0.00      0.00     94.61
04:11:26 PM       7      3.21      0.00      4.61      0.00      0.00     92.18
04:11:26 PM       8      0.60      0.00      4.40      0.00      0.00     95.00
04:11:26 PM       9      4.40      0.00      2.80      0.00      0.00     92.80
04:11:26 PM      10      0.60      0.00      4.59      0.00      0.00     94.81
04:11:26 PM      11      1.20      0.00      4.60      0.00      0.00     94.20
04:11:26 PM      12      0.80      0.00      4.39      0.00      0.00     94.81
04:11:26 PM      13      0.40      0.00      4.61      0.00      0.00     94.99
04:11:26 PM      14      0.80      0.00      4.40      0.00      0.00     94.80
04:11:26 PM      15      0.60      0.00      4.41      0.00      0.00     94.99
04:11:26 PM      16      0.60      0.00      4.41      1.40      0.00     93.59
04:11:26 PM      17      0.80      0.00      4.21      0.00      0.00     94.99
04:11:26 PM      18      0.80      0.00      4.41      0.00      0.00     94.79
04:11:26 PM      19      0.40      0.00      4.80      0.00      0.00     94.80
04:11:26 PM      20      1.20      0.00      4.00      0.00      0.00     94.80
04:11:26 PM      21      0.80      0.00      4.40      0.00      0.00     94.80
04:11:26 PM      22      1.20      0.00      4.00      0.00      0.00     94.80
04:11:26 PM      23      0.60      0.00      4.60      0.00      0.00     94.80
04:11:26 PM      24      0.60      0.00      4.42      0.00      0.00     94.98
04:11:26 PM      25      7.00      0.00      3.00      0.60      0.00     89.40
04:11:26 PM      26     62.00      0.00      4.80      4.80      0.00     28.40
04:11:26 PM      27      0.40      0.00      4.80      0.00      0.00     94.80
04:11:26 PM      28      0.80      0.00      4.40      0.00      0.00     94.80
04:11:26 PM      29      1.20      0.00      4.40      0.00      0.00     94.40
04:11:26 PM      30      0.40      0.00      4.61      0.00      0.00     94.99
04:11:26 PM      31      0.20      0.00      5.00      0.00      0.00     94.80

04:11:26 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:11:31 PM     all      6.79      0.00      0.22      1.25      0.00     91.74
04:11:31 PM       0     15.43      0.00      0.00      0.00      0.00     84.57
04:11:31 PM       1     11.78      0.00      0.20      0.00      0.00     88.02
04:11:31 PM       2      7.00      0.00      0.00      0.00      0.00     93.00
04:11:31 PM       3      4.01      0.00      0.00      0.00      0.00     95.99
04:11:31 PM       4      0.60      0.00      0.00      0.00      0.00     99.40
04:11:31 PM       5      0.00      0.00      0.20      0.00      0.00     99.80
04:11:31 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
04:11:31 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
04:11:31 PM       8      0.00      0.00      0.20      0.00      0.00     99.80
04:11:31 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
