Linux 5.15.30-2-pve (superserver2) 	01/28/2024 	_x86_64_	(32 CPU)

08:21:36 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
08:21:41 PM 312864048 389056332   2569476      0.65    857864  75483408   7111804      1.76  50692100  26579784       176   1096760   3098988     10704     10248    863584
08:21:46 PM 312820308 389016928   2606424      0.66    857864  75487636  31000900      7.69  50694508  26640340       672   1155484   3101552      9968     15296    862896
08:21:51 PM 312837336 389034956   2590496      0.66    857864  75488532   6637756      1.65  50694668  26582780        88   1097076   3099556      9712     10212    862704
08:21:56 PM 312840876 389041324   2584164      0.65    857864  75491280   6637756      1.65  50694772  26585428        44   1097080   3099600      9712     10212    862704
08:22:01 PM 312839056 389042376   2582800      0.65    857864  75493996   6637756      1.65  50694828  26588768       244   1097780   3100068      9744     10852    862672
08:22:06 PM 312839380 389045528   2580168      0.65    857864  75496632   6637756      1.65  50694900  26590660       120   1097084   3099740      9712     10216    862672
08:22:11 PM 312835244 389043684   2581976      0.65    857864  75498800   6640628      1.65  50694968  26594220       296   1098588   3099900      9744     10332    862680
08:22:16 PM 312840728 389051548   2574276      0.65    857864  75501044   6637756      1.65  50695024  26594968       212   1097084   3099872      9712     10212    862624
08:22:21 PM 312839628 389053360   2572264      0.65    857864  75503736   6637756      1.65  50695032  26597688       108   1097092   3100292      9712     10216    862672
08:22:26 PM 312835364 389051804   2573816      0.65    857864  75506288   6637756      1.65  50695088  26600144        32   1097096   3100452      9712     10212    862640
08:22:31 PM 312831444 389050432   2575080      0.65    857864  75508672   6640596      1.65  50695160  26603740       224   1098384   3100724      9728     10264    862664
08:22:36 PM 312832676 389054296   2571344      0.65    857864  75511144   6637756      1.65  50695216  26605004        40   1097208   3100756      9696     10212    862656
08:22:41 PM 312827032 389051384   2573940      0.65    857864  75513696   6637756      1.65  50695288  26607472       200   1097244   3101252      9696     10216    862576
08:22:46 PM 311851704 388079488   3537524      0.90    857864  75516792 162322188     40.25  50697064  27598860      1792   2087504   3109900     10720     36640    863376
08:22:51 PM 311783568 388015944   3600820      0.91    857864  75521288 193383776     47.95  50697332  27675700      1464   2160792   3110244     10752     38496    863456
08:22:56 PM 311926672 388162756   3453040      0.87    857864  75524976 174860560     43.36  50697468  27541656      2140   2022844   3111232     10720     35996    863440
08:23:01 PM 311989732 388225556   3389860      0.86    857864  75524600 126110092     31.27  50697796  27462344      2280   1944076   3111728     10688     32332    863408
08:23:06 PM 311760740 388000900   3614736      0.92    857864  75528868 193391324     47.96  50698340  27700960      6216   2179448   3111576     10784     38456    863520
08:23:11 PM 311909888 388155332   3460736      0.88    857864  75534132 167465780     41.53  50698656  27505304      6548   1978304   3111164     10720     35088    863456
08:23:16 PM 311811436 388058456   3558224      0.90    857864  75535592 179464456     44.50  50699172  27609240      4496   2080536   3110668     10752     36196    863472
08:23:21 PM 311748792 387998296   3618248      0.92    857864  75538004 193342876     47.94  50699512  27714532      6680   2184052   3110876     10816     38456    863512
08:23:26 PM 311926964 388181396   3435424      0.87    857864  75542908 151630884     37.60  50699844  27431128      5844   1896260   3110624     10704     33328    863448
08:23:31 PM 311948216 388204792   3412076      0.86    857864  75544884 165539176     41.05  50700392  27508904      4264   1972776   3110744     10688     34624    863376
08:23:36 PM 311725484 387984584   3632252      0.92    857864  75547268 190564140     47.26  50700776  27716928      6072   2178576   3110916     10784     38060    863456
08:23:41 PM 311833680 388096992   3519784      0.89    857864  75551244 170984656     42.40  50701136  27610508      5792   2069120   3111212     10720     36500    863408
08:23:46 PM 311833280 388100492   3516984      0.89    857864  75554844 168186060     41.71  50701680  27583292      4716   2038480   3110812     10704     35000    863392
08:23:51 PM 311672080 387942032   3674948      0.93    857864  75557276 190583400     47.26  50702092  27727312      6512   2181128   3111616     10816     38284    863528
08:23:56 PM 311899128 388173800   3442644      0.87    857864  75561932 158138044     39.21  50702360  27496680      6260   1945628   3112216     10688     34796    863376
08:24:01 PM 311861928 388138148   3478524      0.88    857864  75563336 157104648     38.96  50702848  27501792      3864   1949948   3112132     10688     33852    863344
08:24:06 PM 311642352 387921768   3695464      0.94    857864  75566356 189698324     47.04  50703264  27708452      6172   2153428   3111748     10784     37928    863392
08:24:11 PM 311920364 388203320   3413920      0.86    857864  75569744 151625608     37.60  50703512  27454092      5256   1896432   3111892     10640     33064    863328
08:24:16 PM 311775224 388060956   3557312      0.90    857864  75572412 168861012     41.87  50704124  27613984      4336   2054616   3110972     10720     35460    863376
08:24:21 PM 311782544 388072304   3545368      0.90    857864  75576424 170154900     42.19  50704464  27576184      5548   2012572   3111584     10720     35144    863408
08:24:26 PM 311886860 388180252   3437184      0.87    857864  75579868 152292496     37.77  50704824  27467216      4588   1900948   3112008     10656     33676    863408
08:24:31 PM 311745952 388041688   3575544      0.91    857864  75582016 178228348     44.20  50705452  27642040      4764   2074288   3112408     10720     35780    863440
08:24:36 PM 311694508 387993468   3624212      0.92    857864  75585224 184704372     45.80  50705744  27704652      6496   2132924   3111976     10736     37060    863456
08:24:41 PM 311920936 388224896   3392384      0.86    857864  75590240 149493092     37.07  50706100  27457192      4676   1881612   3112360     10640     32864    863360
08:24:46 PM 311763188 388068404   3548780      0.90    857864  75591400 176449460     43.76  50706656  27630920      5260   2054644   3112552     10752     35924    863360
08:24:51 PM 311701040 388009096   3608388      0.91    857864  75594152 178195668     44.19  50706980  27661056      6588   2082036   3112340     10768     36232    863328
08:24:56 PM 311715252 388027536   3589740      0.91    857864  75598324 168866916     41.88  50707448  27658388      4876   2075716   3112604     10720     35072    863376
08:25:01 PM 311669192 387984100   3633696      0.92    857864  75600804 187549604     46.51  50707904  27737116      5868   2153220   3112228     10768     37244    863440
08:25:06 PM 311788948 388107524   3510788      0.89    857864  75604464 166204256     41.21  50708256  27584020      5352   1996356   3111720     10720     35056    863360
08:25:11 PM 311752772 388075128   3542380      0.90    857864  75608212 169917412     42.14  50708748  27614792      5216   2024164   3112556     10688     35372    863440
08:25:16 PM 311669468 387994488   3621364      0.92    857864  75610816 184707336     45.80  50709184  27726080      5896   2133432   3114272     10752     37520    863400
08:25:21 PM 311685240 388013480   3603404      0.91    857864  75614048 183853428     45.59  50709656  27716408      6268   2120356   3113228     10768     37196    863416
08:25:26 PM 311729760 388061668   3555676      0.90    857864  75617760 174503248     43.27  50710068  27669184      5828   2069752   3112724     10704     35804    863360
08:25:31 PM 311739612 388074772   3542736      0.90    857864  75620984 167991476     41.66  50710512  27652924      5608   2051160   3112588     10704     35816    863360
08:25:36 PM 311742560 388081532   3537012      0.90    857864  75624644 164268924     40.73  50710956  27607004      4512   2002180   3111704     10688     34224    863360
08:25:41 PM 311764128 388106356   3512124      0.89    857864  75627784 164284156     40.74  50711316  27613820      5552   2006036   3111884     10688     34508    863296
08:25:46 PM 311888248 388235328   3383524      0.86    857864  75632488 152290064     37.76  50711800  27490940      4556   1879052   3111660     10672     32788    863240
08:25:51 PM 311678952 388027436   3591176      0.91    857864  75633796 181022252     44.89  50712288  27723376      5684   2109836   3111996     10704     36940    863248
08:25:56 PM 311644948 387996584   3621988      0.92    857864  75636936 184704580     45.80  50712624  27763704      6220   2148028   3112048     10736     37676    863344
08:26:01 PM 311628216 387983028   3635352      0.92    857864  75640084 178181456     44.18  50713180  27728452      5712   2110496   3112268     10704     36384    863264
08:26:06 PM 311676380 388034884   3583444      0.91    857864  75643660 180128132     44.67  50713496  27713720      6356   2093036   3112436     10704     36628    863264
08:26:11 PM 311714464 388077044   3541488      0.90    857864  75647848 167094268     41.44  50713988  27655900      5724   2030728   3112120     10720     35468    863312
08:26:16 PM 311589708 387954528   3663800      0.93    857864  75649988 183837060     45.59  50714460  27745924      5668   2118760   3112424     10720     36908    863328
08:26:21 PM 311602964 387971092   3647348      0.92    857864  75653244 187531860     46.50  50714860  27785820      6440   2155180   3112364     10720     37380    863376
08:26:26 PM 311678692 388050620   3567808      0.90    857864  75656956 174502968     43.27  50715288  27701224      5572   2067660   3112464     10688     36428    863328
08:26:31 PM 311648688 388023632   3594920      0.91    857864  75659900 181031644     44.89  50715736  27733000      5932   2097148   3112412     10720     36392    863312
