timestamp,module,event
2024-01-15T14:44:08,topoaa,start
2024-01-15T14:44:16,topoaa,finish
2024-01-15T14:44:17,rigidbody,start
2024-01-15T15:08:35,rigidbody,finish
2024-01-15T15:08:36,seletop,start
2024-01-15T15:08:36,seletop,finish
2024-01-15T15:08:36,caprieval,start
2024-01-15T15:09:10,caprieval,finish
2024-01-15T15:09:11,flexref,start
2024-01-15T15:51:35,flexref,finish
2024-01-15T15:51:35,caprieval,start
2024-01-15T15:52:08,caprieval,finish
2024-01-15T15:52:09,emref,start
2024-01-15T15:56:07,emref,finish
2024-01-15T15:56:07,caprieval,start
2024-01-15T15:56:39,caprieval,finish
