Timestamp,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,kbanonpg,kbslab,kbkstack,kbpgtbl,kbvmused
2024-01-28T19:03:48,313132060,388954912,2670464,0.68,857828,75123968,7110520,1.76,50538848,26373312,4,1096500,3089464,10768,10252,863584
2024-01-28T19:03:53,313067768,388893304,2731592,0.69,857828,75126564,18710908,4.64,50540780,26502592,628,1225056,3090032,9888,13296,862896
2024-01-28T19:03:58,313191484,389018616,2607352,0.66,857828,75128116,6637488,1.65,50541452,26375288,36,1096812,3089004,9744,10208,862736
2024-01-28T19:04:03,313195208,389025160,2601076,0.66,857828,75130748,6637488,1.65,50541516,26377908,256,1096816,3088924,9744,10204,862704
2024-01-28T19:04:08,313197308,389030112,2596064,0.66,857828,75133412,6637488,1.65,50541580,26380464,236,1096816,3089172,9744,10204,862688
2024-01-28T19:04:13,313195432,389030424,2595964,0.66,857828,75135488,6637488,1.65,50541580,26382580,124,1096816,3089072,9728,10204,862688
2024-01-28T19:04:18,313196244,389034044,2592404,0.66,857828,75138124,6637488,1.65,50541648,26385076,56,1096816,3089184,9728,10204,862672
2024-01-28T19:04:23,313195248,389035628,2590468,0.66,857828,75140536,6637488,1.65,50541712,26387476,96,1096820,3089704,9728,10204,862672
2024-01-28T19:04:28,313196312,389039516,2586500,0.66,857828,75143200,6637488,1.65,50541776,26390092,36,1096824,3089944,9728,10208,862688
2024-01-28T19:04:33,313195500,389041572,2584344,0.65,857828,75145860,6637488,1.65,50541840,26392680,68,1096824,3090252,9696,10208,862640
2024-01-28T19:04:38,313198048,389046908,2579108,0.65,857828,75148472,6637488,1.65,50541900,26395224,68,1096868,3090328,9696,10204,862576
2024-01-28T19:04:43,313194888,389046632,2579448,0.65,857828,75151164,6637488,1.65,50541968,26397944,76,1096924,3090456,9696,10204,862560
2024-01-28T19:04:48,313193448,389047948,2578168,0.65,857828,75153744,6637488,1.65,50542032,26400484,40,1096976,3090596,9696,10208,862560
2024-01-28T19:04:53,313075612,388932424,2692956,0.68,857828,75155948,29981784,7.43,50542356,26533288,444,1228048,3091440,9824,13580,862592
2024-01-28T19:04:58,313108632,388966464,2658636,0.67,857828,75156952,26276168,6.52,50542492,26509156,1048,1203056,3091736,9824,13320,862576
2024-01-28T19:05:03,313077784,388936000,2688788,0.68,857828,75157340,29977212,7.43,50542844,26539256,1040,1233044,3092044,9824,13660,862656
2024-01-28T19:05:08,313083344,388942352,2682564,0.68,857828,75158124,29978844,7.43,50542932,26539044,1112,1232136,3091924,9824,13748,862656
2024-01-28T19:05:13,313102388,388962216,2663048,0.67,857828,75158936,29983524,7.44,50543044,26540168,948,1232232,3091584,9824,13768,862640
2024-01-28T19:05:18,313106892,388967460,2657840,0.67,857828,75159680,29976432,7.43,50543164,26540536,744,1231912,3091544,9824,13756,862624
2024-01-28T19:05:23,313109700,388970952,2654320,0.67,857828,75160336,29981924,7.43,50543268,26541440,756,1232760,3091600,9840,13648,862624
2024-01-28T19:05:28,313108128,388970144,2654600,0.67,857828,75161052,29981472,7.43,50543368,26540288,692,1230384,3092176,9856,13624,862672
2024-01-28T19:05:33,313098360,388961112,2664044,0.67,857828,75161780,29973740,7.43,50543412,26546056,1032,1236088,3091772,9840,13764,862704
2024-01-28T19:05:38,313100812,388964292,2660764,0.67,857828,75162512,29977760,7.43,50543528,26544136,856,1233404,3091868,9840,13768,862688
2024-01-28T19:05:43,313105252,388969572,2655716,0.67,857828,75163340,29988312,7.44,50543640,26543544,912,1232312,3091648,9840,13772,862640
2024-01-28T19:05:48,313115276,388980428,2645308,0.67,857828,75164168,29976592,7.43,50543732,26544152,840,1232104,3091204,9840,13780,862624
2024-01-28T19:05:53,313115296,388981248,2644836,0.67,857828,75164976,29981560,7.43,50543852,26544044,832,1231472,3090848,9840,13760,862624
2024-01-28T19:05:58,313111524,388978388,2647388,0.67,857828,75165880,29973144,7.43,50543980,26547632,684,1234104,3091164,9840,13796,862640
2024-01-28T19:06:03,313109796,388977364,2648180,0.67,857828,75166544,29975996,7.43,50544076,26545824,536,1231668,3091436,9872,13688,862672
2024-01-28T19:06:08,313109168,388977456,2648220,0.67,857828,75167264,27158144,6.73,50544168,26546240,556,1231392,3091304,9872,13700,862704
2024-01-28T19:06:13,313149168,389018428,2606948,0.66,857828,75168236,26279752,6.52,50544256,26516528,296,1200872,3091604,9872,13208,862704
2024-01-28T19:06:18,313125472,388995348,2629888,0.67,857828,75168852,29982772,7.44,50544388,26548660,336,1232472,3091744,9872,13672,862704
2024-01-28T19:06:23,313146388,389017008,2607632,0.66,857828,75169600,27157516,6.73,50544480,26531332,440,1214664,3092336,9856,13520,862736
2024-01-28T19:06:28,313151852,389023584,2601628,0.66,857828,75170696,26285056,6.52,50544588,26519740,440,1201920,3091780,9856,13304,862720
2024-01-28T19:06:33,313138732,389011208,2614048,0.66,857828,75171408,27157184,6.73,50544676,26528264,296,1209888,3091768,9856,13208,862736
2024-01-28T19:06:38,313119328,388992056,2633584,0.67,857828,75171668,27167968,6.74,50544772,26548636,152,1230100,3091376,9872,13560,862704
2024-01-28T19:06:43,313112016,388985536,2639300,0.67,857828,75172460,29971112,7.43,50544864,26550476,164,1231288,3092180,9872,13676,862704
2024-01-28T19:06:48,313110924,388985336,2639600,0.67,857828,75173348,29977024,7.43,50544960,26554316,216,1234148,3092084,9872,13812,862736
2024-01-28T19:06:53,313108892,388984080,2641156,0.67,857828,75174100,29982380,7.43,50545068,26553752,136,1233040,3091808,9872,13768,862720
2024-01-28T19:06:58,313109600,388985552,2640012,0.67,857828,75174836,29982164,7.43,50545180,26553612,340,1232292,3091508,9872,13752,862736
2024-01-28T19:07:03,313127764,389004260,2621152,0.66,857828,75175380,27159496,6.73,50545236,26538144,120,1216348,3091660,9872,13384,862736
2024-01-28T19:07:08,313108524,388985816,2639700,0.67,857828,75176180,29977660,7.43,50545348,26555304,284,1232736,3091552,9872,13760,862720
