Linux 5.15.30-2-pve (superserver2) 	01/27/2024 	_x86_64_	(32 CPU)

05:12:57 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:13:02 AM     all      3.02      0.00      4.42      0.26      0.00     92.30
05:13:02 AM       0      1.00      0.00      4.20      0.00      0.00     94.80
05:13:02 AM       1      1.20      0.00      4.21      0.00      0.00     94.59
05:13:02 AM       2      0.40      0.00      5.18      0.00      0.00     94.42
05:13:02 AM       3      0.80      0.00      4.40      0.00      0.00     94.80
05:13:02 AM       4      0.80      0.00      4.40      0.00      0.00     94.80
05:13:02 AM       5      0.60      0.00      4.59      0.00      0.00     94.81
05:13:02 AM       6      0.40      0.00      4.60      0.00      0.00     95.00
05:13:02 AM       7      0.60      0.00      4.60      0.00      0.00     94.80
05:13:02 AM       8      0.80      0.00      4.40      0.00      0.00     94.80
05:13:02 AM       9     73.65      0.00      1.20      2.79      0.00     22.36
05:13:02 AM      10      1.00      0.00      4.20      1.20      0.00     93.60
05:13:02 AM      11      0.60      0.00      4.41      0.00      0.00     94.99
05:13:02 AM      12      1.40      0.00      3.80      0.00      0.00     94.80
05:13:02 AM      13      0.80      0.00      4.40      0.00      0.00     94.80
05:13:02 AM      14      0.40      0.00      4.80      0.00      0.00     94.80
05:13:02 AM      15      0.40      0.00      4.80      0.00      0.00     94.80
05:13:02 AM      16      0.80      0.00      4.21      0.00      0.00     94.99
05:13:02 AM      17      0.60      0.00      4.59      0.00      0.00     94.81
05:13:02 AM      18      0.40      0.00      4.61      0.00      0.00     94.99
05:13:02 AM      19      0.20      0.00      4.82      0.00      0.00     94.98
05:13:02 AM      20      0.60      0.00      4.60      0.00      0.00     94.80
05:13:02 AM      21      2.40      0.00      5.21      0.00      0.00     92.38
05:13:02 AM      22      0.20      0.00      5.00      4.20      0.00     90.60
05:13:02 AM      23      0.60      0.00      4.61      0.00      0.00     94.79
05:13:02 AM      24      0.80      0.00      4.40      0.00      0.00     94.80
05:13:02 AM      25      0.60      0.00      4.40      0.00      0.00     95.00
05:13:02 AM      26      0.60      0.00      4.60      0.00      0.00     94.80
05:13:02 AM      27      0.60      0.00      4.59      0.00      0.00     94.81
05:13:02 AM      28      1.00      0.00      4.40      0.00      0.00     94.60
05:13:02 AM      29      0.40      0.00      4.61      0.00      0.00     94.99
05:13:02 AM      30      1.00      0.00      4.19      0.00      0.00     94.81
05:13:02 AM      31      0.80      0.00      4.41      0.00      0.00     94.79

05:13:02 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:13:07 AM     all      0.13      0.00      0.08      0.91      0.00     98.88
05:13:07 AM       0      0.20      0.00      0.00      0.00      0.00     99.80
05:13:07 AM       1      0.00      0.00      0.20      0.00      0.00     99.80
05:13:07 AM       2      0.00      0.00      0.00      0.00      0.00    100.00
05:13:07 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
05:13:07 AM       4      0.00      0.00      0.00      0.00      0.00    100.00
05:13:07 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
05:13:07 AM       6      0.40      0.00      0.20      0.00      0.00     99.40
05:13:07 AM       7      0.00      0.00      0.20      0.00      0.00     99.80
05:13:07 AM       8      0.00      0.00      0.00      0.00      0.00    100.00
05:13:07 AM       9      0.00      0.00      0.20      0.00      0.00     99.80
05:13:07 AM      10      2.41      0.00      0.20     29.18      0.00     68.21
05:13:07 AM      11      0.00      0.00      0.00      0.00      0.00    100.00
05:13:07 AM      12      0.00      0.00      0.00      0.00      0.00    100.00
05:13:07 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
05:13:07 AM      14      0.00      0.00      0.00      0.00      0.00    100.00
05:13:07 AM      15      0.00      0.00      0.20      0.00      0.00     99.80
05:13:07 AM      16      0.00      0.00      0.00      0.00      0.00    100.00
05:13:07 AM      17      0.00      0.00      0.00      0.00      0.00    100.00
05:13:07 AM      18      0.20      0.00      0.00      0.00      0.00     99.80
05:13:07 AM      19      0.20      0.00      0.20      0.00      0.00     99.60
05:13:07 AM      20      0.20      0.00      0.20      0.00      0.00     99.60
05:13:07 AM      21      0.20      0.00      0.20      0.00      0.00     99.60
05:13:07 AM      22      0.00      0.00      0.00      0.00      0.00    100.00
05:13:07 AM      23      0.00      0.00      0.40      0.00      0.00     99.60
05:13:07 AM      24      0.00      0.00      0.00      0.00      0.00    100.00
05:13:07 AM      25      0.00      0.00      0.00      0.00      0.00    100.00
05:13:07 AM      26      0.00      0.00      0.00      0.00      0.00    100.00
05:13:07 AM      27      0.00      0.00      0.00      0.00      0.00    100.00
05:13:07 AM      28      0.40      0.00      0.40      0.00      0.00     99.20
05:13:07 AM      29      0.00      0.00      0.00      0.00      0.00    100.00
05:13:07 AM      30      0.00      0.00      0.00      0.00      0.00    100.00
05:13:07 AM      31      0.00      0.00      0.00      0.00      0.00    100.00

05:13:07 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:13:12 AM     all      8.38      0.00      0.31      2.26      0.00     89.05
05:13:12 AM       0     35.34      0.00      0.40      7.63      0.00     56.63
05:13:12 AM       1     16.47      0.00      0.20     14.46      0.00     68.88
05:13:12 AM       2     31.33      0.00      0.40      5.42      0.00     62.85
05:13:12 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
05:13:12 AM       4      0.00      0.00      0.20      0.00      0.00     99.80
05:13:12 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
05:13:12 AM       6      0.00      0.00      0.20      0.00      0.00     99.80
05:13:12 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
05:13:12 AM       8      9.00      0.00      1.00      1.40      0.00     88.60
05:13:12 AM       9      0.40      0.00      0.40      2.00      0.00     97.19
05:13:12 AM      10     24.15      0.00      1.40      2.99      0.00     71.46
05:13:12 AM      11     22.85      0.00      0.60      4.01      0.00     72.55
05:13:12 AM      12      0.00      0.00      0.20      0.00      0.00     99.80
05:13:12 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
05:13:12 AM      14      0.00      0.00      0.00      0.00      0.00    100.00
05:13:12 AM      15      0.20      0.00      0.40      4.40      0.00     95.00
05:13:12 AM      16      0.00      0.00      0.00      0.00      0.00    100.00
05:13:12 AM      17      0.00      0.00      0.00      0.00      0.00    100.00
05:13:12 AM      18      0.00      0.00      0.00      0.00      0.00    100.00
05:13:12 AM      19      0.00      0.00      0.20      0.00      0.00     99.80
05:13:12 AM      20      0.00      0.00      0.20      0.00      0.00     99.80
05:13:12 AM      21      0.00      0.00      0.00      0.00      0.00    100.00
05:13:12 AM      22      0.00      0.00      0.00      0.00      0.00    100.00
05:13:12 AM      23      0.00      0.00      0.00      0.00      0.00    100.00
05:13:12 AM      24      0.00      0.00      0.00      0.00      0.00    100.00
05:13:12 AM      25      0.00      0.00      0.00      0.00      0.00    100.00
05:13:12 AM      26      5.20      0.00      0.00      0.00      0.00     94.80
05:13:12 AM      27     11.40      0.00      0.60      2.00      0.00     86.00
05:13:12 AM      28     23.00      0.00      0.80      7.00      0.00     69.20
05:13:12 AM      29     44.69      0.00      0.80      4.81      0.00     49.70
05:13:12 AM      30     44.20      0.00      1.40     11.80      0.00     42.60
05:13:12 AM      31      0.20      0.00      0.40      4.40      0.00     95.00

05:13:12 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:13:17 AM     all      0.72      0.00      0.08      0.73      0.00     98.47
05:13:17 AM       0      0.00      0.00      0.00      0.60      0.00     99.40
05:13:17 AM       1      0.60      0.00      0.40      0.00      0.00     99.00
05:13:17 AM       2      0.20      0.00      0.00      0.00      0.00     99.80
05:13:17 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
05:13:17 AM       4      0.00      0.00      0.00      0.00      0.00    100.00
05:13:17 AM       5      0.00      0.00      0.20      0.00      0.00     99.80
05:13:17 AM       6      0.00      0.00      0.00      0.00      0.00    100.00
05:13:17 AM       7      0.20      0.00      0.40      0.00      0.00     99.40
05:13:17 AM       8      0.00      0.00      0.00      0.00      0.00    100.00
05:13:17 AM       9      0.00      0.00      0.00      0.00      0.00    100.00
05:13:17 AM      10     21.29      0.00      0.20     22.69      0.00     55.82
05:13:17 AM      11      0.00      0.00      0.00      0.00      0.00    100.00
05:13:17 AM      12      0.00      0.00      0.40      0.00      0.00     99.60
05:13:17 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
05:13:17 AM      14      0.00      0.00      0.00      0.00      0.00    100.00
05:13:17 AM      15      0.00      0.00      0.00      0.00      0.00    100.00
05:13:17 AM      16      0.00      0.00      0.00      0.00      0.00    100.00
05:13:17 AM      17      0.00      0.00      0.00      0.00      0.00    100.00
05:13:17 AM      18      0.00      0.00      0.00      0.00      0.00    100.00
05:13:17 AM      19      0.00      0.00      0.00      0.00      0.00    100.00
05:13:17 AM      20      0.20      0.00      0.00      0.00      0.00     99.80
05:13:17 AM      21      0.20      0.00      0.20      0.00      0.00     99.60
05:13:17 AM      22      0.20      0.00      0.40      0.00      0.00     99.40
05:13:17 AM      23      0.00      0.00      0.00      0.00      0.00    100.00
05:13:17 AM      24      0.00      0.00      0.20      0.00      0.00     99.80
05:13:17 AM      25      0.00      0.00      0.00      0.00      0.00    100.00
05:13:17 AM      26      0.00      0.00      0.00      0.00      0.00    100.00
05:13:17 AM      27      0.20      0.00      0.00      0.00      0.00     99.80
05:13:17 AM      28      0.00      0.00      0.00      0.00      0.00    100.00
05:13:17 AM      29      0.00      0.00      0.00      0.00      0.00    100.00
05:13:17 AM      30      0.00      0.00      0.00      0.00      0.00    100.00
05:13:17 AM      31      0.00      0.00      0.20      0.00      0.00     99.80

05:13:17 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:13:22 AM     all      0.17      0.00      0.03      0.94      0.00     98.87
05:13:22 AM       0      0.00      0.00      0.00      0.60      0.00     99.40
05:13:22 AM       1      0.00      0.00      0.00      0.00      0.00    100.00
05:13:22 AM       2      0.00      0.00      0.00      0.00      0.00    100.00
05:13:22 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
05:13:22 AM       4      0.00      0.00      0.00      0.00      0.00    100.00
05:13:22 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
05:13:22 AM       6      0.00      0.00      0.00      0.00      0.00    100.00
05:13:22 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
05:13:22 AM       8      0.00      0.00      0.00      0.00      0.00    100.00
05:13:22 AM       9      0.00      0.00      0.00      0.00      0.00    100.00
05:13:22 AM      10      4.84      0.00      0.20     29.64      0.00     65.32
05:13:22 AM      11      0.20      0.00      0.00      0.00      0.00     99.80
05:13:22 AM      12      0.00      0.00      0.20      0.00      0.00     99.80
05:13:22 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
05:13:22 AM      14      0.00      0.00      0.00      0.00      0.00    100.00
05:13:22 AM      15      0.00      0.00      0.00      0.00      0.00    100.00
05:13:22 AM      16      0.00      0.00      0.00      0.00      0.00    100.00
05:13:22 AM      17      0.00      0.00      0.00      0.00      0.00    100.00
