Linux 5.15.30-2-pve (superserver2) 	01/27/2024 	_x86_64_	(32 CPU)

04:25:31 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
04:25:36 AM 323974592 389150632   2510128      0.64    857096  64716488   7092928      1.76  42422124  24021172       244   1035756   2815480     10672      9888    862504
04:25:41 AM 323831596 389010056   2649408      0.67    857096  64718852  24729932      6.13  42423912  24213676       764   1227824   2816832      9872     14832    861848
04:25:46 AM 324026180 389206204   2453568      0.62    857096  64720408   6618876      1.64  42424732  24022828       108   1036052   2816532      9680      9844    861640
04:25:51 AM 324026216 389207632   2452124      0.62    857096  64721756   6618876      1.64  42424732  24024152        36   1036056   2816592      9680      9844    861624
04:25:56 AM 324023476 389206816   2453540      0.62    857096  64723548   6618876      1.64  42424792  24025880       220   1036060   2816124      9680      9848    861592
04:26:01 AM 324023352 389208744   2451612      0.62    857096  64725484   6618876      1.64  42424792  24027760        40   1036068   2816240      9680      9840    861560
04:26:06 AM 324007336 389194872   2465644      0.62    857096  64727480   6618876      1.64  42424856  24029716       212   1036064   2816228      9680      9844    861576
04:26:11 AM 324007124 389196412   2464084      0.62    857096  64729104   6618876      1.64  42424920  24031268        72   1036068   2816376      9680      9844    861544
04:26:16 AM 323999424 389190556   2470016      0.63    857096  64730848   6618876      1.64  42424924  24033068       196   1036064   2816400      9680      9844    861560
04:26:21 AM 323998672 389191672   2468928      0.63    857096  64732612   6618876      1.64  42424988  24034748        60   1036068   2816476      9680      9840    861560
04:26:26 AM 323995548 389190632   2470296      0.63    857096  64734608   6618876      1.64  42425052  24036712        76   1036064   2816236      9680      9844    861560
04:26:31 AM 323993864 389191176   2469756      0.63    857096  64736680   6618876      1.64  42425052  24038780        28   1036068   2816388      9680      9840    861544
04:26:36 AM 323991096 389189688   2471428      0.63    857096  64737888   6618876      1.64  42425116  24039904       200   1036068   2816276      9680      9844    861560
04:26:41 AM 323990976 389191704   2469376      0.63    857096  64739880   6618876      1.64  42425116  24041924         8   1036088   2816456      9696      9844    861560
04:26:46 AM 323987516 389190368   2470992      0.63    857096  64741900   6618876      1.64  42425180  24043936       200   1036136   2816280      9696      9840    861576
04:26:51 AM 323987840 389192644   2468712      0.63    857096  64743692   6618876      1.64  42425244  24045668        44   1036164   2816444      9696      9840    861512
04:26:56 AM 323983116 389189572   2471592      0.63    857096  64745244   6618876      1.64  42425244  24047300       204   1036196   2816736      9696      9840    861544
