timestamp,module,event
2024-01-25T10:34:39,topoaa,start
2024-01-25T10:34:46,topoaa,finish
2024-01-25T10:34:47,rigidbody,start
2024-01-25T10:48:59,rigidbody,finish
2024-01-25T10:48:59,seletop,start
2024-01-25T10:48:59,seletop,finish
2024-01-25T10:48:59,caprieval,start
2024-01-25T10:49:26,caprieval,finish
2024-01-25T10:49:27,flexref,start
2024-01-25T11:12:39,flexref,finish
2024-01-25T11:12:39,caprieval,start
2024-01-25T11:13:17,caprieval,finish
2024-01-25T11:13:19,emref,start
2024-01-25T11:16:11,emref,finish
2024-01-25T11:16:12,caprieval,start
2024-01-25T11:16:51,caprieval,finish
